"tier";"incursao";"abordagem";"duracaoMinutos";"tentativasPorHora";"sucessoPercentual";"falhaPercentual";"perdaHpEsperadaPercentualPorTentativa";"entradaGold";"reembolsoSucessoGold";"reembolsoFalhaGold";"reembolsoEntradaEsperadoPorTentativa";"goldLootEsperadoPorTentativa";"goldDiretoEsperadoPorTentativa";"valorItemNpcEsperadoPorTentativa";"goldCarteiraLiquidoPorTentativa";"custoRecuperacaoHpPorTentativa";"goldLiquidoEsperadoPorTentativa";"goldLiquidoPorHora";"xpPersonagemPorHora";"fichasPorTentativa";"fragmentosReforcoPorTentativa"
"2";"Oficina Enferrujada";"BALANCED";"40";"1.5";"81";"19";"3.72";"180";"180";"162";"176.58";"32.4";"208.98";"0";"28.98";"9.6";"19.38";"29.07";"923.4";"2.43";"5.27"
"2";"Oficina Enferrujada";"AGGRESSIVE";"30";"2";"66";"34";"8.7";"180";"180";"162";"173.88";"35.66";"209.54";"0";"29.54";"22.43";"7.1";"14.21";"1354.32";"2.64";"5.61"
"3";"Ala de Isolamento";"CAUTIOUS";"50";"1.2";"93";"7";"0.95";"280";"280";"252";"278.04";"52.08";"330.12";"0";"50.12";"2.6";"47.52";"57.02";"812.45";"2.79";"5.27"
"3";"Ala de Isolamento";"BALANCED";"40";"1.5";"81";"19";"3.72";"280";"280";"252";"274.68";"56.7";"331.38";"0";"51.38";"10.18";"41.2";"61.8";"1105.65";"3.24";"5.67"
"3";"Ala de Isolamento";"AGGRESSIVE";"30";"2";"66";"34";"8.7";"280";"280";"252";"270.48";"62.39";"332.87";"0";"52.87";"23.79";"29.07";"58.15";"1622.28";"3.52";"6.16"
"3";"Necrotério Lacrado";"CAUTIOUS";"62.5";"0.96";"88";"12";"1.78";"380";"380";"342";"375.44";"49.28";"424.72";"0";"44.72";"4.85";"39.87";"38.27";"824.52";"2.64";"5.57"
"3";"Necrotério Lacrado";"BALANCED";"50";"1.2";"76";"24";"4.99";"380";"380";"342";"370.88";"53.2";"424.08";"0";"44.08";"13.65";"30.43";"36.52";"1112.64";"3.04";"6.08"
"3";"Necrotério Lacrado";"AGGRESSIVE";"37.5";"1.6";"61";"39";"10.45";"380";"380";"342";"365.18";"57.66";"422.84";"0";"42.84";"28.57";"14.27";"22.83";"1607.47";"3.25";"6.51"
"4";"Plataforma Morta";"CAUTIOUS";"62.5";"0.96";"88";"12";"1.78";"520";"520";"468";"513.76";"80.96";"594.72";"0";"74.72";"5.87";"68.85";"66.09";"912.38";"3.52";"5.57"
"4";"Plataforma Morta";"BALANCED";"50";"1.2";"76";"24";"4.99";"520";"520";"468";"507.52";"87.4";"594.92";"0";"74.92";"16.51";"58.41";"70.09";"1231.2";"3.8";"6.08"
"4";"Plataforma Morta";"AGGRESSIVE";"37.5";"1.6";"61";"39";"10.45";"520";"520";"468";"499.72";"94.72";"594.44";"0";"74.44";"34.57";"39.87";"63.8";"1779.25";"4.07";"6.51"
"4";"Túneis de Embarque";"CAUTIOUS";"75";"0.8";"83";"17";"2.72";"680";"680";"612";"668.44";"76.36";"744.8";"0";"64.8";"9";"55.8";"44.64";"924.29";"3.32";"5.81"
"4";"Túneis de Embarque";"BALANCED";"60";"1";"71";"29";"6.38";"680";"680";"612";"660.28";"81.65";"741.93";"0";"61.93";"21.1";"40.83";"40.83";"1235.4";"3.55";"6.39"
"4";"Túneis de Embarque";"AGGRESSIVE";"45";"1.3333";"56";"44";"12.32";"680";"680";"612";"650.08";"86.96";"737.04";"0";"57.04";"40.75";"16.29";"21.72";"1753.92";"3.73";"6.91"
"5";"Bloco de Contenção";"CAUTIOUS";"75";"0.8";"83";"17";"2.72";"850";"850";"765";"835.55";"122.84";"958.39";"0";"108.39";"12.33";"96.06";"76.85";"1296.13";"4.15";"5.81"
"5";"Bloco de Contenção";"BALANCED";"60";"1";"71";"29";"6.38";"850";"850";"765";"825.35";"131.35";"956.7";"0";"106.7";"28.92";"77.78";"77.78";"1732.4";"4.26";"6.39"
"5";"Bloco de Contenção";"AGGRESSIVE";"45";"1.3333";"56";"44";"12.32";"850";"850";"765";"812.6";"139.88";"952.48";"0";"102.48";"55.85";"46.63";"62.18";"2459.52";"4.48";"6.91"
"5";"Posto de Triagem Selado";"CAUTIOUS";"93.75";"0.64";"78";"22";"3.78";"1150";"1150";"1035";"1124.7";"115.44";"1240.14";"0";"90.14";"17.15";"72.99";"46.71";"1309.9";"3.9";"6.24"
"5";"Posto de Triagem Selado";"BALANCED";"75";"0.8";"66";"34";"7.89";"1150";"1150";"1035";"1110.9";"122.1";"1233";"0";"83";"35.76";"47.24";"37.8";"1731.84";"3.96";"6.6"
"5";"Posto de Triagem Selado";"AGGRESSIVE";"56.25";"1.0667";"51";"49";"14.31";"1150";"1150";"1035";"1093.65";"127.39";"1221.04";"0";"71.04";"64.86";"6.18";"6.59";"2408.83";"4.08";"6.97"
