"tier";"tierItem";"categoria";"item";"familia";"raridade";"tipoInventario";"vendavel";"valorVendaNpc";"aquisicao"
"3";"3";"GATHERING_MATERIAL";"Componente Clínico";"Componente";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Componente Calibrado";"Componente";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Componente Tático";"Componente";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Componente de Embarque";"Componente";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Componente Quarentenado";"Componente";"RARE";"MATERIAL";"true";"59";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Componente Antimuta";"Componente";"RARE";"MATERIAL";"true";"59";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Circuito Frágil";"Circuito";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Circuito Remendado";"Circuito";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Circuito Oxidado";"Circuito";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Circuito Industrial";"Circuito";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Circuito Clínico";"Circuito";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Circuito Selado";"Circuito";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Circuito Tático";"Circuito";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Circuito de Terminal";"Circuito";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Circuito Quarentenado";"Circuito";"RARE";"MATERIAL";"true";"59";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Circuito Antimuta";"Circuito";"RARE";"MATERIAL";"true";"59";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Filtro Gasto";"Filtro";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Filtro Pálido";"Filtro";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Filtro Rebitado";"Filtro";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Filtro Industrial";"Filtro";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Filtro Clínico";"Filtro";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Filtro Selado";"Filtro";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Filtro Tático";"Filtro";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Filtro Blindado";"Filtro";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Filtro Quarentenado";"Filtro";"RARE";"MATERIAL";"true";"59";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Filtro Antimuta";"Filtro";"RARE";"MATERIAL";"true";"59";"GATHERING"
"1";"1";"MOB_MATERIAL";"Resíduo Infecto Pálido";"Resíduo Infecto";"COMMON";"MATERIAL";"true";"2";"AUTO_COMBAT"
"1";"1";"MOB_MATERIAL";"Biomaterial Articular Comum";"Biomaterial Articular";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"1";"1";"MOB_MATERIAL";"Biomaterial Cortante Comum";"Biomaterial Cortante";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"1";"1";"MOB_MATERIAL";"Biomaterial de Mobilidade Comum";"Biomaterial de Mobilidade";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"1";"1";"MOB_MATERIAL";"Biomaterial Craniano Comum";"Biomaterial Craniano";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"1";"1";"MOB_MATERIAL";"Biomaterial Reativo Comum";"Biomaterial Reativo";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"1";"1";"MOB_MATERIAL";"Biomaterial Torácico Comum";"Biomaterial Torácico";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"1";"1";"MOB_MATERIAL";"Núcleo Infectado de Elite Comum";"Núcleo Infectado de Elite";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"2";"1";"MOB_MATERIAL";"Resíduo Infecto Pálido";"Resíduo Infecto";"COMMON";"MATERIAL";"true";"2";"AUTO_COMBAT"
"2";"1";"MOB_MATERIAL";"Biomaterial Cortante Comum";"Biomaterial Cortante";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"2";"1";"MOB_MATERIAL";"Biomaterial Craniano Comum";"Biomaterial Craniano";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"2";"1";"MOB_MATERIAL";"Biomaterial Reativo Comum";"Biomaterial Reativo";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"2";"1";"MOB_MATERIAL";"Biomaterial de Mobilidade Comum";"Biomaterial de Mobilidade";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"2";"1";"MOB_MATERIAL";"Biomaterial Torácico Comum";"Biomaterial Torácico";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"2";"1";"MOB_MATERIAL";"Biomaterial Articular Comum";"Biomaterial Articular";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"2";"1";"MOB_MATERIAL";"Núcleo Infectado de Elite Comum";"Núcleo Infectado de Elite";"COMMON";"MATERIAL";"true";"3";"AUTO_COMBAT"
"3";"3";"MOB_MATERIAL";"Resíduo Infecto Amarelado";"Resíduo Infecto";"UNCOMMON";"MATERIAL";"true";"9";"AUTO_COMBAT"
"3";"3";"MOB_MATERIAL";"Biomaterial Craniano Incomum";"Biomaterial Craniano";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"3";"3";"MOB_MATERIAL";"Biomaterial de Mobilidade Incomum";"Biomaterial de Mobilidade";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"3";"3";"MOB_MATERIAL";"Biomaterial Torácico Incomum";"Biomaterial Torácico";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"3";"3";"MOB_MATERIAL";"Biomaterial Reativo Incomum";"Biomaterial Reativo";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"3";"3";"MOB_MATERIAL";"Biomaterial Articular Incomum";"Biomaterial Articular";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"3";"3";"MOB_MATERIAL";"Biomaterial Cortante Incomum";"Biomaterial Cortante";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"3";"3";"MOB_MATERIAL";"Núcleo Infectado de Elite Incomum";"Núcleo Infectado de Elite";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"4";"3";"MOB_MATERIAL";"Resíduo Infecto Amarelado";"Resíduo Infecto";"UNCOMMON";"MATERIAL";"true";"9";"AUTO_COMBAT"
"4";"3";"MOB_MATERIAL";"Biomaterial de Mobilidade Incomum";"Biomaterial de Mobilidade";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"4";"3";"MOB_MATERIAL";"Biomaterial Reativo Incomum";"Biomaterial Reativo";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"4";"3";"MOB_MATERIAL";"Biomaterial Articular Incomum";"Biomaterial Articular";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"4";"3";"MOB_MATERIAL";"Biomaterial Torácico Incomum";"Biomaterial Torácico";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"4";"3";"MOB_MATERIAL";"Biomaterial Cortante Incomum";"Biomaterial Cortante";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"4";"3";"MOB_MATERIAL";"Biomaterial Craniano Incomum";"Biomaterial Craniano";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"4";"3";"MOB_MATERIAL";"Núcleo Infectado de Elite Incomum";"Núcleo Infectado de Elite";"UNCOMMON";"MATERIAL";"true";"16";"AUTO_COMBAT"
"5";"5";"MOB_MATERIAL";"Resíduo Infecto Tóxico";"Resíduo Infecto";"RARE";"MATERIAL";"true";"32";"AUTO_COMBAT"
"5";"5";"MOB_MATERIAL";"Biomaterial Reativo Raro";"Biomaterial Reativo";"RARE";"MATERIAL";"true";"59";"AUTO_COMBAT"
"5";"5";"MOB_MATERIAL";"Biomaterial Torácico Raro";"Biomaterial Torácico";"RARE";"MATERIAL";"true";"59";"AUTO_COMBAT"
"5";"5";"MOB_MATERIAL";"Biomaterial Cortante Raro";"Biomaterial Cortante";"RARE";"MATERIAL";"true";"59";"AUTO_COMBAT"
"5";"5";"MOB_MATERIAL";"Biomaterial Articular Raro";"Biomaterial Articular";"RARE";"MATERIAL";"true";"59";"AUTO_COMBAT"
"5";"5";"MOB_MATERIAL";"Biomaterial Craniano Raro";"Biomaterial Craniano";"RARE";"MATERIAL";"true";"59";"AUTO_COMBAT"
"5";"5";"MOB_MATERIAL";"Biomaterial de Mobilidade Raro";"Biomaterial de Mobilidade";"RARE";"MATERIAL";"true";"59";"AUTO_COMBAT"
"5";"5";"MOB_MATERIAL";"Núcleo Infectado de Elite Raro";"Núcleo Infectado de Elite";"RARE";"MATERIAL";"true";"59";"AUTO_COMBAT"
"1";"1";"EQUIPMENT";"Armadura de Retalhos Pesados";"Armadura";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Armadura de Placas Oxidadas";"Armadura";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Armadura de Maca Reforçada";"Armadura";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Armadura de Bagageiro Rebitado";"Armadura";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Armadura de Barreira Selada";"Armadura";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Grevas de Tábua Remendada";"Grevas";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Grevas de Lataria Oxidada";"Grevas";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Grevas de Tala Clínica";"Grevas";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Grevas de Escada Rolante";"Grevas";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Grevas de Câmara Selada";"Grevas";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Botas de Obra Remendadas";"Botas";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Botas de Ferrugem Cravada";"Botas";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Botas de Enfermaria Seladas";"Botas";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Botas de Esteira Quebrada";"Botas";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Botas de Quarentena Selada";"Botas";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Elmo de Obra Rachado";"Elmo";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Elmo de Soldador Enferrujado";"Elmo";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Elmo de Visor Clínico";"Elmo";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Elmo de Segurança do Terminal";"Elmo";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Elmo de Câmara Selada";"Elmo";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Maça de Ripa Cravada";"Maça";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Maça de Engrenagem Enferrujada";"Maça";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Maça de Suporte de Soro";"Maça";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Maça de Corrimão Rebitado";"Maça";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Maça de Grade de Quarentena";"Maça";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Machado de Lâmina Lascada";"Machado";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Machado de Chapa Rasgada";"Machado";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Machado de Bandeja Cirúrgica";"Machado";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Machado de Placa de Embarque";"Machado";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Machado de Porta de Contenção";"Machado";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Escudo de Tampa Amassada";"Escudo";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Escudo de Portão Oxidado";"Escudo";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Escudo de Maca Dobrada";"Escudo";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Escudo de Painel de Embarque";"Escudo";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Escudo de Barreira de Quarentena";"Escudo";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Espada de Faca Alongada";"Espada";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Espada de Serra Oxidada";"Espada";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Espada de Bisturi Alongado";"Espada";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Espada de Sinalização Afiada";"Espada";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Espada de Lâmina Selada";"Espada";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Adagas de Facas Trincadas";"Adagas";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Adagas de Estilete Enferrujado";"Adagas";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Adagas de Tesoura Cirúrgica";"Adagas";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Adagas de Canivete de Embarque";"Adagas";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Adagas de Contenção Verde";"Adagas";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Bombas de Lata Fumacenta";"Bombas";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Bombas de Ferrugem Seca";"Bombas";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Bombas de Névoa Clínica";"Bombas";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Bombas de Sinalização Queimada";"Bombas";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Bombas de Quarentena Verde";"Bombas";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Capuz de Moletom Rasgado";"Capuz";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Capuz de Oficina Sombreado";"Capuz";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Capuz de Triagem Escura";"Capuz";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Capuz de Embarque Oculto";"Capuz";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Capuz de Quarentena Verde";"Capuz";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Traje de Rua Rasgado";"Traje";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Traje de Oficina Silencioso";"Traje";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Traje de Ala Isolada";"Traje";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Traje de Terminal Oculto";"Traje";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Traje de Quarentena Furtiva";"Traje";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Perneiras de Jeans Cortado";"Perneiras";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Perneiras de Oficina Enferrujada";"Perneiras";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Perneiras de Maca Silenciosa";"Perneiras";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Perneiras de Passageiro Oculto";"Perneiras";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Perneiras de Quarentena Leve";"Perneiras";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Sapatilhas de Pano Escuro";"Sapatilhas";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Sapatilhas de Ferrugem Baixa";"Sapatilhas";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Sapatilhas de Enfermaria Silenciosa";"Sapatilhas";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Sapatilhas de Esteira Quebrada";"Sapatilhas";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Sapatilhas de Quarentena Selada";"Sapatilhas";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Serra de Emergência Quebrada";"Serra";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Serra de Oficina Médica Oxidada";"Serra";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Serra Cirúrgica de Triagem";"Serra";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Serra de Resgate do Terminal";"Serra";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Serra de Contenção Verde";"Serra";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Desfibrilador de Rádio Improvisado";"Desfibrilador";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Desfibrilador de Bobina Enferrujada";"Desfibrilador";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Desfibrilador de Leito Clínico";"Desfibrilador";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Desfibrilador de Cabine de Emergência";"Desfibrilador";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Desfibrilador de Quarentena";"Desfibrilador";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Injetor de Soro Rachado";"Injetor";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Injetor de Oficina Oxidado";"Injetor";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Injetor de Triagem Clínica";"Injetor";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Injetor de Emergência do Terminal";"Injetor";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Injetor de Quarentena Verde";"Injetor";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Máscara Clínica Rasgada";"Máscara";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Máscara de Oficina Médica";"Máscara";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Máscara de Isolamento Clínico";"Máscara";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Máscara de Cabine Sanitária";"Máscara";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Máscara de Quarentena Verde";"Máscara";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Colete de Primeiros Socorros";"Colete";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
"2";"2";"EQUIPMENT";"Colete Paramédico Enferrujado";"Colete";"COMMON";"EQUIPMENT";"true";"48";"CRAFTING"
"3";"3";"EQUIPMENT";"Colete de Triagem Clínica";"Colete";"UNCOMMON";"EQUIPMENT";"true";"129";"CRAFTING"
"4";"4";"EQUIPMENT";"Colete de Resgate do Terminal";"Colete";"UNCOMMON";"EQUIPMENT";"true";"216";"CRAFTING"
"5";"5";"EQUIPMENT";"Colete de Quarentena Verde";"Colete";"RARE";"EQUIPMENT";"true";"473";"CRAFTING"
"1";"1";"EQUIPMENT";"Calças de Socorro Rasgadas";"Calças";"COMMON";"EQUIPMENT";"true";"24";"CRAFTING"
