"tier";"classe";"slot";"item";"valorNpcOutput";"quantidadeGathering";"quantidadeDrops";"valorNpcIngredientes";"duracaoCraftSegundos";"xpCraft";"craftsBancadaPorHora";"valorOutputBancadaPorHora";"custoOportunidadeBancadaPorHora";"liquidoEconomicoBancadaPorHora";"horasGathering";"horasDrops";"horasCraft";"horasCicloAutossuficiente";"custoPocoesCiclo";"valorOutputAutossuficientePorHora";"goldLiquidoAutossuficientePorHora";"diferencaVsVenderIngredientesPorHora"
"1";"Assassino";"HEAD";"Capuz de Moletom Rasgado";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0973";"0.0042";"0.401";"3.77";"59.86";"50.45";"-208.93"
"1";"Assassino";"ARMOR";"Traje de Rua Rasgado";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.1536";"0.0042";"0.4573";"5.95";"52.48";"39.46";"-187.96"
"1";"Assassino";"PANTS";"Perneiras de Jeans Cortado";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0572";"0.0042";"0.3609";"2.22";"66.5";"60.35";"-227.82"
"1";"Assassino";"BOOTS";"Sapatilhas de Pano Escuro";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0973";"0.0042";"0.401";"3.77";"59.86";"50.45";"-208.93"
"1";"Médico";"MAIN_HAND";"Serra de Emergência Quebrada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.03";"0.0042";"0.3337";"0";"71.92";"71.92";"-239.75"
"1";"Médico";"MAIN_HAND";"Desfibrilador de Rádio Improvisado";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.03";"0.0042";"0.3337";"0";"71.92";"71.92";"-239.75"
"1";"Médico";"OFF_HAND";"Injetor de Soro Rachado";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.1524";"0.0042";"0.456";"0";"52.63";"52.63";"-175.42"
"1";"Médico";"HEAD";"Máscara Clínica Rasgada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0965";"0.0042";"0.4002";"0";"59.98";"59.98";"-199.92"
"1";"Médico";"ARMOR";"Colete de Primeiros Socorros";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.1524";"0.0042";"0.456";"0";"52.63";"52.63";"-175.42"
"1";"Médico";"PANTS";"Calças de Socorro Rasgadas";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0568";"0.0042";"0.3604";"0";"66.59";"66.59";"-221.96"
"1";"Médico";"BOOTS";"Sapatos de Enfermagem Gastos";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0965";"0.0042";"0.4002";"0";"59.98";"59.98";"-199.92"
"1";"Atirador";"MAIN_HAND";"Rifle de Cano Curto";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0303";"0.0042";"0.3339";"0.78";"71.87";"69.53";"-241.91"
"1";"Atirador";"MAIN_HAND";"Pistola de Gaveta Quebrada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0303";"0.0042";"0.3339";"0.78";"71.87";"69.53";"-241.91"
"1";"Atirador";"OFF_HAND";"Carregador de Lata Amassada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.1536";"0.0042";"0.4573";"3.97";"52.48";"43.8";"-183.62"
"1";"Atirador";"HEAD";"Viseira de Mira Rachada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0973";"0.0042";"0.401";"2.51";"59.86";"53.59";"-205.79"
"1";"Atirador";"ARMOR";"Jaqueta de Couro Furado";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.1536";"0.0042";"0.4573";"3.97";"52.48";"43.8";"-183.62"
"1";"Atirador";"PANTS";"Cargueiras de Rua Rasgadas";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0572";"0.0042";"0.3609";"1.48";"66.5";"62.4";"-225.77"
"1";"Atirador";"BOOTS";"Coturnos de Patrulha Gasta";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0973";"0.0042";"0.401";"2.51";"59.86";"53.59";"-205.79"
"2";"Lutador";"ARMOR";"Armadura de Placas Oxidadas";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4993";"0.0083";"1.8502";"8";"25.94";"21.62";"-405.35"
"2";"Lutador";"PANTS";"Grevas de Lataria Oxidada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4993";"0.0083";"1.8502";"8";"25.94";"21.62";"-405.35"
"2";"Lutador";"BOOTS";"Botas de Ferrugem Cravada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4198";"0.0083";"1.7706";"6.73";"27.11";"23.31";"-422.86"
"2";"Lutador";"HEAD";"Elmo de Soldador Enferrujado";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.2826";"0.0083";"1.6335";"4.53";"29.38";"26.61";"-457"
"2";"Lutador";"MAIN_HAND";"Maça de Engrenagem Enferrujada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.1413";"0.0083";"1.4922";"2.27";"32.17";"30.65";"-498.76"
"2";"Lutador";"MAIN_HAND";"Machado de Chapa Rasgada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.1413";"0.0083";"1.4922";"2.27";"32.17";"30.65";"-498.76"
"2";"Lutador";"OFF_HAND";"Escudo de Portão Oxidado";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4198";"0.0083";"1.7706";"6.73";"27.11";"23.31";"-422.86"
"2";"Assassino";"MAIN_HAND";"Espada de Serra Oxidada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.1377";"0.0083";"1.4886";"12.81";"32.24";"23.64";"-507.06"
"2";"Assassino";"MAIN_HAND";"Adagas de Estilete Enferrujado";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.1377";"0.0083";"1.4886";"12.81";"32.24";"23.64";"-507.06"
"2";"Assassino";"OFF_HAND";"Bombas de Ferrugem Seca";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.409";"0.0083";"1.7599";"38.05";"27.27";"5.65";"-443.23"
"2";"Assassino";"HEAD";"Capuz de Oficina Sombreado";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.2754";"0.0083";"1.6263";"25.62";"29.51";"13.76";"-472"
"2";"Assassino";"ARMOR";"Traje de Oficina Silencioso";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4866";"0.0083";"1.8375";"45.27";"26.12";"1.49";"-428.45"
"2";"Assassino";"PANTS";"Perneiras de Oficina Enferrujada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4866";"0.0083";"1.8375";"45.27";"26.12";"1.49";"-428.45"
"2";"Assassino";"BOOTS";"Sapatilhas de Ferrugem Baixa";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.409";"0.0083";"1.7599";"38.05";"27.27";"5.65";"-443.23"
"2";"Médico";"MAIN_HAND";"Serra de Oficina Médica Oxidada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.1405";"0.0083";"1.4914";"4.11";"32.19";"29.43";"-500.29"
"2";"Médico";"MAIN_HAND";"Desfibrilador de Bobina Enferrujada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.1405";"0.0083";"1.4914";"4.11";"32.19";"29.43";"-500.29"
"2";"Médico";"OFF_HAND";"Injetor de Oficina Oxidado";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4172";"0.0083";"1.7681";"12.19";"27.15";"20.25";"-426.56"
"2";"Médico";"HEAD";"Máscara de Oficina Médica";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.2809";"0.0083";"1.6318";"8.21";"29.41";"24.38";"-459.74"
"2";"Médico";"ARMOR";"Colete Paramédico Enferrujado";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4963";"0.0083";"1.8472";"14.51";"25.99";"18.13";"-409.54"
"2";"Médico";"PANTS";"Calças de Oficina Sanitária";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4963";"0.0083";"1.8472";"14.51";"25.99";"18.13";"-409.54"
"2";"Médico";"BOOTS";"Sapatos de Oficina Sanitária";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4172";"0.0083";"1.7681";"12.19";"27.15";"20.25";"-426.56"
"2";"Atirador";"MAIN_HAND";"Rifle de Oficina Oxidado";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.1408";"0.0083";"1.4917";"11.25";"32.18";"24.63";"-504.97"
"2";"Atirador";"MAIN_HAND";"Pistola de Chapa Enferrujada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.1408";"0.0083";"1.4917";"11.25";"32.18";"24.63";"-504.97"
"2";"Atirador";"OFF_HAND";"Carregador de Oficina Oxidado";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4182";"0.0083";"1.769";"33.43";"27.13";"8.24";"-438.33"
"2";"Atirador";"HEAD";"Viseira de Oficina Oxidada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.2816";"0.0083";"1.6325";"22.51";"29.4";"15.61";"-468.32"
"2";"Atirador";"ARMOR";"Jaqueta de Oficina Oxidada";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4974";"0.0083";"1.8483";"39.77";"25.97";"4.45";"-422.96"
"2";"Atirador";"PANTS";"Cargueiras de Oficina Oleosa";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4974";"0.0083";"1.8483";"39.77";"25.97";"4.45";"-422.96"
"2";"Atirador";"BOOTS";"Coturnos de Ferrugem Baixa";"48";"120";"30";"790";"30";"69";"120";"5760";"94800";"-89040";"1.3426";"0.4182";"0.0083";"1.769";"33.43";"27.13";"8.24";"-438.33"
"3";"Lutador";"ARMOR";"Armadura de Maca Reforçada";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.872";"0.0167";"3.6597";"258.34";"207.67";"137.08";"-554.79"
"3";"Lutador";"PANTS";"Grevas de Tala Clínica";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"2.9559";"0.0167";"4.7435";"407.91";"160.22";"74.23";"-459.56"
"3";"Lutador";"BOOTS";"Botas de Enfermaria Seladas";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.1012";"0.0167";"2.8888";"151.97";"263.08";"210.48";"-666"
"3";"Lutador";"HEAD";"Elmo de Visor Clínico";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.1012";"0.0167";"2.8888";"151.97";"263.08";"210.48";"-666"
"3";"Lutador";"MAIN_HAND";"Maça de Suporte de Soro";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.4779";"0.0167";"3.2656";"203.95";"232.73";"170.28";"-605.09"
"3";"Lutador";"MAIN_HAND";"Machado de Bandeja Cirúrgica";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.4779";"0.0167";"3.2656";"203.95";"232.73";"170.28";"-605.09"
"3";"Lutador";"OFF_HAND";"Escudo de Maca Dobrada";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.872";"0.0167";"3.6597";"258.34";"207.67";"137.08";"-554.79"
"3";"Assassino";"MAIN_HAND";"Espada de Bisturi Alongado";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.4275";"0.0167";"3.2151";"482.84";"236.38";"86.2";"-701.32"
"3";"Assassino";"MAIN_HAND";"Adagas de Tesoura Cirúrgica";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.4275";"0.0167";"3.2151";"482.84";"236.38";"86.2";"-701.32"
"3";"Assassino";"OFF_HAND";"Bombas de Névoa Clínica";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.8082";"0.0167";"3.5958";"611.6";"211.36";"41.27";"-662.88"
"3";"Assassino";"HEAD";"Capuz de Triagem Escura";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.0636";"0.0167";"2.8513";"359.76";"266.55";"140.37";"-747.66"
"3";"Assassino";"ARMOR";"Traje de Ala Isolada";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.8082";"0.0167";"3.5958";"611.6";"211.36";"41.27";"-662.88"
"3";"Assassino";"PANTS";"Perneiras de Maca Silenciosa";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"2.855";"0.0167";"4.6426";"965.68";"163.7";"-44.3";"-589.68"
"3";"Assassino";"BOOTS";"Sapatilhas de Enfermaria Silenciosa";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.0636";"0.0167";"2.8513";"359.76";"266.55";"140.37";"-747.66"
"3";"Médico";"MAIN_HAND";"Serra Cirúrgica de Triagem";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.4769";"0.0167";"3.2646";"209.91";"232.8";"168.5";"-607.1"
"3";"Médico";"MAIN_HAND";"Desfibrilador de Leito Clínico";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.4769";"0.0167";"3.2646";"209.91";"232.8";"168.5";"-607.1"
"3";"Médico";"OFF_HAND";"Injetor de Triagem Clínica";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.8708";"0.0167";"3.6584";"265.89";"207.74";"135.06";"-557.04"
"3";"Médico";"HEAD";"Máscara de Isolamento Clínico";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.1005";"0.0167";"2.8881";"156.4";"263.15";"209";"-667.71"
"3";"Médico";"ARMOR";"Colete de Triagem Clínica";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.8708";"0.0167";"3.6584";"265.89";"207.74";"135.06";"-557.04"
"3";"Médico";"PANTS";"Calças de Triagem Clínica";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"2.9539";"0.0167";"4.7415";"419.82";"160.29";"71.75";"-462.26"
"3";"Médico";"BOOTS";"Sapatos de Enfermaria Selada";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.1005";"0.0167";"2.8881";"156.4";"263.15";"209";"-667.71"
"3";"Atirador";"MAIN_HAND";"Rifle de Dardos Clínicos";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.4383";"0.0167";"3.226";"452.08";"235.59";"95.45";"-689.43"
"3";"Atirador";"MAIN_HAND";"Pistola de Sedativo Quebrada";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.4383";"0.0167";"3.226";"452.08";"235.59";"95.45";"-689.43"
"3";"Atirador";"OFF_HAND";"Carregador de Triagem Clínica";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.8219";"0.0167";"3.6095";"572.63";"210.56";"51.91";"-649.57"
"3";"Atirador";"HEAD";"Viseira de Triagem Balística";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.0717";"0.0167";"2.8593";"336.84";"265.8";"147.99";"-737.53"
"3";"Atirador";"ARMOR";"Jaqueta de Resgate Clínico";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.8219";"0.0167";"3.6095";"572.63";"210.56";"51.91";"-649.57"
"3";"Atirador";"PANTS";"Cargueiras de Maca de Campo";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"2.8767";"0.0167";"4.6643";"904.15";"162.94";"-30.91";"-573.75"
"3";"Atirador";"BOOTS";"Coturnos de Enfermaria Tática";"760";"135";"32";"2532";"60";"113";"60";"45600";"151920";"-106320";"1.771";"1.0717";"0.0167";"2.8593";"336.84";"265.8";"147.99";"-737.53"
"4";"Lutador";"ARMOR";"Armadura de Bagageiro Rebitado";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.4196";"0.0333";"3.4541";"310.89";"354.94";"264.94";"-917.73"
"4";"Lutador";"PANTS";"Grevas de Escada Rolante";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.4196";"0.0333";"3.4541";"310.89";"354.94";"264.94";"-917.73"
"4";"Lutador";"BOOTS";"Botas de Esteira Quebrada";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.9129";"0.0333";"2.9474";"199.93";"415.96";"348.13";"-1037.85"
"4";"Lutador";"HEAD";"Elmo de Segurança do Terminal";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.8928";"0.0333";"3.9273";"414.52";"312.18";"206.63";"-833.54"
"4";"Lutador";"MAIN_HAND";"Maça de Corrimão Rebitado";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.9496";"0.0333";"2.984";"207.95";"410.86";"341.17";"-1027.79"
"4";"Lutador";"MAIN_HAND";"Machado de Placa de Embarque";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.9496";"0.0333";"2.984";"207.95";"410.86";"341.17";"-1027.79"
"4";"Lutador";"OFF_HAND";"Escudo de Painel de Embarque";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.9129";"0.0333";"2.9474";"199.93";"415.96";"348.13";"-1037.85"
"4";"Assassino";"MAIN_HAND";"Espada de Sinalização Afiada";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.9083";"0.0333";"2.9427";"461.18";"416.62";"259.9";"-1128.26"
"4";"Assassino";"MAIN_HAND";"Adagas de Canivete de Embarque";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.9083";"0.0333";"2.9427";"461.18";"416.62";"259.9";"-1128.26"
"4";"Assassino";"OFF_HAND";"Bombas de Sinalização Queimada";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.8732";"0.0333";"2.9077";"443.39";"421.64";"269.15";"-1135.74"
"4";"Assassino";"HEAD";"Capuz de Embarque Oculto";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.8105";"0.0333";"3.845";"919.29";"318.86";"79.77";"-982.66"
"4";"Assassino";"ARMOR";"Traje de Terminal Oculto";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.3579";"0.0333";"3.3923";"689.47";"361.4";"158.16";"-1046.02"
"4";"Assassino";"PANTS";"Perneiras de Passageiro Oculto";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.3579";"0.0333";"3.3923";"689.47";"361.4";"158.16";"-1046.02"
"4";"Assassino";"BOOTS";"Sapatilhas de Esteira Quebrada";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.8732";"0.0333";"2.9077";"443.39";"421.64";"269.15";"-1135.74"
"4";"Médico";"MAIN_HAND";"Serra de Resgate do Terminal";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.9236";"0.0333";"2.9581";"253.88";"414.46";"328.63";"-1052.33"
"4";"Médico";"MAIN_HAND";"Desfibrilador de Cabine de Emergência";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.9236";"0.0333";"2.9581";"253.88";"414.46";"328.63";"-1052.33"
"4";"Médico";"OFF_HAND";"Injetor de Emergência do Terminal";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.888";"0.0333";"2.9224";"244.08";"419.51";"335.99";"-1061.81"
"4";"Médico";"HEAD";"Máscara de Cabine Sanitária";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.8411";"0.0333";"3.8756";"506.06";"316.34";"185.76";"-868.28"
"4";"Médico";"ARMOR";"Colete de Resgate do Terminal";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.3808";"0.0333";"3.4153";"379.55";"358.97";"247.84";"-948.25"
"4";"Médico";"PANTS";"Calças de Emergência do Terminal";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.3808";"0.0333";"3.4153";"379.55";"358.97";"247.84";"-948.25"
"4";"Médico";"BOOTS";"Sapatos de Resgate do Terminal";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.888";"0.0333";"2.9224";"244.08";"419.51";"335.99";"-1061.81"
"4";"Atirador";"MAIN_HAND";"Rifle de Sinalização de Embarque";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.8975";"0.0333";"2.9319";"445.73";"418.16";"266.13";"-1127.16"
"4";"Atirador";"MAIN_HAND";"Pistola de Segurança do Terminal";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.8975";"0.0333";"2.9319";"445.73";"418.16";"266.13";"-1127.16"
"4";"Atirador";"OFF_HAND";"Carregador de Embarque Rápido";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.8628";"0.0333";"2.8973";"428.53";"423.15";"275.25";"-1134.69"
"4";"Atirador";"HEAD";"Viseira de Embarque Tático";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.789";"0.0333";"3.8234";"888.49";"320.66";"88.27";"-980.15"
"4";"Atirador";"ARMOR";"Jaqueta de Patrulha do Terminal";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.3417";"0.0333";"3.3762";"666.37";"363.13";"165.76";"-1044.19"
"4";"Atirador";"PANTS";"Cargueiras de Embarque Tático";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"1.3417";"0.0333";"3.3762";"666.37";"363.13";"165.76";"-1044.19"
"4";"Atirador";"BOOTS";"Coturnos de Terminal Quebrado";"1226";"135";"38";"4085";"120";"158";"30";"36780";"122550";"-85770";"2.0011";"0.8628";"0.0333";"2.8973";"428.53";"423.15";"275.25";"-1134.69"
"5";"Lutador";"ARMOR";"Armadura de Barreira Selada";"3226";"150";"46";"10754";"180";"202";"20";"64520";"215080";"-150560";"2.6261";"1.826";"0.05";"4.502";"1014.02";"716.57";"491.33";"-1897.37"
"5";"Lutador";"PANTS";"Grevas de Câmara Selada";"3226";"150";"46";"10754";"180";"202";"20";"64520";"215080";"-150560";"2.6261";"3.1042";"0.05";"5.7802";"1723.83";"558.11";"259.88";"-1600.6"
"5";"Lutador";"BOOTS";"Botas de Quarentena Selada";"3226";"150";"46";"10754";"180";"202";"20";"64520";"215080";"-150560";"2.6261";"4.9013";"0.05";"7.5774";"2721.83";"425.74";"66.54";"-1352.69"
"5";"Lutador";"HEAD";"Elmo de Câmara Selada";"3226";"150";"46";"10754";"180";"202";"20";"64520";"215080";"-150560";"2.6261";"4.9013";"0.05";"7.5774";"2721.83";"425.74";"66.54";"-1352.69"
"5";"Lutador";"MAIN_HAND";"Maça de Grade de Quarentena";"3226";"150";"46";"10754";"180";"202";"20";"64520";"215080";"-150560";"2.6261";"1.5691";"0.05";"4.2452";"871.38";"759.92";"554.66";"-1978.57"
"5";"Lutador";"MAIN_HAND";"Machado de Porta de Contenção";"3226";"150";"46";"10754";"180";"202";"20";"64520";"215080";"-150560";"2.6261";"1.5691";"0.05";"4.2452";"871.38";"759.92";"554.66";"-1978.57"
"5";"Lutador";"OFF_HAND";"Escudo de Barreira de Quarentena";"3226";"150";"46";"10754";"180";"202";"20";"64520";"215080";"-150560";"2.6261";"1.826";"0.05";"4.502";"1014.02";"716.57";"491.33";"-1897.37"
