"tier";"atividade";"cenario";"goldDiretoBrutoPorHora";"valorItensNpcPorHora";"goldBrutoEquivalentePorHora";"custoGoldDiretoPorHora";"custoOportunidadePorHora";"goldLiquidoEquivalentePorHora";"xpPersonagemPorHora";"xpProficienciaPorHora";"chanceDerrotaOuFalhaPercentual";"disponibilidade";"observacao"
"2";"WORLD_BOSS";"CALENDARIO_SOMA_DOS_2_SLOTS";"1.43";"0";"1.43";"0";"0";"1.43";"5.24";"0";"0";"SCHEDULED";"Soma dos dois ciclos independentes, normalizada por duracao, respawn e ativacao. Resultados com FALLBACK nao estao prontos para decisao de recompensa."
"2";"MISSIONS";"RECORRENTES_COM_OBJETIVOS_DEDICADOS";"634.19";"95.39";"729.58";"68.35";"324.05";"337.19";"747.17";"68.74";"14";"CAPPED";"Taxa por hora dedicada aos objetivos; recompensas continuam limitadas por reset diario/semanal e nao podem ser extrapoladas como farm continuo."
"3";"AUTO_COMBAT";"SET_ATUAL_MIX_6_MOBS";"0";"1147.28";"1147.28";"233.17";"0";"914.11";"1707.96";"0";"0";"CONTINUOUS";"Gold equivalente pressupoe venda integral dos drops ao Mercado Negro; o combate entrega itens, nao Gold direto."
"3";"GATHERING";"MASTERY_AFFINITY";"0";"1219.68";"1219.68";"0";"0";"1219.68";"0";"788.98";"0";"CONTINUOUS";"XP e de proficiencia de gathering. Gold equivalente exige vender todos os materiais; nao ha Gold direto."
"3";"CRAFTING";"CICLO_AUTOSSUFICIENTE_E_VENDA_NPC";"0";"225.5";"225.5";"109.14";"0";"116.36";"0";"33.53";"0";"CONTINUOUS";"Inclui coleta, farm simultaneo dos drops limitantes, pocao e tempo de criacao; nao trata o preco livre do mercado de jogadores como valor canonico."
"3";"INCURSION";"BALANCED_MEDIA_DAS_2_INCURSOES";"502.99";"0";"502.99";"453.83";"0";"49.16";"1109.15";"0";"21.5";"CONTINUOUS";"Media das duas incursoes do tier. A entrada retorna 100% no sucesso e 90% na falha; fragmentos e fichas nao recebem valor arbitrario em Gold."
"3";"WORLD_BOSS";"CALENDARIO_SOMA_DOS_2_SLOTS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"SCHEDULED";"Soma dos dois ciclos independentes, normalizada por duracao, respawn e ativacao. Resultados com FALLBACK nao estao prontos para decisao de recompensa."
"3";"MISSIONS";"RECORRENTES_COM_OBJETIVOS_DEDICADOS";"1131.03";"290.23";"1421.26";"160.03";"626.18";"635.05";"806.14";"64.51";"19";"CAPPED";"Taxa por hora dedicada aos objetivos; recompensas continuam limitadas por reset diario/semanal e nao podem ser extrapoladas como farm continuo."
"4";"AUTO_COMBAT";"SET_ATUAL_MIX_6_MOBS";"0";"1803.57";"1803.57";"374.56";"0";"1429";"1896.79";"0";"0";"CONTINUOUS";"Gold equivalente pressupoe venda integral dos drops ao Mercado Negro; o combate entrega itens, nao Gold direto."
"4";"GATHERING";"MASTERY_AFFINITY";"0";"1821.49";"1821.49";"0";"0";"1821.49";"0";"930.98";"0";"CONTINUOUS";"XP e de proficiencia de gathering. Gold equivalente exige vender todos os materiais; nao ha Gold direto."
"4";"CRAFTING";"CICLO_AUTOSSUFICIENTE_E_VENDA_NPC";"0";"386.63";"386.63";"133.68";"0";"252.95";"0";"49.83";"0";"CONTINUOUS";"Inclui coleta, farm simultaneo dos drops limitantes, pocao e tempo de criacao; nao trata o preco livre do mercado de jogadores como valor canonico."
"4";"INCURSION";"BALANCED_MEDIA_DAS_2_INCURSOES";"727.92";"0";"727.92";"672.46";"0";"55.46";"1233.3";"0";"26.5";"CONTINUOUS";"Media das duas incursoes do tier. A entrada retorna 100% no sucesso e 90% na falha; fragmentos e fichas nao recebem valor arbitrario em Gold."
"4";"WORLD_BOSS";"CALENDARIO_SOMA_DOS_2_SLOTS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"SCHEDULED";"Soma dos dois ciclos independentes, normalizada por duracao, respawn e ativacao. Resultados com FALLBACK nao estao prontos para decisao de recompensa."
"4";"MISSIONS";"RECORRENTES_COM_OBJETIVOS_DEDICADOS";"1686.39";"456.39";"2142.78";"251.69";"915.39";"975.7";"1216.1";"79.58";"24";"CAPPED";"Taxa por hora dedicada aos objetivos; recompensas continuam limitadas por reset diario/semanal e nao podem ser extrapoladas como farm continuo."
"5";"AUTO_COMBAT";"SET_ATUAL_MIX_6_MOBS";"0";"3542.12";"3542.12";"847.01";"0";"2695.11";"2662.9";"0";"0";"CONTINUOUS";"Gold equivalente pressupoe venda integral dos drops ao Mercado Negro; o combate entrega itens, nao Gold direto."
"5";"GATHERING";"MASTERY_AFFINITY";"0";"3370.08";"3370.08";"0";"0";"3370.08";"0";"1051.01";"0";"CONTINUOUS";"XP e de proficiencia de gathering. Gold equivalente exige vender todos os materiais; nao ha Gold direto."
"5";"CRAFTING";"CICLO_AUTOSSUFICIENTE_E_VENDA_NPC";"0";"633.82";"633.82";"400.93";"0";"232.89";"0";"39.69";"0";"CONTINUOUS";"Inclui coleta, farm simultaneo dos drops limitantes, pocao e tempo de criacao; nao trata o preco livre do mercado de jogadores como valor canonico."
"5";"INCURSION";"BALANCED_MEDIA_DAS_2_INCURSOES";"971.55";"0";"971.55";"913.76";"0";"57.79";"1732.12";"0";"31.5";"CONTINUOUS";"Media das duas incursoes do tier. A entrada retorna 100% no sucesso e 90% na falha; fragmentos e fichas nao recebem valor arbitrario em Gold."
"5";"WORLD_BOSS";"CALENDARIO_SOMA_DOS_2_SLOTS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"SCHEDULED";"Soma dos dois ciclos independentes, normalizada por duracao, respawn e ativacao. Resultados com FALLBACK nao estao prontos para decisao de recompensa."
"5";"MISSIONS";"RECORRENTES_COM_OBJETIVOS_DEDICADOS";"2849.9";"816.15";"3666.05";"447.58";"1761.62";"1456.84";"1446.61";"76.15";"29";"CAPPED";"Taxa por hora dedicada aos objetivos; recompensas continuam limitadas por reset diario/semanal e nao podem ser extrapoladas como farm continuo."
