"tier";"alvo";"descricao";"classe";"custoGold";"fontePreco";"fonteRenda";"goldLiquidoPorHora";"horas";"dias24h";"requisitoAdicional"
"1";"PET_INCUBATION";"Incubar Sucateiro do Subúrbio";"";"300";"CANONICAL";"WORLD_BOSS_CALENDAR";"1.47";"204.0816";"8.5034";"1 casulo + 10 fragmentos; 133.33h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 2h de incubacao."
"1";"PET_INCUBATION";"Incubar Sucateiro do Subúrbio";"";"300";"CANONICAL";"MISSIONS_CALENDAR";"14.64";"20.4877";"0.8537";"1 casulo + 10 fragmentos; 133.33h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 2h de incubacao."
"2";"POTIONS_100";"100x Poção de Vida Leve";"";"5500";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"853.88";"6.4412";"0.2684";""
"2";"POTIONS_100";"100x Poção de Vida Leve";"";"5500";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"536.29";"10.2556";"0.4273";""
"2";"POTIONS_100";"100x Poção de Vida Leve";"";"5500";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"17.98";"305.8954";"12.7456";""
"2";"POTIONS_100";"100x Poção de Vida Leve";"";"5500";"CANONICAL";"INCURSION_BALANCED";"36.77";"149.5785";"6.2324";""
"2";"POTIONS_100";"100x Poção de Vida Leve";"";"5500";"CANONICAL";"WORLD_BOSS_CALENDAR";"1.43";"3846.1538";"160.2564";""
"2";"POTIONS_100";"100x Poção de Vida Leve";"";"5500";"CANONICAL";"MISSIONS_CALENDAR";"56.79";"96.8551";"4.0356";""
"2";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"3360";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"853.88";"3.935";"0.164";"168 fragmentos; 20.72h esperadas de incursao balanceada."
"2";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"3360";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"536.29";"6.2653";"0.2611";"168 fragmentos; 20.72h esperadas de incursao balanceada."
"2";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"3360";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"17.98";"186.8743";"7.7864";"168 fragmentos; 20.72h esperadas de incursao balanceada."
"2";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"3360";"CANONICAL";"INCURSION_BALANCED";"36.77";"91.3788";"3.8075";"168 fragmentos; 20.72h esperadas de incursao balanceada."
"2";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"3360";"CANONICAL";"WORLD_BOSS_CALENDAR";"1.43";"2349.6503";"97.9021";"168 fragmentos; 20.72h esperadas de incursao balanceada."
"2";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"3360";"CANONICAL";"MISSIONS_CALENDAR";"56.79";"59.1697";"2.4654";"168 fragmentos; 20.72h esperadas de incursao balanceada."
"2";"PET_INCUBATION";"Incubar Sucateiro Ferruginoso";"";"750";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"853.88";"0.8783";"0.0366";"1 casulo + 14 fragmentos; 150h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 4h de incubacao."
"2";"PET_INCUBATION";"Incubar Sucateiro Ferruginoso";"";"750";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"536.29";"1.3985";"0.0583";"1 casulo + 14 fragmentos; 150h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 4h de incubacao."
"2";"PET_INCUBATION";"Incubar Sucateiro Ferruginoso";"";"750";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"17.98";"41.713";"1.738";"1 casulo + 14 fragmentos; 150h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 4h de incubacao."
"2";"PET_INCUBATION";"Incubar Sucateiro Ferruginoso";"";"750";"CANONICAL";"INCURSION_BALANCED";"36.77";"20.3971";"0.8499";"1 casulo + 14 fragmentos; 150h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 4h de incubacao."
"2";"PET_INCUBATION";"Incubar Sucateiro Ferruginoso";"";"750";"CANONICAL";"WORLD_BOSS_CALENDAR";"1.43";"524.4755";"21.8531";"1 casulo + 14 fragmentos; 150h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 4h de incubacao."
"2";"PET_INCUBATION";"Incubar Sucateiro Ferruginoso";"";"750";"CANONICAL";"MISSIONS_CALENDAR";"56.79";"13.2075";"0.5503";"1 casulo + 14 fragmentos; 150h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 4h de incubacao."
"3";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"914.11";"6.0168";"0.2507";""
"3";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"1219.68";"4.5094";"0.1879";""
"3";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"116.36";"47.2671";"1.9695";""
"3";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"INCURSION_BALANCED";"49.16";"111.8796";"4.6616";""
"3";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"WORLD_BOSS_CALENDAR";"0";"";"";""
"3";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"MISSIONS_CALENDAR";"173.51";"31.6981";"1.3208";""
"3";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"6780";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"914.11";"7.4171";"0.309";"204 fragmentos; 23.99h esperadas de incursao balanceada."
"3";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"6780";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"1219.68";"5.5588";"0.2316";"204 fragmentos; 23.99h esperadas de incursao balanceada."
"3";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"6780";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"116.36";"58.2674";"2.4278";"204 fragmentos; 23.99h esperadas de incursao balanceada."
"3";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"6780";"CANONICAL";"INCURSION_BALANCED";"49.16";"137.917";"5.7465";"204 fragmentos; 23.99h esperadas de incursao balanceada."
"3";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"6780";"CANONICAL";"WORLD_BOSS_CALENDAR";"0";"";"";"204 fragmentos; 23.99h esperadas de incursao balanceada."
"3";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"6780";"CANONICAL";"MISSIONS_CALENDAR";"173.51";"39.0751";"1.6281";"204 fragmentos; 23.99h esperadas de incursao balanceada."
"3";"PET_INCUBATION";"Incubar Sucateiro Clínico";"";"1600";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"914.11";"1.7503";"0.0729";"1 casulo + 18 fragmentos; 171.43h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 6h de incubacao."
"3";"PET_INCUBATION";"Incubar Sucateiro Clínico";"";"1600";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"1219.68";"1.3118";"0.0547";"1 casulo + 18 fragmentos; 171.43h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 6h de incubacao."
"3";"PET_INCUBATION";"Incubar Sucateiro Clínico";"";"1600";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"116.36";"13.7504";"0.5729";"1 casulo + 18 fragmentos; 171.43h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 6h de incubacao."
"3";"PET_INCUBATION";"Incubar Sucateiro Clínico";"";"1600";"CANONICAL";"INCURSION_BALANCED";"49.16";"32.5468";"1.3561";"1 casulo + 18 fragmentos; 171.43h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 6h de incubacao."
"3";"PET_INCUBATION";"Incubar Sucateiro Clínico";"";"1600";"CANONICAL";"WORLD_BOSS_CALENDAR";"0";"";"";"1 casulo + 18 fragmentos; 171.43h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 6h de incubacao."
"3";"PET_INCUBATION";"Incubar Sucateiro Clínico";"";"1600";"CANONICAL";"MISSIONS_CALENDAR";"173.51";"9.2213";"0.3842";"1 casulo + 18 fragmentos; 171.43h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 6h de incubacao."
"4";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"1429";"3.8488";"0.1604";""
"4";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"1821.49";"3.0195";"0.1258";""
"4";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"252.95";"21.7434";"0.906";""
"4";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"INCURSION_BALANCED";"55.46";"99.1706";"4.1321";""
"4";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"WORLD_BOSS_CALENDAR";"0";"";"";""
"4";"POTIONS_100";"100x Poção de Vida";"";"5500";"CANONICAL";"MISSIONS_CALENDAR";"280.95";"19.5763";"0.8157";""
"4";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"12900";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"1429";"9.0273";"0.3761";"240 fragmentos; 32.89h esperadas de incursao balanceada."
"4";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"12900";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"1821.49";"7.0821";"0.2951";"240 fragmentos; 32.89h esperadas de incursao balanceada."
"4";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"12900";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"252.95";"50.9982";"2.1249";"240 fragmentos; 32.89h esperadas de incursao balanceada."
"4";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"12900";"CANONICAL";"INCURSION_BALANCED";"55.46";"232.6001";"9.6917";"240 fragmentos; 32.89h esperadas de incursao balanceada."
"4";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"12900";"CANONICAL";"WORLD_BOSS_CALENDAR";"0";"";"";"240 fragmentos; 32.89h esperadas de incursao balanceada."
"4";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"12900";"CANONICAL";"MISSIONS_CALENDAR";"280.95";"45.9152";"1.9131";"240 fragmentos; 32.89h esperadas de incursao balanceada."
"4";"PET_INCUBATION";"Incubar Sucateiro do Terminal";"";"3000";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"1429";"2.0994";"0.0875";"1 casulo + 24 fragmentos; 200h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 8h de incubacao."
"4";"PET_INCUBATION";"Incubar Sucateiro do Terminal";"";"3000";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"1821.49";"1.647";"0.0686";"1 casulo + 24 fragmentos; 200h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 8h de incubacao."
"4";"PET_INCUBATION";"Incubar Sucateiro do Terminal";"";"3000";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"252.95";"11.8601";"0.4942";"1 casulo + 24 fragmentos; 200h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 8h de incubacao."
"4";"PET_INCUBATION";"Incubar Sucateiro do Terminal";"";"3000";"CANONICAL";"INCURSION_BALANCED";"55.46";"54.093";"2.2539";"1 casulo + 24 fragmentos; 200h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 8h de incubacao."
"4";"PET_INCUBATION";"Incubar Sucateiro do Terminal";"";"3000";"CANONICAL";"WORLD_BOSS_CALENDAR";"0";"";"";"1 casulo + 24 fragmentos; 200h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 8h de incubacao."
"4";"PET_INCUBATION";"Incubar Sucateiro do Terminal";"";"3000";"CANONICAL";"MISSIONS_CALENDAR";"280.95";"10.678";"0.4449";"1 casulo + 24 fragmentos; 200h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 8h de incubacao."
"5";"POTIONS_100";"100x Poção de Vida Maior";"";"18000";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"2695.11";"6.6788";"0.2783";""
"5";"POTIONS_100";"100x Poção de Vida Maior";"";"18000";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"3370.08";"5.3411";"0.2225";""
"5";"POTIONS_100";"100x Poção de Vida Maior";"";"18000";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"232.89";"77.2897";"3.2204";""
"5";"POTIONS_100";"100x Poção de Vida Maior";"";"18000";"CANONICAL";"INCURSION_BALANCED";"57.79";"311.4726";"12.978";""
"5";"POTIONS_100";"100x Poção de Vida Maior";"";"18000";"CANONICAL";"WORLD_BOSS_CALENDAR";"0";"";"";""
"5";"POTIONS_100";"100x Poção de Vida Maior";"";"18000";"CANONICAL";"MISSIONS_CALENDAR";"668.75";"26.9159";"1.1215";""
"5";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"21000";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"2695.11";"7.7919";"0.3247";"276 fragmentos; 43.19h esperadas de incursao balanceada."
"5";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"21000";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"3370.08";"6.2313";"0.2596";"276 fragmentos; 43.19h esperadas de incursao balanceada."
"5";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"21000";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"232.89";"90.1713";"3.7571";"276 fragmentos; 43.19h esperadas de incursao balanceada."
"5";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"21000";"CANONICAL";"INCURSION_BALANCED";"57.79";"363.3847";"15.141";"276 fragmentos; 43.19h esperadas de incursao balanceada."
"5";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"21000";"CANONICAL";"WORLD_BOSS_CALENDAR";"0";"";"";"276 fragmentos; 43.19h esperadas de incursao balanceada."
"5";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"21000";"CANONICAL";"MISSIONS_CALENDAR";"668.75";"31.4019";"1.3084";"276 fragmentos; 43.19h esperadas de incursao balanceada."
"5";"PET_INCUBATION";"Incubar Sucateiro da Quarentena";"";"5000";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"2695.11";"1.8552";"0.0773";"1 casulo + 30 fragmentos; 240h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 12h de incubacao."
"5";"PET_INCUBATION";"Incubar Sucateiro da Quarentena";"";"5000";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"3370.08";"1.4836";"0.0618";"1 casulo + 30 fragmentos; 240h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 12h de incubacao."
"5";"PET_INCUBATION";"Incubar Sucateiro da Quarentena";"";"5000";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"232.89";"21.4694";"0.8946";"1 casulo + 30 fragmentos; 240h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 12h de incubacao."
"5";"PET_INCUBATION";"Incubar Sucateiro da Quarentena";"";"5000";"CANONICAL";"INCURSION_BALANCED";"57.79";"86.5202";"3.605";"1 casulo + 30 fragmentos; 240h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 12h de incubacao."
"5";"PET_INCUBATION";"Incubar Sucateiro da Quarentena";"";"5000";"CANONICAL";"WORLD_BOSS_CALENDAR";"0";"";"";"1 casulo + 30 fragmentos; 240h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 12h de incubacao."
"5";"PET_INCUBATION";"Incubar Sucateiro da Quarentena";"";"5000";"CANONICAL";"MISSIONS_CALENDAR";"668.75";"7.4766";"0.3115";"1 casulo + 30 fragmentos; 240h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 12h de incubacao."
