sessionLabel,sessionHours,huntingLevel,potionQuantity,tier,level,className,mapName,hp,potionHealAmount,secondsPerFind,ttkSeconds,secondsPerMob,maxKillsByTime,kills,xp,xpPerScheduledHour,xpPerActiveHour,xpPerPotion,potionsUsed,potionsNeededForFullSession,potionCoveragePercent,completionPercent,hoursUntilStop,damagePerHour,finalHpPercent,riskLevel,xpVsBestPercent
"12h",12,1,0,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,1870,248,2108,175.67,1319.93,2108,0,22,0,13.3,1.6,153.73,0,"HIGH",34.4
"12h",12,1,5,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,1870,652,5542,461.83,1323.22,1108.4,5,22,22.7,34.9,4.19,154.12,0,"HIGH",57.5
"12h",12,1,10,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,1870,1056,8976,748,1324,897.6,10,22,45.5,56.5,6.78,154.21,0,"HIGH",67
"12h",12,1,20,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,1870,1864,15844,1320.33,1324.54,792.2,20,22,90.9,99.7,11.96,154.27,0,"HIGH",92.3
"12h",12,1,50,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,1870,1870,15895,1324.58,1324.58,722.5,22,22,227.3,100,12,154.28,62.89,"LOW",92.6
"12h",12,1,100,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,1870,1870,15895,1324.58,1324.58,722.5,22,22,454.5,100,12,154.28,62.89,"LOW",92.6
"6h",6,1,0,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,950,273,2321,386.83,1342.2,2321,0,10,0,28.8,1.73,154.71,0,"HIGH",37.8
"6h",6,1,5,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,950,681,5789,964.83,1344.97,1157.8,5,10,50,71.7,4.3,155.05,0,"HIGH",67.4
"6h",6,1,10,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,950,950,8075,1345.83,1345.83,807.5,10,10,100,100,6,155.17,51.12,"MEDIUM",94.1
"6h",6,1,20,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,950,950,8075,1345.83,1345.83,807.5,10,10,200,100,6,155.17,51.12,"MEDIUM",94.1
"6h",6,1,50,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,950,950,8075,1345.83,1345.83,807.5,10,10,500,100,6,155.17,51.12,"MEDIUM",94.1
"6h",6,1,100,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,950,950,8075,1345.83,1345.83,807.5,10,10,999,100,6,155.17,51.12,"MEDIUM",94.1
"12h",12,1,0,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,1901,273,2321,193.42,1342.2,2321,0,22,0,14.4,1.73,154.71,0,"HIGH",37.8
"12h",12,1,5,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,1901,681,5789,482.42,1344.97,1157.8,5,22,22.7,35.9,4.3,155.05,0,"HIGH",60
"12h",12,1,10,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,1901,1089,9257,771.42,1345.67,925.7,10,22,45.5,57.3,6.88,155.14,0,"HIGH",69.1
"12h",12,1,20,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,1901,1901,16159,1346.58,1346.58,807.95,20,22,90.9,100,12,155.25,1.87,"HIGH",94.1
"12h",12,1,50,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,1901,1901,16159,1346.58,1346.58,734.5,22,22,227.3,100,12,155.25,61.57,"LOW",94.1
"12h",12,1,100,1,10,"Atirador","Subúrbio Silencioso",268,80,15,7.72,22.72,1901,1901,16159,1346.58,1346.58,734.5,22,22,454.5,100,12,155.25,61.57,"LOW",94.1
"6h",6,1,0,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,915,564,5189,864.83,1400.96,5189,0,7,0,61.7,3.7,170.55,0,"HIGH",84.6
"6h",6,1,5,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,915,915,8418,1403,1403,1683.6,5,7,71.4,100,6,170.8,16.96,"HIGH",98.1
"6h",6,1,10,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,915,915,8418,1403,1403,1202.57,7,7,142.9,100,6,170.8,48.61,"MEDIUM",98.1
"6h",6,1,20,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,915,915,8418,1403,1403,1202.57,7,7,285.7,100,6,170.8,48.61,"MEDIUM",98.1
"6h",6,1,50,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,915,915,8418,1403,1403,1202.57,7,7,714.3,100,6,170.8,48.61,"MEDIUM",98.1
"6h",6,1,100,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,915,915,8418,1403,1403,1202.57,7,7,999,100,6,170.8,48.61,"MEDIUM",98.1
"12h",12,1,0,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,1830,564,5189,432.42,1400.96,5189,0,17,0,30.9,3.7,170.55,0,"HIGH",84.6
"12h",12,1,5,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,1830,1010,9292,774.33,1402,1858.4,5,17,29.4,55.2,6.63,170.68,0,"HIGH",96.4
"12h",12,1,10,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,1830,1457,13404,1117,1402.39,1340.4,10,17,58.8,79.7,9.56,170.73,0,"HIGH",100
"12h",12,1,20,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,1830,1830,16836,1403,1403,990.35,17,17,117.6,100,12,170.8,44.68,"MEDIUM",98.1
"12h",12,1,50,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,1830,1830,16836,1403,1403,990.35,17,17,294.1,100,12,170.8,44.68,"MEDIUM",98.1
"12h",12,1,100,1,10,"Medico","Subúrbio Silencioso",632,100,15,8.6,23.6,1830,1830,16836,1403,1403,990.35,17,17,588.2,100,12,170.8,44.68,"MEDIUM",98.1
"6h",6,1,0,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,551,551,8706,1451,1451,8706,0,5,0,100,6,193.77,5.4,"HIGH",100
"6h",6,1,5,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,551,551,8706,1451,1451,1741.2,5,5,100,100,6,193.77,37.95,"MEDIUM",100
"6h",6,1,10,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,551,551,8706,1451,1451,1741.2,5,5,200,100,6,193.77,37.95,"MEDIUM",100
"6h",6,1,20,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,551,551,8706,1451,1451,1741.2,5,5,400,100,6,193.77,37.95,"MEDIUM",100
"6h",6,1,50,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,551,551,8706,1451,1451,1741.2,5,5,999,100,6,193.77,37.95,"MEDIUM",100
"6h",6,1,100,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,551,551,8706,1451,1451,1741.2,5,5,999,100,6,193.77,37.95,"MEDIUM",100
"12h",12,1,0,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,1103,582,9196,766.33,1450.44,9196,0,20,0,52.8,6.34,193.69,0,"HIGH",100
"12h",12,1,5,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,1103,772,12198,1016.5,1451.04,2439.6,5,20,25,70.1,8.41,193.77,0,"HIGH",100
"12h",12,1,10,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,1103,961,15184,1265.33,1451.38,1518.4,10,20,50,87.2,10.46,193.82,0,"HIGH",100
"12h",12,1,20,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,1103,1103,17427,1452.25,1452.25,871.35,20,20,100,100,12,193.94,40.82,"MEDIUM",100
"12h",12,1,50,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,1103,1103,17427,1452.25,1452.25,871.35,20,20,250,100,12,193.94,40.82,"MEDIUM",100
"12h",12,1,100,2,20,"Lutador","Distrito da Ferrugem",1229,80,15,24.15,39.15,1103,1103,17427,1452.25,1452.25,871.35,20,20,500,100,12,193.94,40.82,"MEDIUM",100
"6h",6,1,0,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,575,208,3016,502.67,1384.6,3016,0,11,0,36.3,2.18,184.3,0,"HIGH",34.6
"6h",6,1,5,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,575,415,6018,1003,1388.03,1203.6,5,11,45.5,72.3,4.34,184.74,0,"HIGH",69.1
"6h",6,1,10,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,575,575,8338,1389.67,1389.67,833.8,10,11,90.9,100,6,184.96,22.95,"HIGH",95.8
"6h",6,1,20,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,575,575,8338,1389.67,1389.67,758,11,11,181.8,100,6,184.96,42.85,"MEDIUM",95.8
"6h",6,1,50,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,575,575,8338,1389.67,1389.67,758,11,11,454.5,100,6,184.96,42.85,"MEDIUM",95.8
"6h",6,1,100,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,575,575,8338,1389.67,1389.67,758,11,11,909.1,100,6,184.96,42.85,"MEDIUM",95.8
"12h",12,1,0,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,1151,208,3016,251.33,1384.6,3016,0,25,0,18.2,2.18,184.3,0,"HIGH",32.8
"12h",12,1,5,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,1151,415,6018,501.5,1388.03,1203.6,5,25,20,36.1,4.34,184.74,0,"HIGH",49.3
"12h",12,1,10,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,1151,622,9019,751.58,1389.02,901.9,10,25,40,54.1,6.49,184.88,0,"HIGH",59.4
"12h",12,1,20,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,1151,1037,15037,1253.08,1389.96,751.85,20,25,80,90.2,10.82,185,0,"HIGH",86.3
"12h",12,1,50,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,1151,1151,16690,1390.83,1390.83,667.6,25,25,200,100,12,185.12,44.92,"MEDIUM",95.8
"12h",12,1,100,2,20,"Assassino","Distrito da Ferrugem",402,80,15,22.52,37.52,1151,1151,16690,1390.83,1390.83,667.6,25,25,400,100,12,185.12,44.92,"MEDIUM",95.8
"6h",6,1,0,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,575,239,3466,577.67,1385.66,3466,0,10,0,41.7,2.5,169.12,0,"HIGH",39.8
"6h",6,1,5,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,575,465,6743,1123.83,1388.38,1348.6,5,10,50,80.9,4.86,169.46,0,"HIGH",77.5
"6h",6,1,10,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,575,575,8338,1389.67,1389.67,833.8,10,10,100,100,6,169.63,48.64,"MEDIUM",95.8
"6h",6,1,20,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,575,575,8338,1389.67,1389.67,833.8,10,10,200,100,6,169.63,48.64,"MEDIUM",95.8
"6h",6,1,50,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,575,575,8338,1389.67,1389.67,833.8,10,10,500,100,6,169.63,48.64,"MEDIUM",95.8
"6h",6,1,100,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,575,575,8338,1389.67,1389.67,833.8,10,10,999,100,6,169.63,48.64,"MEDIUM",95.8
"12h",12,1,0,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,1151,239,3466,288.83,1385.66,3466,0,23,0,20.8,2.5,169.12,0,"HIGH",37.7
"12h",12,1,5,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,1151,465,6743,561.92,1388.38,1348.6,5,23,21.7,40.5,4.86,169.46,0,"HIGH",55.3
"12h",12,1,10,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,1151,691,10020,835,1389.32,1002,10,23,43.5,60.1,7.21,169.58,0,"HIGH",66
"12h",12,1,20,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,1151,1143,16574,1381.17,1390.08,828.7,20,23,87,99.4,11.92,169.68,0,"HIGH",95.1
"12h",12,1,50,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,1151,1151,16690,1390.83,1390.83,725.65,23,23,217.4,100,12,169.77,53.47,"MEDIUM",95.8
"12h",12,1,100,2,20,"Atirador","Distrito da Ferrugem",424,80,15,22.52,37.52,1151,1151,16690,1390.83,1390.83,725.65,23,23,434.8,100,12,169.77,53.47,"MEDIUM",95.8
"6h",6,1,0,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,548,475,7505,1250.83,1440.99,7505,0,6,0,86.8,5.21,213.41,0,"HIGH",86.2
"6h",6,1,5,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,548,548,8658,1443,1443,1731.6,5,6,83.3,100,6,213.72,29.65,"MEDIUM",99.4
"6h",6,1,10,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,548,548,8658,1443,1443,1443,6,6,166.7,100,6,213.72,38.64,"MEDIUM",99.4
"6h",6,1,20,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,548,548,8658,1443,1443,1443,6,6,333.3,100,6,213.72,38.64,"MEDIUM",99.4
"6h",6,1,50,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,548,548,8658,1443,1443,1443,6,6,833.3,100,6,213.72,38.64,"MEDIUM",99.4
"6h",6,1,100,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,548,548,8658,1443,1443,1443,6,6,999,100,6,213.72,38.64,"MEDIUM",99.4
"12h",12,1,0,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,1096,475,7505,625.42,1440.99,7505,0,19,0,43.4,5.21,213.41,0,"HIGH",81.6
"12h",12,1,5,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,1096,688,10870,905.83,1441.87,2174,5,19,26.3,62.8,7.54,213.55,0,"HIGH",89.1
"12h",12,1,10,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,1096,902,14252,1187.67,1442.46,1425.2,10,19,52.6,82.3,9.88,213.62,0,"HIGH",93.9
"12h",12,1,20,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,1096,1096,17317,1443.08,1443.08,911.42,19,19,105.3,100,12,213.72,40.23,"MEDIUM",99.4
"12h",12,1,50,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,1096,1096,17317,1443.08,1443.08,911.42,19,19,263.2,100,12,213.72,40.23,"MEDIUM",99.4
"12h",12,1,100,2,20,"Medico","Distrito da Ferrugem",1112,100,15,24.39,39.39,1096,1096,17317,1443.08,1443.08,911.42,19,19,526.3,100,12,213.72,40.23,"MEDIUM",99.4
"6h",6,1,0,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,462,252,7106,1184.33,2164.7,7106,0,13,0,54.7,3.28,529.69,0,"HIGH",100
"6h",6,1,5,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,462,374,10547,1757.83,2167.66,2109.4,5,13,38.5,81.1,4.87,530.37,0,"HIGH",100
"6h",6,1,10,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,462,462,13028,2171.33,2171.33,1302.8,10,13,76.9,100,6,531.3,13.87,"HIGH",100
"6h",6,1,20,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,462,462,13028,2171.33,2171.33,1002.15,13,13,153.8,100,6,531.3,43.02,"MEDIUM",100
"6h",6,1,50,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,462,462,13028,2171.33,2171.33,1002.15,13,13,384.6,100,6,531.3,43.02,"MEDIUM",100
"6h",6,1,100,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,462,462,13028,2171.33,2171.33,1002.15,13,13,769.2,100,6,531.3,43.02,"MEDIUM",100
"12h",12,1,0,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,924,252,7106,592.17,2164.7,7106,0,32,0,27.4,3.28,529.69,0,"HIGH",100
"12h",12,1,5,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,924,374,10547,878.92,2167.66,2109.4,5,32,15.6,40.5,4.87,530.37,0,"HIGH",100
"12h",12,1,10,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,924,496,13987,1165.58,2169.01,1398.7,10,32,31.3,53.7,6.45,530.72,0,"HIGH",100
"12h",12,1,20,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,924,741,20896,1741.33,2170.46,1044.8,20,32,62.5,80.2,9.63,531.08,0,"HIGH",100
"12h",12,1,50,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,924,924,26057,2171.42,2171.42,814.28,32,32,156.3,100,12,531.3,44.36,"MEDIUM",100
"12h",12,1,100,3,30,"Lutador","Hospital Santa Ruína",1739,169,15,31.71,46.71,924,924,26057,2171.42,2171.42,814.28,32,32,312.5,100,12,531.3,44.36,"MEDIUM",100
"6h",6,1,0,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,490,72,1843,307.17,2061.88,1843,0,28,0,14.9,0.89,596.88,0,"HIGH",25.9
"6h",6,1,5,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,490,153,3917,652.83,2077.27,783.4,5,28,17.9,31.4,1.89,601.24,0,"HIGH",37.1
"6h",6,1,10,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,490,235,6016,1002.67,2081.89,601.6,10,28,35.7,48.2,2.89,602.61,0,"HIGH",46.2
"6h",6,1,20,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,490,398,10189,1698.17,2085.55,509.45,20,28,71.4,81.4,4.89,603.66,0,"HIGH",78.2
"6h",6,1,50,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,490,490,12544,2090.67,2090.67,448,28,28,178.6,100,6,605.15,54.51,"MEDIUM",96.3
"6h",6,1,100,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,490,490,12544,2090.67,2090.67,448,28,28,357.1,100,6,605.15,54.51,"MEDIUM",96.3
"12h",12,1,0,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,980,72,1843,153.58,2061.88,1843,0,58,0,7.4,0.89,596.88,0,"HIGH",25.9
"12h",12,1,5,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,980,153,3917,326.42,2077.27,783.4,5,58,8.6,15.7,1.89,601.24,0,"HIGH",37.1
"12h",12,1,10,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,980,235,6016,501.33,2081.89,601.6,10,58,17.2,24.1,2.89,602.61,0,"HIGH",43
"12h",12,1,20,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,980,398,10189,849.08,2085.55,509.45,20,58,34.5,40.7,4.89,603.66,0,"HIGH",48.8
"12h",12,1,50,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,980,888,22733,1894.42,2088.41,454.66,50,58,86.2,90.7,10.89,604.49,0,"HIGH",87.2
"12h",12,1,100,3,30,"Assassino","Hospital Santa Ruína",534,121,15,29.08,44.08,980,980,25088,2090.67,2090.67,432.55,58,58,172.4,100,12,605.15,54.34,"MEDIUM",96.3
"6h",6,1,0,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,490,76,1946,324.33,2064.02,1946,0,26,0,15.7,0.94,577.97,0,"HIGH",27.4
"6h",6,1,5,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,490,161,4122,687,2078.04,824.4,5,26,19.2,33.1,1.98,581.96,0,"HIGH",39.1
"6h",6,1,10,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,490,246,6298,1049.67,2082.41,629.8,10,26,38.5,50.4,3.02,583.2,0,"HIGH",48.3
"6h",6,1,20,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,490,417,10675,1779.17,2085.7,533.75,20,26,76.9,85.3,5.12,584.17,0,"HIGH",81.9
"6h",6,1,50,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,490,490,12544,2090.67,2090.67,482.46,26,26,192.3,100,6,585.55,37.95,"MEDIUM",96.3
"6h",6,1,100,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,490,490,12544,2090.67,2090.67,482.46,26,26,384.6,100,6,585.55,37.95,"MEDIUM",96.3
"12h",12,1,0,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,980,76,1946,162.17,2064.02,1946,0,55,0,7.9,0.94,577.97,0,"HIGH",27.4
"12h",12,1,5,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,980,161,4122,343.5,2078.04,824.4,5,55,9.1,16.5,1.98,581.96,0,"HIGH",39.1
"12h",12,1,10,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,980,246,6298,524.83,2082.41,629.8,10,55,18.2,25.2,3.02,583.2,0,"HIGH",45
"12h",12,1,20,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,980,417,10675,889.58,2085.7,533.75,20,55,36.4,42.7,5.12,584.17,0,"HIGH",51.1
"12h",12,1,50,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,980,927,23731,1977.58,2088.47,474.62,50,55,90.9,94.7,11.36,584.94,0,"HIGH",91.1
"12h",12,1,100,3,30,"Atirador","Hospital Santa Ruína",550,122,15,29.08,44.08,980,980,25088,2090.67,2090.67,456.15,55,55,181.8,100,12,585.55,42.44,"MEDIUM",96.3
"6h",6,1,0,3,30,"Medico","Hospital Santa Ruína",1580,203,15,31.71,46.71,462,192,5414,902.33,2161.99,5414,0,14,0,41.7,2.5,627.94,0,"HIGH",76.2
"6h",6,1,5,3,30,"Medico","Hospital Santa Ruína",1580,203,15,31.71,46.71,462,316,8911,1485.17,2166.51,1782.2,5,14,35.7,68.6,4.11,629.22,0,"HIGH",84.5
"6h",6,1,10,3,30,"Medico","Hospital Santa Ruína",1580,203,15,31.71,46.71,462,440,12408,2068,2168.48,1240.8,10,14,71.4,95.4,5.72,629.78,0,"HIGH",95.2
"6h",6,1,20,3,30,"Medico","Hospital Santa Ruína",1580,203,15,31.71,46.71,462,462,13028,2171.33,2171.33,930.57,14,14,142.9,100,6,630.63,40.39,"MEDIUM",100
"6h",6,1,50,3,30,"Medico","Hospital Santa Ruína",1580,203,15,31.71,46.71,462,462,13028,2171.33,2171.33,930.57,14,14,357.1,100,6,630.63,40.39,"MEDIUM",100
"6h",6,1,100,3,30,"Medico","Hospital Santa Ruína",1580,203,15,31.71,46.71,462,462,13028,2171.33,2171.33,930.57,14,14,714.3,100,6,630.63,40.39,"MEDIUM",100
"12h",12,1,0,3,30,"Medico","Hospital Santa Ruína",1580,203,15,31.71,46.71,924,192,5414,451.17,2161.99,5414,0,33,0,20.9,2.5,627.94,0,"HIGH",76.2
"12h",12,1,5,3,30,"Medico","Hospital Santa Ruína",1580,203,15,31.71,46.71,924,316,8911,742.58,2166.51,1782.2,5,33,15.2,34.3,4.11,629.22,0,"HIGH",84.5
