scenario;tier;bossName;difficulty;iterations;averageInitialParticipants;victoryChancePercent;actualAbandonmentPercent;rewardCoveragePercent;eligibleVictoryCoveragePercent;averageDurationMinutes;p50DurationMinutes;p90DurationMinutes;averageProgressPercent;goldPerRegistration;xpPerRegistration;eligibleVictoryXpPerRegistration;otherXpPerRegistration;fragmentsPerRegistration;cocoonChancePerRegistrationPercent;totalGoldInjectedPerEvent;activeHoursPerRegistration;directGoldPerParticipantHour;autoCombatNetGoldPerHour;autoCombatXpPerHour;directGoldRateVsAutoCombatPercent;eventsPerCalendarDay;classRegistrations;gearRegistrations
"LOW_POPULATION";"1";"Síndico Devorado";"CONTENCAO";"10000";"1.71";"95.44";"9.63";"90.37";"90.37";"54.6";"45";"56.25";"98.19";"216.52";"708.42";"708.42";"0";"2.2507";"16.6073";"370.53";"0.7268";"297.9";"773.14";"1820.17";"38.53";"3.4732";"{""Médico"":4343,""Atirador"":4241,""Lutador"":4223,""Assassino"":4306}";"{""PREVIOUS"":15372,""CURRENT"":1741}"
"LOW_POPULATION";"1";"Cão Alfa da Rua das Cercas";"EXTERMINIO";"10000";"1.71";"95.02";"9.73";"90.27";"90.27";"71.27";"60";"75";"98.02";"216.55";"708.42";"708.42";"0";"2.2538";"16.4736";"370.17";"0.9832";"220.25";"773.14";"1820.17";"28.49";"1.8199";"{""Lutador"":4288,""Assassino"":4354,""Atirador"":4293,""Médico"":4159}";"{""PREVIOUS"":15417,""CURRENT"":1677}"
"LOW_POPULATION";"2";"Capataz Enferrujado";"CONTENCAO";"10000";"1.69";"94.96";"9.75";"90.25";"90.25";"55.37";"45.25";"56.25";"98";"450.9";"1653.53";"1653.53";"0";"3.1651";"14.4217";"762.88";"0.7308";"617.02";"853.88";"1418.83";"72.26";"3.4668";"{""Assassino"":4244,""Atirador"":4198,""Lutador"":4248,""Médico"":4229}";"{""PREVIOUS"":15203,""CURRENT"":1716}"
"LOW_POPULATION";"2";"Empilhadeira Carniceira";"EXTERMINIO";"10000";"1.71";"95.55";"9.52";"90.48";"90.48";"70.79";"60";"75";"98.26";"452.83";"1656.89";"1656.89";"0";"3.1658";"14.7792";"773.34";"0.9852";"459.61";"853.88";"1418.83";"53.83";"1.821";"{""Assassino"":4275,""Lutador"":4303,""Médico"":4252,""Atirador"":4248}";"{""PREVIOUS"":15305,""CURRENT"":1773}"
"LOW_POPULATION";"3";"Cirurgião Sem Pulso";"CONTENCAO";"10000";"1.7";"94.97";"9.87";"90.13";"90.13";"55.31";"45.02";"56.25";"97.93";"702.26";"2831.7";"2831.7";"0";"4.0508";"12.2455";"1196.86";"0.7285";"963.99";"914.11";"1707.96";"105.46";"3.4673";"{""Lutador"":4279,""Médico"":4205,""Atirador"":4330,""Assassino"":4229}";"{""PREVIOUS"":15337,""CURRENT"":1706}"
"LOW_POPULATION";"3";"Paciente Zero da Ala Norte";"EXTERMINIO";"10000";"1.69";"94.99";"9.76";"90.24";"90.24";"71.51";"61.31";"75";"98.08";"703.56";"2831.59";"2831.59";"0";"4.0552";"12.4815";"1187.12";"0.9891";"711.28";"914.11";"1707.96";"77.81";"1.8193";"{""Médico"":4238,""Atirador"":4205,""Lutador"":4223,""Assassino"":4207}";"{""PREVIOUS"":15137,""CURRENT"":1736}"
"LOW_POPULATION";"4";"Fiscal dos Mortos";"CONTENCAO";"10000";"1.71";"95.43";"9.57";"90.43";"90.43";"54.7";"45";"56.25";"98.2";"975.51";"4257.89";"4257.89";"0";"4.9672";"10.6144";"1667.14";"0.7297";"1336.91";"1429";"1896.79";"93.56";"3.4724";"{""Médico"":4243,""Atirador"":4291,""Lutador"":4264,""Assassino"":4292}";"{""PREVIOUS"":15358,""CURRENT"":1732}"
"LOW_POPULATION";"4";"Condutor Sem Rota";"EXTERMINIO";"10000";"1.7";"95.63";"9.43";"90.57";"90.57";"70.76";"60";"75";"98.23";"977.95";"4264.71";"4264.71";"0";"4.9819";"10.7679";"1662.03";"0.9881";"989.75";"1429";"1896.79";"69.26";"1.821";"{""Atirador"":4279,""Lutador"":4297,""Assassino"":4250,""Médico"":4169}";"{""PREVIOUS"":15297,""CURRENT"":1698}"
"LOW_POPULATION";"5";"Comandante Lacrado";"CONTENCAO";"10000";"1.7";"95.35";"9.4";"90.6";"90.6";"54.85";"45";"56.25";"98.22";"1266.63";"5926.64";"5926.64";"0";"5.8907";"9.1959";"2148.71";"0.7319";"1730.61";"2695.11";"2662.9";"64.21";"3.4712";"{""Médico"":4292,""Lutador"":4204,""Atirador"":4264,""Assassino"":4204}";"{""PREVIOUS"":15274,""CURRENT"":1690}"
"LOW_POPULATION";"5";"Besta de Descontaminação";"EXTERMINIO";"10000";"1.71";"95.64";"9.99";"90.01";"90.01";"70.83";"60.7";"75";"98.31";"1260.75";"5887.2";"5887.2";"0";"5.8522";"8.7962";"2154.24";"0.9867";"1277.68";"2695.11";"2662.9";"47.41";"1.8209";"{""Lutador"":4267,""Assassino"":4366,""Médico"":4243,""Atirador"":4211}";"{""PREVIOUS"":15435,""CURRENT"":1652}"
"MIXED_GROUP";"1";"Síndico Devorado";"CONTENCAO";"10000";"4.19";"99.92";"6.73";"93.27";"93.27";"34.52";"33.56";"39.49";"99.97";"223.55";"731.83";"731.83";"0";"2.3336";"16.6396";"935.76";"0.5279";"423.45";"773.14";"1820.17";"54.77";"3.65";"{""Assassino"":10382,""Médico"":10520,""Lutador"":10367,""Atirador"":10589}";"{""PREVIOUS"":16742,""CURRENT"":25116}"
"MIXED_GROUP";"1";"Cão Alfa da Rua das Cercas";"EXTERMINIO";"10000";"4.23";"99.87";"6.91";"93.09";"93.09";"46.75";"45.23";"53.69";"99.96";"223.34";"730.38";"730.38";"0";"2.3288";"16.3844";"944.09";"0.7164";"311.74";"773.14";"1820.17";"40.32";"1.8781";"{""Lutador"":10652,""Assassino"":10636,""Médico"":10527,""Atirador"":10457}";"{""PREVIOUS"":16938,""CURRENT"":25334}"
"MIXED_GROUP";"2";"Capataz Enferrujado";"CONTENCAO";"10000";"4.2";"99.82";"7.11";"92.89";"92.89";"35.17";"34.26";"40.39";"99.95";"464.43";"1700.72";"1700.72";"0";"3.2483";"14.8807";"1950.34";"0.5351";"867.89";"853.88";"1418.83";"101.64";"3.644";"{""Assassino"":10660,""Atirador"":10239,""Médico"":10530,""Lutador"":10565}";"{""PREVIOUS"":16941,""CURRENT"":25053}"
"MIXED_GROUP";"2";"Empilhadeira Carniceira";"EXTERMINIO";"10000";"4.16";"99.9";"6.92";"93.08";"93.08";"47.18";"45.69";"54.31";"99.96";"465.46";"1704.86";"1704.86";"0";"3.256";"15.256";"1937.97";"0.7243";"642.66";"853.88";"1418.83";"75.26";"1.877";"{""Lutador"":10448,""Assassino"":10431,""Médico"":10371,""Atirador"":10386}";"{""PREVIOUS"":16620,""CURRENT"":25016}"
"MIXED_GROUP";"3";"Cirurgião Sem Pulso";"CONTENCAO";"10000";"4.2";"99.8";"6.9";"93.1";"93.1";"35.1";"34.22";"39.99";"99.93";"726.23";"2921.48";"2921.48";"0";"4.1914";"13.0618";"3047.42";"0.5339";"1360.32";"914.11";"1707.96";"148.81";"3.6446";"{""Assassino"":10438,""Lutador"":10570,""Atirador"":10409,""Médico"":10545}";"{""PREVIOUS"":16675,""CURRENT"":25287}"
"MIXED_GROUP";"3";"Paciente Zero da Ala Norte";"EXTERMINIO";"10000";"4.2";"99.78";"7.21";"92.79";"92.79";"47.22";"45.66";"54.25";"99.93";"724.89";"2913.4";"2913.4";"0";"4.1765";"13.1091";"3046.85";"0.7219";"1004.18";"914.11";"1707.96";"109.85";"1.8769";"{""Atirador"":10289,""Médico"":10623,""Lutador"":10496,""Assassino"":10624}";"{""PREVIOUS"":16693,""CURRENT"":25339}"
"MIXED_GROUP";"4";"Fiscal dos Mortos";"CONTENCAO";"10000";"4.17";"99.83";"7.13";"92.87";"92.87";"35.26";"34.33";"40.39";"99.94";"1001.39";"4371.14";"4371.14";"0";"5.1046";"10.9288";"4175.5";"0.5363";"1867.32";"1429";"1896.79";"130.67";"3.6432";"{""Lutador"":10373,""Médico"":10424,""Atirador"":10429,""Assassino"":10471}";"{""PREVIOUS"":16581,""CURRENT"":25116}"
"MIXED_GROUP";"4";"Condutor Sem Rota";"EXTERMINIO";"10000";"4.22";"99.85";"6.71";"93.29";"93.29";"47.08";"45.76";"54.11";"99.95";"1010.46";"4393.94";"4393.94";"0";"5.1349";"11.3094";"4262.74";"0.7233";"1397.07";"1429";"1896.79";"97.77";"1.8773";"{""Assassino"":10581,""Lutador"":10539,""Médico"":10428,""Atirador"":10638}";"{""PREVIOUS"":16729,""CURRENT"":25457}"
"MIXED_GROUP";"5";"Comandante Lacrado";"CONTENCAO";"10000";"4.19";"99.93";"7.04";"92.96";"92.96";"34.98";"34.3";"40.07";"99.97";"1300.67";"6078.67";"6078.67";"0";"6.0401";"9.2223";"5455.29";"0.5352";"2430.47";"2695.11";"2662.9";"90.18";"3.6458";"{""Médico"":10479,""Atirador"":10617,""Lutador"":10266,""Assassino"":10580}";"{""PREVIOUS"":16779,""CURRENT"":25163}"
"MIXED_GROUP";"5";"Besta de Descontaminação";"EXTERMINIO";"10000";"4.21";"99.89";"7.06";"92.94";"92.94";"47.21";"45.81";"54.37";"99.96";"1302.9";"6077.66";"6077.66";"0";"6.0381";"9.487";"5490.68";"0.7237";"1800.23";"2695.11";"2662.9";"66.8";"1.8769";"{""Assassino"":10410,""Médico"":10407,""Lutador"":10607,""Atirador"":10718}";"{""PREVIOUS"":16913,""CURRENT"":25229}"
"ABANDONMENT_STRESS";"1";"Síndico Devorado";"CONTENCAO";"10000";"1.9";"85.19";"29.48";"70.52";"70.52";"69.45";"54.84";"180";"94.11";"169.18";"553.55";"553.55";"0";"1.7625";"13.0618";"321.87";"0.6759";"250.32";"773.14";"1820.17";"32.38";"3.3531";"{""Lutador"":4837,""Atirador"":4681,""Assassino"":4790,""Médico"":4717}";"{""PREVIOUS"":17121,""CURRENT"":1904}"
"ABANDONMENT_STRESS";"1";"Cão Alfa da Rua das Cercas";"EXTERMINIO";"10000";"1.9";"85.92";"29.21";"70.79";"70.79";"83.8";"75";"180";"94.39";"169.94";"555.38";"555.38";"0";"1.7731";"12.837";"322.09";"0.9169";"185.34";"773.14";"1820.17";"23.97";"1.7915";"{""Atirador"":4762,""Lutador"":4627,""Assassino"":4735,""Médico"":4829}";"{""PREVIOUS"":17055,""CURRENT"":1898}"
"ABANDONMENT_STRESS";"2";"Capataz Enferrujado";"CONTENCAO";"10000";"1.9";"85.64";"29.76";"70.24";"70.24";"69.09";"56.25";"180";"94.39";"351.15";"1286.54";"1286.54";"0";"2.4593";"11.0264";"667.82";"0.6794";"516.88";"853.88";"1418.83";"60.53";"3.3559";"{""Lutador"":4817,""Médico"":4720,""Assassino"":4712,""Atirador"":4769}";"{""PREVIOUS"":17080,""CURRENT"":1938}"
"ABANDONMENT_STRESS";"2";"Empilhadeira Carniceira";"EXTERMINIO";"10000";"1.88";"85.13";"29.35";"70.65";"70.65";"84.73";"75";"180";"94.02";"353.12";"1292.41";"1292.41";"0";"2.4736";"10.9627";"663.54";"0.9171";"385.05";"853.88";"1418.83";"45.09";"1.7894";"{""Médico"":4619,""Assassino"":4721,""Atirador"":4743,""Lutador"":4708}";"{""PREVIOUS"":16851,""CURRENT"":1940}"
"ABANDONMENT_STRESS";"3";"Cirurgião Sem Pulso";"CONTENCAO";"10000";"1.9";"85.61";"29.68";"70.32";"70.32";"69.09";"55.58";"180";"94.44";"549.01";"2208.19";"2208.19";"0";"3.1646";"9.7653";"1043.44";"0.6792";"808.27";"914.11";"1707.96";"88.42";"3.3559";"{""Médico"":4881,""Assassino"":4682,""Atirador"":4688,""Lutador"":4755}";"{""PREVIOUS"":17057,""CURRENT"":1949}"
"ABANDONMENT_STRESS";"3";"Paciente Zero da Ala Norte";"EXTERMINIO";"10000";"1.89";"84.96";"29.64";"70.36";"70.36";"84.81";"75";"180";"94";"548.94";"2209.03";"2209.03";"0";"3.166";"9.7695";"1038.37";"0.9144";"600.31";"914.11";"1707.96";"65.67";"1.7893";"{""Médico"":4646,""Atirador"":4766,""Lutador"":4694,""Assassino"":4810}";"{""PREVIOUS"":16942,""CURRENT"":1974}"
"ABANDONMENT_STRESS";"4";"Fiscal dos Mortos";"CONTENCAO";"10000";"1.9";"85.7";"29.66";"70.34";"70.34";"69.01";"56.25";"180";"94.31";"759.1";"3311.26";"3311.26";"0";"3.8667";"8.5912";"1444.65";"0.6779";"1119.71";"1429";"1896.79";"78.36";"3.3566";"{""Atirador"":4690,""Lutador"":4826,""Assassino"":4774,""Médico"":4741}";"{""PREVIOUS"":17082,""CURRENT"":1949}"
"ABANDONMENT_STRESS";"4";"Condutor Sem Rota";"EXTERMINIO";"10000";"1.91";"85.67";"29.36";"70.64";"70.64";"83.91";"74.39";"180";"94.41";"762.32";"3329.49";"3329.49";"0";"3.8843";"8.2371";"1458.55";"0.9148";"833.27";"1429";"1896.79";"58.31";"1.7912";"{""Lutador"":4770,""Assassino"":4781,""Médico"":4804,""Atirador"":4778}";"{""PREVIOUS"":17229,""CURRENT"":1904}"
"ABANDONMENT_STRESS";"5";"Comandante Lacrado";"CONTENCAO";"10000";"1.9";"85.35";"29.39";"70.61";"70.61";"69.45";"56.25";"180";"94.05";"988.89";"4619.27";"4619.27";"0";"4.5895";"7.0424";"1877.42";"0.6776";"1459.36";"2695.11";"2662.9";"54.15";"3.3531";"{""Médico"":4765,""Assassino"":4714,""Lutador"":4815,""Atirador"":4691}";"{""PREVIOUS"":17051,""CURRENT"":1934}"
"ABANDONMENT_STRESS";"5";"Besta de Descontaminação";"EXTERMINIO";"10000";"1.89";"85.32";"29.67";"70.33";"70.33";"84.49";"75";"180";"94.17";"984.69";"4598.21";"4598.21";"0";"4.5694";"6.9678";"1864.02";"0.9161";"1074.82";"2695.11";"2662.9";"39.88";"1.79";"{""Assassino"":4706,""Lutador"":4813,""Atirador"":4640,""Médico"":4771}";"{""PREVIOUS"":17006,""CURRENT"":1924}"
