scenario;tier;iterations;victoryChancePercent;actualAbandonmentPercent;rewardCoveragePercent;averageDurationMinutes;goldPerRegistration;xpPerRegistration;fragmentsPerRegistration;cocoonChancePerRegistrationPercent;directGoldPerParticipantHour;autoCombatNetGoldPerHour;autoCombatXpPerHour;maxBossGoldPerPlayerCalendarDay;maxBossGoldVsEightHourAutoCombatPercent;maxBossActiveHoursPerPlayerCalendarDay;maxBossOpportunityCostGoldPerCalendarDay;maxNetGoldDeltaVsEightHourAutoCombatPercent;maxBossXpPerPlayerCalendarDay;rawMaxBossXpPerPlayerCalendarDay;maxBossOpportunityCostXpPerCalendarDay;maxNetXpDeltaVsEightHourAutoCombatPercent;maxBossFragmentsPerPlayerCalendarDay;totalBossWindowsPerCalendarDay;maxEligiblePetRewardVictoriesPerCalendarDay;fullPetRewardVictoriesPerCalendarDay;activeDailyCocoonChancePercent;medianCocoonAttempts;p90CocoonAttempts;medianCocoonCalendarDaysAllWindows;p90CocoonCalendarDaysAllWindows;expectedFragmentAttempts;expectedFragmentDaysAllWindows;expectedPetInputDaysAtOneAttemptPerDay;expectedPetInputDaysAllWindows
"MIXED_GROUP";"1";"20000";"99.9";"6.82";"93.18";"40.64";"223.45";"731.11";"2.3312";"16.512";"367.6";"773.14";"1820.17";"1235.41";"19.97";"3.2723";"2529.95";"-20.93";"4042.91";"4042.91";"5956.15";"-13.14";"6.6546";"5.5281";"5.1527";"1";"18.6112";"4";"13";"4";"12";"4.29";"1.5";"4.29";"4"
"MIXED_GROUP";"2";"20000";"99.86";"7.02";"92.99";"41.18";"464.95";"1702.79";"3.2522";"15.0684";"755.28";"853.88";"1418.83";"2566.05";"37.56";"3.3094";"2825.84";"-3.8";"4180.5";"9397.45";"4695.5";"-4.54";"7.6293";"5.521";"5.132";"1";"16.5539";"5";"15";"4";"13";"4.3";"1.84";"5";"4"
"MIXED_GROUP";"3";"20000";"99.79";"7.06";"92.95";"41.16";"725.56";"2917.44";"4.1839";"13.0854";"1182.25";"914.11";"1707.96";"4007.36";"54.8";"3.3008";"3017.28";"13.54";"7167.55";"16115.79";"5637.61";"11.2";"8.6364";"5.5215";"5.1347";"1";"14.4967";"5";"17";"5";"15";"4.3";"2.08";"5";"5"
"MIXED_GROUP";"4";"20000";"99.84";"6.92";"93.08";"41.17";"1005.93";"4382.54";"5.1198";"11.1191";"1632.2";"1429";"1896.79";"5545.2";"48.51";"3.3117";"4732.42";"7.11";"10751.26";"24173.68";"6281.6";"29.46";"9.6339";"5.5205";"5.1348";"1";"12.4358";"6";"20";"6";"18";"4.69";"2.49";"6";"6"
"MIXED_GROUP";"5";"20000";"99.91";"7.05";"92.95";"41.1";"1301.79";"6078.17";"6.0391";"9.3547";"2115.35";"2695.11";"2662.9";"7187.4";"33.34";"3.3095";"8919.59";"-8.03";"14931.32";"33568.78";"8812.99";"28.72";"10.6308";"5.5227";"5.1335";"1";"10.3714";"8";"24";"7";"22";"4.97";"2.82";"8";"7"
"ABANDONMENT_STRESS";"1";"20000";"85.56";"29.35";"70.66";"76.63";"169.56";"554.46";"1.7678";"12.9494";"217.83";"773.14";"1820.17";"871.72";"14.09";"3.909";"3022.19";"-34.77";"2851.07";"2851.07";"7115.02";"-29.28";"5.1312";"5.1446";"3.6328";"0.9982";"18.3553";"5";"17";"4";"12";"5.66";"1.95";"5.66";"4"
"ABANDONMENT_STRESS";"2";"20000";"85.39";"29.56";"70.44";"76.91";"352.14";"1289.47";"2.4665";"10.9946";"450.97";"853.88";"1418.83";"1810.3";"26.5";"3.9211";"3348.11";"-22.51";"3488.36";"6630.14";"5563.31";"-18.28";"6.1179";"5.1453";"3.6214";"0.9981";"16.3216";"6";"20";"4";"13";"5.68";"2.29";"6";"4"
"ABANDONMENT_STRESS";"3";"20000";"85.29";"29.66";"70.34";"76.95";"548.98";"2208.61";"3.1653";"9.7674";"704.29";"914.11";"1707.96";"2824.64";"38.63";"3.9155";"3579.16";"-10.32";"5980.77";"11363.08";"6687.45";"-5.17";"7.1122";"5.1452";"3.6188";"0.9981";"14.2882";"7";"23";"5";"15";"5.69";"2.53";"7";"5"
"ABANDONMENT_STRESS";"4";"20000";"85.69";"29.51";"70.49";"76.46";"760.71";"3320.38";"3.8755";"8.4142";"976.49";"1429";"1896.79";"3913.46";"34.23";"3.914";"5593.15";"-14.69";"8979.12";"17078.36";"7424.09";"10.25";"8.1156";"5.1478";"3.6263";"0.9981";"12.2547";"8";"27";"6";"18";"6.19";"2.96";"8";"6"
"ABANDONMENT_STRESS";"5";"20000";"85.34";"29.53";"70.47";"76.97";"986.79";"4608.74";"4.5794";"7.0051";"1267.09";"2695.11";"2662.9";"5078.44";"23.55";"3.9119";"10542.95";"-25.34";"12470.51";"23719.67";"10416.94";"9.64";"9.1151";"5.1431";"3.6265";"0.9981";"10.2176";"10";"32";"7";"22";"6.55";"3.29";"10";"7"
