"itemCraftado";"classe";"slot";"tier";"mapa";"ingredienteOrdem";"ingrediente";"quantidade";"papel";"origem"
"Armadura de Barricada Mutagênica";"Lutador";"ARMOR";"7";"Avenida dos Caídos";"1";"Placa Antimotim Recortada (Desmanche T7 Armadura)";"110";"MAIN_COMPONENT";"DESMANCHE"
"Armadura de Barricada Mutagênica";"Lutador";"ARMOR";"7";"Avenida dos Caídos";"2";"Colete Tático Rasgado (Coleta T7 Armadura)";"55";"SHARED_MATERIAL";"COLETA"
"Armadura de Barricada Mutagênica";"Lutador";"ARMOR";"7";"Avenida dos Caídos";"3";"Biomaterial Torácico Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Barricada Mutagênica";"Lutador";"ARMOR";"7";"Avenida dos Caídos";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Carcaça Helix";"Lutador";"ARMOR";"8";"Complexo Helix";"1";"Carcaça Experimental Helix";"110";"MAIN_COMPONENT";"DESMANCHE"
"Armadura de Carcaça Helix";"Lutador";"ARMOR";"8";"Complexo Helix";"2";"Revestimento de Polímero Helix (Coleta T8 Armadura)";"55";"SHARED_MATERIAL";"COLETA"
"Armadura de Carcaça Helix";"Lutador";"ARMOR";"8";"Complexo Helix";"3";"Biomaterial Torácico Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Carcaça Helix";"Lutador";"ARMOR";"8";"Complexo Helix";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura Titânica da Necrópole";"Lutador";"ARMOR";"9";"Necrópole Industrial";"1";"Câmara de Vedação Carmesim (Contenção T9 Armadura)";"120";"MAIN_COMPONENT";"CONTENCAO"
"Armadura Titânica da Necrópole";"Lutador";"ARMOR";"9";"Necrópole Industrial";"2";"Malha de Fibra Pesada (Coleta T9 Armadura)";"60";"SHARED_MATERIAL";"COLETA"
"Armadura Titânica da Necrópole";"Lutador";"ARMOR";"9";"Necrópole Industrial";"3";"Biomaterial Torácico Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura Titânica da Necrópole";"Lutador";"ARMOR";"9";"Necrópole Industrial";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura do Marco Zero";"Lutador";"ARMOR";"10";"Marco Zero";"1";"Núcleo Rubro de Quarentena";"120";"MAIN_COMPONENT";"CONTENCAO"
"Armadura do Marco Zero";"Lutador";"ARMOR";"10";"Marco Zero";"2";"Manta de Fibra Rubra (Coleta T10 Armadura)";"60";"SHARED_MATERIAL";"COLETA"
"Armadura do Marco Zero";"Lutador";"ARMOR";"10";"Marco Zero";"3";"Biomaterial Torácico Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura do Marco Zero";"Lutador";"ARMOR";"10";"Marco Zero";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Tábua Remendada";"Lutador";"PANTS";"1";"Subúrbio Silencioso";"1";"Apoio de Madeira Rachado";"80";"MAIN_COMPONENT";"DESMANCHE"
"Grevas de Tábua Remendada";"Lutador";"PANTS";"1";"Subúrbio Silencioso";"2";"Retalho de Jeans Grosso";"40";"SHARED_MATERIAL";"COLETA"
"Grevas de Tábua Remendada";"Lutador";"PANTS";"1";"Subúrbio Silencioso";"3";"Biomaterial Articular Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Tábua Remendada";"Lutador";"PANTS";"1";"Subúrbio Silencioso";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Lataria Oxidada";"Lutador";"PANTS";"2";"Distrito da Ferrugem";"1";"Casco de Solda Enferrujado";"80";"MAIN_COMPONENT";"DESMANCHE"
"Grevas de Lataria Oxidada";"Lutador";"PANTS";"2";"Distrito da Ferrugem";"2";"Bainha de Uniforme Gasta (Coleta T2 Pernas)";"40";"SHARED_MATERIAL";"COLETA"
"Grevas de Lataria Oxidada";"Lutador";"PANTS";"2";"Distrito da Ferrugem";"3";"Biomaterial Articular Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Lataria Oxidada";"Lutador";"PANTS";"2";"Distrito da Ferrugem";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Tala Clínica";"Lutador";"PANTS";"3";"Hospital Santa Ruína";"1";"Arco de Protetor Facial";"90";"MAIN_COMPONENT";"DESMANCHE"
"Grevas de Tala Clínica";"Lutador";"PANTS";"3";"Hospital Santa Ruína";"2";"Acolchoado de Maca (Coleta T3 Pernas)";"45";"SHARED_MATERIAL";"COLETA"
"Grevas de Tala Clínica";"Lutador";"PANTS";"3";"Hospital Santa Ruína";"3";"Biomaterial Articular Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Tala Clínica";"Lutador";"PANTS";"3";"Hospital Santa Ruína";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Escada Rolante";"Lutador";"PANTS";"4";"Terminal dos Esquecidos";"1";"Casco de Segurança Amassado";"90";"MAIN_COMPONENT";"DESMANCHE"
"Grevas de Escada Rolante";"Lutador";"PANTS";"4";"Terminal dos Esquecidos";"2";"Tapete de Embarque Desfiado (Coleta T4 Pernas)";"45";"SHARED_MATERIAL";"COLETA"
"Grevas de Escada Rolante";"Lutador";"PANTS";"4";"Terminal dos Esquecidos";"3";"Biomaterial Articular Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Escada Rolante";"Lutador";"PANTS";"4";"Terminal dos Esquecidos";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Câmara Selada";"Lutador";"PANTS";"5";"Zona de Quarentena 9";"1";"Aro de Câmara de Desinfecção";"100";"MAIN_COMPONENT";"DESMANCHE"
"Grevas de Câmara Selada";"Lutador";"PANTS";"5";"Zona de Quarentena 9";"2";"Acolchoado Antimordida (Coleta T5 Pernas)";"50";"SHARED_MATERIAL";"COLETA"
"Grevas de Câmara Selada";"Lutador";"PANTS";"5";"Zona de Quarentena 9";"3";"Biomaterial Articular Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Câmara Selada";"Lutador";"PANTS";"5";"Zona de Quarentena 9";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Duto Cinzento";"Lutador";"PANTS";"6";"Refinaria do Pó Cinzento";"1";"Chapa de Caldeira Serrada";"100";"MAIN_COMPONENT";"DESMANCHE"
"Grevas de Duto Cinzento";"Lutador";"PANTS";"6";"Refinaria do Pó Cinzento";"2";"Avental de Borracha Carbonizado (Coleta T6 Pernas)";"50";"SHARED_MATERIAL";"COLETA"
"Grevas de Duto Cinzento";"Lutador";"PANTS";"6";"Refinaria do Pó Cinzento";"3";"Biomaterial Articular Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Duto Cinzento";"Lutador";"PANTS";"6";"Refinaria do Pó Cinzento";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Para-choque Tático";"Lutador";"PANTS";"7";"Avenida dos Caídos";"1";"Joelheira Paramédica Rasgada";"110";"MAIN_COMPONENT";"COLETA"
"Grevas de Para-choque Tático";"Lutador";"PANTS";"7";"Avenida dos Caídos";"2";"Joelheira Tática Rasgada (Coleta T7 Pernas)";"55";"SHARED_MATERIAL";"COLETA"
"Grevas de Para-choque Tático";"Lutador";"PANTS";"7";"Avenida dos Caídos";"3";"Biomaterial Articular Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Para-choque Tático";"Lutador";"PANTS";"7";"Avenida dos Caídos";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Articulação Helix";"Lutador";"PANTS";"8";"Complexo Helix";"1";"Polímero Articulado Clínico";"110";"MAIN_COMPONENT";"COLETA"
"Grevas de Articulação Helix";"Lutador";"PANTS";"8";"Complexo Helix";"2";"Revestimento de Polímero Articulado";"55";"SHARED_MATERIAL";"COLETA"
"Grevas de Articulação Helix";"Lutador";"PANTS";"8";"Complexo Helix";"3";"Biomaterial Articular Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Articulação Helix";"Lutador";"PANTS";"8";"Complexo Helix";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas Titânicas da Necrópole";"Lutador";"PANTS";"9";"Necrópole Industrial";"1";"Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"120";"MAIN_COMPONENT";"CONTENCAO"
"Grevas Titânicas da Necrópole";"Lutador";"PANTS";"9";"Necrópole Industrial";"2";"Trama de Fibra Pesada (Coleta T9 Pernas)";"60";"SHARED_MATERIAL";"COLETA"
"Grevas Titânicas da Necrópole";"Lutador";"PANTS";"9";"Necrópole Industrial";"3";"Biomaterial Articular Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas Titânicas da Necrópole";"Lutador";"PANTS";"9";"Necrópole Industrial";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Marcha do Marco Zero";"Lutador";"PANTS";"10";"Marco Zero";"1";"Célula Rubra de Impacto";"120";"MAIN_COMPONENT";"CONTENCAO"
"Grevas de Marcha do Marco Zero";"Lutador";"PANTS";"10";"Marco Zero";"2";"Fibra Rubra Articulada (Coleta T10 Pernas)";"60";"SHARED_MATERIAL";"COLETA"
"Grevas de Marcha do Marco Zero";"Lutador";"PANTS";"10";"Marco Zero";"3";"Biomaterial Articular Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Grevas de Marcha do Marco Zero";"Lutador";"PANTS";"10";"Marco Zero";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Obra Remendadas";"Lutador";"BOOTS";"1";"Subúrbio Silencioso";"1";"Couro de Bota Gasto";"80";"MAIN_COMPONENT";"COLETA"
"Botas de Obra Remendadas";"Lutador";"BOOTS";"1";"Subúrbio Silencioso";"2";"Biqueira de Lata Amassada";"40";"SHARED_MATERIAL";"DESMANCHE"
"Botas de Obra Remendadas";"Lutador";"BOOTS";"1";"Subúrbio Silencioso";"3";"Biomaterial de Mobilidade Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Obra Remendadas";"Lutador";"BOOTS";"1";"Subúrbio Silencioso";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Ferrugem Cravada";"Lutador";"BOOTS";"2";"Distrito da Ferrugem";"1";"Cadarço de Uniforme Gasto (Coleta T2 Pés)";"80";"MAIN_COMPONENT";"COLETA"
"Botas de Ferrugem Cravada";"Lutador";"BOOTS";"2";"Distrito da Ferrugem";"2";"Cravos de Ferro Oxidados";"40";"SHARED_MATERIAL";"DESMANCHE"
"Botas de Ferrugem Cravada";"Lutador";"BOOTS";"2";"Distrito da Ferrugem";"3";"Biomaterial de Mobilidade Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Ferrugem Cravada";"Lutador";"BOOTS";"2";"Distrito da Ferrugem";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Enfermaria Seladas";"Lutador";"BOOTS";"3";"Hospital Santa Ruína";"1";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés)";"90";"MAIN_COMPONENT";"COLETA"
"Botas de Enfermaria Seladas";"Lutador";"BOOTS";"3";"Hospital Santa Ruína";"2";"Estribo de Leito Clínico";"45";"SHARED_MATERIAL";"DESMANCHE"
"Botas de Enfermaria Seladas";"Lutador";"BOOTS";"3";"Hospital Santa Ruína";"3";"Biomaterial de Mobilidade Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Enfermaria Seladas";"Lutador";"BOOTS";"3";"Hospital Santa Ruína";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Esteira Quebrada";"Lutador";"BOOTS";"4";"Terminal dos Esquecidos";"1";"Tapete de Piso Emborrachado (Coleta T4 Pés)";"90";"MAIN_COMPONENT";"COLETA"
"Botas de Esteira Quebrada";"Lutador";"BOOTS";"4";"Terminal dos Esquecidos";"2";"Rolete de Esteira de Bagagem";"45";"SHARED_MATERIAL";"DESMANCHE"
"Botas de Esteira Quebrada";"Lutador";"BOOTS";"4";"Terminal dos Esquecidos";"3";"Biomaterial de Mobilidade Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Esteira Quebrada";"Lutador";"BOOTS";"4";"Terminal dos Esquecidos";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Quarentena Selada";"Lutador";"BOOTS";"5";"Zona de Quarentena 9";"1";"Manguito Antimordida";"100";"MAIN_COMPONENT";"COLETA"
"Botas de Quarentena Selada";"Lutador";"BOOTS";"5";"Zona de Quarentena 9";"2";"Reforço de Barreira Selada";"50";"SHARED_MATERIAL";"DESMANCHE"
"Botas de Quarentena Selada";"Lutador";"BOOTS";"5";"Zona de Quarentena 9";"3";"Biomaterial de Mobilidade Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Quarentena Selada";"Lutador";"BOOTS";"5";"Zona de Quarentena 9";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Cinza Industrial";"Lutador";"BOOTS";"6";"Refinaria do Pó Cinzento";"1";"Sola de Borracha Vulcanizada (Coleta T6 Pés)";"100";"MAIN_COMPONENT";"COLETA"
"Botas de Cinza Industrial";"Lutador";"BOOTS";"6";"Refinaria do Pó Cinzento";"2";"Placa de Piso de Refinaria";"50";"SHARED_MATERIAL";"DESMANCHE"
"Botas de Cinza Industrial";"Lutador";"BOOTS";"6";"Refinaria do Pó Cinzento";"3";"Biomaterial de Mobilidade Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Cinza Industrial";"Lutador";"BOOTS";"6";"Refinaria do Pó Cinzento";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Asfalto Mutagênico";"Lutador";"BOOTS";"7";"Avenida dos Caídos";"1";"Reforço de Polímero de Tornozelo (Coleta T7 Pés)";"110";"MAIN_COMPONENT";"COLETA"
"Botas de Asfalto Mutagênico";"Lutador";"BOOTS";"7";"Avenida dos Caídos";"2";"Pedal de Viatura Blindada";"55";"SHARED_MATERIAL";"DESMANCHE"
"Botas de Asfalto Mutagênico";"Lutador";"BOOTS";"7";"Avenida dos Caídos";"3";"Biomaterial de Mobilidade Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Asfalto Mutagênico";"Lutador";"BOOTS";"7";"Avenida dos Caídos";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Tração Helix";"Lutador";"BOOTS";"8";"Complexo Helix";"1";"Revestimento de Polímero Translúcido (Coleta T8 Pés)";"110";"MAIN_COMPONENT";"COLETA"
"Botas de Tração Helix";"Lutador";"BOOTS";"8";"Complexo Helix";"2";"Junta Mecânica Helix";"55";"SHARED_MATERIAL";"DESMANCHE"
"Botas de Tração Helix";"Lutador";"BOOTS";"8";"Complexo Helix";"3";"Biomaterial de Mobilidade Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Tração Helix";"Lutador";"BOOTS";"8";"Complexo Helix";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Pisada Titânica";"Lutador";"BOOTS";"9";"Necrópole Industrial";"1";"Fibra de Compressão Pesada (Coleta T9 Pés)";"120";"MAIN_COMPONENT";"COLETA"
"Botas de Pisada Titânica";"Lutador";"BOOTS";"9";"Necrópole Industrial";"2";"Calcanhar Titânico Industrial";"60";"SHARED_MATERIAL";"DESMANCHE"
"Botas de Pisada Titânica";"Lutador";"BOOTS";"9";"Necrópole Industrial";"3";"Biomaterial de Mobilidade Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Botas de Pisada Titânica";"Lutador";"BOOTS";"9";"Necrópole Industrial";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Botas do Colapso Rubro";"Lutador";"BOOTS";"10";"Marco Zero";"1";"Fibra Escarlate de Tração (Coleta T10 Pés)";"120";"MAIN_COMPONENT";"COLETA"
"Botas do Colapso Rubro";"Lutador";"BOOTS";"10";"Marco Zero";"2";"Solado Titânico do Marco";"60";"SHARED_MATERIAL";"DESMANCHE"
"Botas do Colapso Rubro";"Lutador";"BOOTS";"10";"Marco Zero";"3";"Biomaterial de Mobilidade Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
"Botas do Colapso Rubro";"Lutador";"BOOTS";"10";"Marco Zero";"4";"Resíduo Infecto Saturado";"80";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Obra Rachado";"Lutador";"HEAD";"1";"Subúrbio Silencioso";"1";"Casco de Capacete Quebrado";"80";"MAIN_COMPONENT";"DESMANCHE"
"Elmo de Obra Rachado";"Lutador";"HEAD";"1";"Subúrbio Silencioso";"2";"Espuma Filtrante Suja";"40";"SHARED_MATERIAL";"CONTENCAO"
"Elmo de Obra Rachado";"Lutador";"HEAD";"1";"Subúrbio Silencioso";"3";"Biomaterial Craniano Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Obra Rachado";"Lutador";"HEAD";"1";"Subúrbio Silencioso";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Soldador Enferrujado";"Lutador";"HEAD";"2";"Distrito da Ferrugem";"1";"Casco de Solda Enferrujado";"80";"MAIN_COMPONENT";"DESMANCHE"
"Elmo de Soldador Enferrujado";"Lutador";"HEAD";"2";"Distrito da Ferrugem";"2";"Respirador de Oficina Oxidado";"40";"SHARED_MATERIAL";"CONTENCAO"
"Elmo de Soldador Enferrujado";"Lutador";"HEAD";"2";"Distrito da Ferrugem";"3";"Biomaterial Craniano Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Soldador Enferrujado";"Lutador";"HEAD";"2";"Distrito da Ferrugem";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Visor Clínico";"Lutador";"HEAD";"3";"Hospital Santa Ruína";"1";"Arco de Protetor Facial";"90";"MAIN_COMPONENT";"DESMANCHE"
"Elmo de Visor Clínico";"Lutador";"HEAD";"3";"Hospital Santa Ruína";"2";"Vedação de Máscara Clínica";"45";"SHARED_MATERIAL";"CONTENCAO"
"Elmo de Visor Clínico";"Lutador";"HEAD";"3";"Hospital Santa Ruína";"3";"Biomaterial Craniano Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Visor Clínico";"Lutador";"HEAD";"3";"Hospital Santa Ruína";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Segurança do Terminal";"Lutador";"HEAD";"4";"Terminal dos Esquecidos";"1";"Casco de Segurança Amassado";"90";"MAIN_COMPONENT";"DESMANCHE"
"Elmo de Segurança do Terminal";"Lutador";"HEAD";"4";"Terminal dos Esquecidos";"2";"Filtro de Cabine Queimado";"45";"SHARED_MATERIAL";"CONTENCAO"
"Elmo de Segurança do Terminal";"Lutador";"HEAD";"4";"Terminal dos Esquecidos";"3";"Biomaterial Craniano Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Segurança do Terminal";"Lutador";"HEAD";"4";"Terminal dos Esquecidos";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Câmara Selada";"Lutador";"HEAD";"5";"Zona de Quarentena 9";"1";"Casco de Contenção Pesada";"100";"MAIN_COMPONENT";"DESMANCHE"
"Elmo de Câmara Selada";"Lutador";"HEAD";"5";"Zona de Quarentena 9";"2";"Válvula de Quarentena Verde";"50";"SHARED_MATERIAL";"CONTENCAO"
"Elmo de Câmara Selada";"Lutador";"HEAD";"5";"Zona de Quarentena 9";"3";"Biomaterial Craniano Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Câmara Selada";"Lutador";"HEAD";"5";"Zona de Quarentena 9";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Respirador Cinzento";"Lutador";"HEAD";"6";"Refinaria do Pó Cinzento";"1";"Máscara de Solda Pesada";"100";"MAIN_COMPONENT";"DESMANCHE"
"Elmo de Respirador Cinzento";"Lutador";"HEAD";"6";"Refinaria do Pó Cinzento";"2";"Cartucho de Vapor Cinzento";"50";"SHARED_MATERIAL";"CONTENCAO"
"Elmo de Respirador Cinzento";"Lutador";"HEAD";"6";"Refinaria do Pó Cinzento";"3";"Biomaterial Craniano Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Respirador Cinzento";"Lutador";"HEAD";"6";"Refinaria do Pó Cinzento";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Motim Quebrado";"Lutador";"HEAD";"7";"Avenida dos Caídos";"1";"Cinto Tático Rompido";"110";"MAIN_COMPONENT";"COLETA"
"Elmo de Motim Quebrado";"Lutador";"HEAD";"7";"Avenida dos Caídos";"2";"Inserto Cerâmico Craniano";"55";"SHARED_MATERIAL";"CONTENCAO"
"Elmo de Motim Quebrado";"Lutador";"HEAD";"7";"Avenida dos Caídos";"3";"Biomaterial Craniano Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Motim Quebrado";"Lutador";"HEAD";"7";"Avenida dos Caídos";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Contenção Helix";"Lutador";"HEAD";"8";"Complexo Helix";"1";"Cápsula Biofiltrante Helix";"110";"MAIN_COMPONENT";"CONTENCAO"
"Elmo de Contenção Helix";"Lutador";"HEAD";"8";"Complexo Helix";"2";"Módulo Cerâmico Helix (Contenção T8 Elmo)";"55";"SHARED_MATERIAL";"CONTENCAO"
"Elmo de Contenção Helix";"Lutador";"HEAD";"8";"Complexo Helix";"3";"Biomaterial Craniano Épico";"30";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo de Contenção Helix";"Lutador";"HEAD";"8";"Complexo Helix";"4";"Resíduo Infecto Mutagênico";"60";"RARE_MOB_DROP";"DROP_MOBS"
"Elmo Titânico da Necrópole";"Lutador";"HEAD";"9";"Necrópole Industrial";"1";"Núcleo de Respiração Carmesim";"120";"MAIN_COMPONENT";"CONTENCAO"
"Elmo Titânico da Necrópole";"Lutador";"HEAD";"9";"Necrópole Industrial";"2";"Visor Carmesim Selado";"60";"SHARED_MATERIAL";"CONTENCAO"
"Elmo Titânico da Necrópole";"Lutador";"HEAD";"9";"Necrópole Industrial";"3";"Biomaterial Craniano Lendário";"40";"RARE_MOB_DROP";"DROP_MOBS"
