tier,className,potionQuantity,safeBattles,potionsUsed,finalHp,finalHpPercent,riskLevel
4,"Medico",10,461,10,0,0,"HIGH"
4,"Medico",25,981,25,0,0,"HIGH"
4,"Medico",50,1847,50,0,0,"HIGH"
4,"Medico",100,3578,100,0,0,"HIGH"
5,"Lutador",0,96,0,0,0,"HIGH"
5,"Lutador",10,346,10,0,0,"HIGH"
5,"Lutador",25,721,25,0,0,"HIGH"
5,"Lutador",50,1346,50,0,0,"HIGH"
5,"Lutador",100,2596,100,0,0,"HIGH"
5,"Assassino",0,28,0,0,0,"HIGH"
5,"Assassino",10,102,10,0,0,"HIGH"
5,"Assassino",25,213,25,0,0,"HIGH"
5,"Assassino",50,397,50,0,0,"HIGH"
5,"Assassino",100,766,100,0,0,"HIGH"
5,"Atirador",0,30,0,0,0,"HIGH"
5,"Atirador",10,110,10,0,0,"HIGH"
5,"Atirador",25,230,25,0,0,"HIGH"
5,"Atirador",50,429,50,0,0,"HIGH"
5,"Atirador",100,828,100,0,0,"HIGH"
5,"Medico",0,73,0,0,0,"HIGH"
5,"Medico",10,310,10,0,0,"HIGH"
5,"Medico",25,665,25,0,0,"HIGH"
5,"Medico",50,1258,50,0,0,"HIGH"
5,"Medico",100,2444,100,0,0,"HIGH"
6,"Lutador",0,58,0,0,0,"HIGH"
6,"Lutador",10,212,10,0,0,"HIGH"
6,"Lutador",25,441,25,0,0,"HIGH"
6,"Lutador",50,824,50,0,0,"HIGH"
6,"Lutador",100,1590,100,0,0,"HIGH"
6,"Assassino",0,24,0,0,0,"HIGH"
6,"Assassino",10,89,10,0,0,"HIGH"
6,"Assassino",25,187,25,0,0,"HIGH"
6,"Assassino",50,349,50,0,0,"HIGH"
6,"Assassino",100,674,100,0,0,"HIGH"
6,"Atirador",0,26,0,0,0,"HIGH"
6,"Atirador",10,93,10,0,0,"HIGH"
6,"Atirador",25,195,25,0,0,"HIGH"
6,"Atirador",50,364,50,0,0,"HIGH"
6,"Atirador",100,703,100,0,0,"HIGH"
6,"Medico",0,45,0,0,0,"HIGH"
6,"Medico",10,193,10,0,0,"HIGH"
6,"Medico",25,415,25,0,0,"HIGH"
6,"Medico",50,785,50,0,0,"HIGH"
6,"Medico",100,1526,100,0,0,"HIGH"
7,"Lutador",0,37,0,0,0,"HIGH"
7,"Lutador",10,141,10,0,0,"HIGH"
7,"Lutador",25,297,25,0,0,"HIGH"
7,"Lutador",50,557,50,0,0,"HIGH"
7,"Lutador",100,1077,100,0,0,"HIGH"
7,"Assassino",0,20,0,0,0,"HIGH"
7,"Assassino",10,76,10,0,0,"HIGH"
7,"Assassino",25,160,25,0,0,"HIGH"
7,"Assassino",50,301,50,0,0,"HIGH"
7,"Assassino",100,583,100,0,0,"HIGH"
7,"Atirador",0,21,0,0,0,"HIGH"
7,"Atirador",10,80,10,0,0,"HIGH"
7,"Atirador",25,169,25,0,0,"HIGH"
7,"Atirador",50,317,50,0,0,"HIGH"
7,"Atirador",100,613,100,0,0,"HIGH"
7,"Medico",0,28,0,0,0,"HIGH"
7,"Medico",10,127,10,0,0,"HIGH"
7,"Medico",25,275,25,0,0,"HIGH"
7,"Medico",50,522,50,0,0,"HIGH"
7,"Medico",100,1017,100,0,0,"HIGH"
8,"Lutador",0,23,0,0,0,"HIGH"
8,"Lutador",10,90,10,0,0,"HIGH"
8,"Lutador",25,190,25,0,0,"HIGH"
8,"Lutador",50,357,50,0,0,"HIGH"
8,"Lutador",100,692,100,0,0,"HIGH"
8,"Assassino",0,15,0,0,0,"HIGH"
8,"Assassino",10,60,10,0,0,"HIGH"
8,"Assassino",25,127,25,0,0,"HIGH"
8,"Assassino",50,238,50,0,0,"HIGH"
8,"Assassino",100,460,100,0,0,"HIGH"
8,"Atirador",0,16,0,0,0,"HIGH"
8,"Atirador",10,62,10,0,0,"HIGH"
8,"Atirador",25,131,25,0,0,"HIGH"
8,"Atirador",50,246,50,0,0,"HIGH"
8,"Atirador",100,475,100,0,0,"HIGH"
8,"Medico",0,18,0,0,0,"HIGH"
8,"Medico",10,81,10,0,0,"HIGH"
8,"Medico",25,177,25,0,0,"HIGH"
8,"Medico",50,336,50,0,0,"HIGH"
8,"Medico",100,655,100,0,0,"HIGH"
9,"Lutador",0,15,0,0,0,"HIGH"
9,"Lutador",10,62,10,0,0,"HIGH"
9,"Lutador",25,132,25,0,0,"HIGH"
9,"Lutador",50,248,50,0,0,"HIGH"
9,"Lutador",100,481,100,0,0,"HIGH"
9,"Assassino",0,12,0,0,0,"HIGH"
9,"Assassino",10,48,10,0,0,"HIGH"
9,"Assassino",25,104,25,0,0,"HIGH"
9,"Assassino",50,195,50,0,0,"HIGH"
9,"Assassino",100,379,100,0,0,"HIGH"
9,"Atirador",0,12,0,0,0,"HIGH"
9,"Atirador",10,49,10,0,0,"HIGH"
9,"Atirador",25,105,25,0,0,"HIGH"
9,"Atirador",50,199,50,0,0,"HIGH"
9,"Atirador",100,386,100,0,0,"HIGH"
9,"Medico",0,12,0,0,0,"HIGH"
9,"Medico",10,57,10,0,0,"HIGH"
9,"Medico",25,125,25,0,0,"HIGH"
9,"Medico",50,238,50,0,0,"HIGH"
9,"Medico",100,464,100,0,0,"HIGH"
10,"Lutador",0,10,0,0,0,"HIGH"
10,"Lutador",10,40,10,0,0,"HIGH"
10,"Lutador",25,86,25,0,0,"HIGH"
10,"Lutador",50,162,50,0,0,"HIGH"
10,"Lutador",100,314,100,0,0,"HIGH"
10,"Assassino",0,9,0,0,0,"HIGH"
10,"Assassino",10,36,10,0,0,"HIGH"
10,"Assassino",25,77,25,0,0,"HIGH"
10,"Assassino",50,145,50,0,0,"HIGH"
10,"Assassino",100,282,100,0,0,"HIGH"
10,"Atirador",0,9,0,0,0,"HIGH"
10,"Atirador",10,37,10,0,0,"HIGH"
10,"Atirador",25,80,25,0,0,"HIGH"
10,"Atirador",50,151,50,0,0,"HIGH"
10,"Atirador",100,293,100,0,0,"HIGH"
10,"Medico",0,7,0,0,0,"HIGH"
10,"Medico",10,37,10,0,0,"HIGH"
10,"Medico",25,81,25,0,0,"HIGH"
10,"Medico",50,154,50,0,0,"HIGH"
10,"Medico",100,300,100,0,0,"HIGH"
