tier,position,mobName,mobRank,mobLevel,className,gear,reinforcement,gathering,pet,potion,characterLevel,equipmentTier,hp,attack,defense,baseTtkSeconds,ttkSeconds,ttkDeltaFromPetPercent,expectedAttacksPerKill,expectedDamagePerAttack,expectedDamagePerKill,incomingDamageMultiplier,safeKillsWithoutPotions,safeKillsWithPotions,potionName,potionHealAmount,potionBuyPrice,killsResolvedInProjection,potionsUsedInProjection,potionsPer100Kills,potionGoldPer100Kills,defeatsInProjection,defeatedAtKill,riskLevel,survives100Kills,huntingSecondsPerEnemy,killsPerHour,effectiveXpPerHour
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"FULL","CURRENT_TIER","NONE",1,0.5,1169,110,250,1,1,0,1.861,0.81,1.51,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"FULL","CURRENT_TIER","CURRENT_TIER",1,0.5,1169,110,250,1,1,0,1.861,0.81,1.51,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"NONE","NONE","NONE",1,0.88,317,50,32,2,2,0,1.1474,0.98,1.13,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"NONE","NONE","CURRENT_TIER",1,0.88,317,50,32,2,2,0,1.1474,0.98,1.13,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"NONE","CURRENT_TIER","NONE",1,0.88,317,50,32,2,1.94,3,1.145,0.98,1.13,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"NONE","CURRENT_TIER","CURRENT_TIER",1,0.88,317,50,32,2,1.94,3,1.145,0.98,1.13,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"RECOMMENDED","NONE","NONE",1,0.88,317,50,32,2,2,0,1.1474,0.98,1.13,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"RECOMMENDED","NONE","CURRENT_TIER",1,0.88,317,50,32,2,2,0,1.1474,0.98,1.13,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"RECOMMENDED","CURRENT_TIER","NONE",1,0.88,317,50,32,2,1.94,3,1.145,0.98,1.13,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"RECOMMENDED","CURRENT_TIER","CURRENT_TIER",1,0.88,317,50,32,2,1.94,3,1.145,0.98,1.13,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"FULL","NONE","NONE",1,0.88,1199,124,256,1,1,0,1.1065,0.81,0.9,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"FULL","NONE","CURRENT_TIER",1,0.88,1199,124,256,1,1,0,1.1065,0.81,0.9,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"FULL","CURRENT_TIER","NONE",1,0.88,1199,124,256,1,1,0,1.1065,0.81,0.9,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",3,"FULL","CURRENT_TIER","CURRENT_TIER",1,0.88,1199,124,256,1,1,0,1.1065,0.81,0.9,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"NONE","NONE","NONE",1,1,335,48,36,2,2,0,1.0025,0.98,0.99,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"NONE","NONE","CURRENT_TIER",1,1,335,48,36,2,2,0,1.0025,0.98,0.99,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"NONE","CURRENT_TIER","NONE",1,1,335,48,36,2,1.94,3,1.0004,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"NONE","CURRENT_TIER","CURRENT_TIER",1,1,335,48,36,2,1.94,3,1.0004,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"RECOMMENDED","NONE","NONE",1,1,335,48,36,2,2,0,1.0025,0.98,0.99,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"RECOMMENDED","NONE","CURRENT_TIER",1,1,335,48,36,2,2,0,1.0025,0.98,0.99,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"RECOMMENDED","CURRENT_TIER","NONE",1,1,335,48,36,2,1.94,3,1.0004,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"RECOMMENDED","CURRENT_TIER","CURRENT_TIER",1,1,335,48,36,2,1.94,3,1.0004,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"FULL","NONE","NONE",1,1,1217,122,260,1,1,0,1,0.81,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"FULL","NONE","CURRENT_TIER",1,1,1217,122,260,1,1,0,1,0.81,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"FULL","CURRENT_TIER","NONE",1,1,1217,122,260,1,1,0,1,0.81,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",0,"FULL","CURRENT_TIER","CURRENT_TIER",1,1,1217,122,260,1,1,0,1,0.81,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"NONE","NONE","NONE",1,1.75,401,74,49,2,2,0,1,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"NONE","NONE","CURRENT_TIER",1,1.75,401,74,49,2,2,0,1,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"NONE","CURRENT_TIER","NONE",1,1.75,401,74,49,2,1.94,3,1,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"NONE","CURRENT_TIER","CURRENT_TIER",1,1.75,401,74,49,2,1.94,3,1,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"RECOMMENDED","NONE","NONE",1,1.75,401,74,49,2,2,0,1,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"RECOMMENDED","NONE","CURRENT_TIER",1,1.75,401,74,49,2,2,0,1,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"RECOMMENDED","CURRENT_TIER","NONE",1,1.75,401,74,49,2,1.94,3,1,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"RECOMMENDED","CURRENT_TIER","CURRENT_TIER",1,1.75,401,74,49,2,1.94,3,1,0.98,0.98,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"FULL","NONE","NONE",1,1.75,1283,148,273,1,1,0,1,0.81,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"FULL","NONE","CURRENT_TIER",1,1.75,1283,148,273,1,1,0,1,0.81,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"FULL","CURRENT_TIER","NONE",1,1.75,1283,148,273,1,1,0,1,0.81,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","CURRENT",3,"FULL","CURRENT_TIER","CURRENT_TIER",1,1.75,1283,148,273,1,1,0,1,0.81,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"NONE","NONE","NONE",1,0,138,16,4,5,5,0,4.0866,0.95,3.9,1,35,35,"Poção de Vida Menor",80,25,36,0,0,0,1,36,"HIGH",false,15,180,1260
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"NONE","NONE","CURRENT_TIER",1,0,138,16,4,5,5,0,4.0866,0.95,3.9,1,35,100,"Poção de Vida Menor",80,25,100,4,4,100,0,,"MEDIUM",true,15,180,1260
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"NONE","CURRENT_TIER","NONE",1,0,138,16,4,5,4.85,3,4.0684,0.95,3.88,1,35,35,"Poção de Vida Menor",80,25,36,0,0,0,1,36,"HIGH",false,15,181.36,1269.52
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"NONE","CURRENT_TIER","CURRENT_TIER",1,0,138,16,4,5,4.85,3,4.0684,0.95,3.88,1,35,100,"Poção de Vida Menor",80,25,100,4,4,100,0,,"MEDIUM",true,15,181.36,1269.52
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"RECOMMENDED","NONE","NONE",1,0,138,16,4,5,5,0,4.0866,0.95,3.9,1,35,35,"Poção de Vida Menor",80,25,36,0,0,0,1,36,"HIGH",false,15,180,1260
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"RECOMMENDED","NONE","CURRENT_TIER",1,0,138,16,4,5,5,0,4.0866,0.95,3.9,1,35,100,"Poção de Vida Menor",80,25,100,4,4,100,0,,"MEDIUM",true,15,180,1260
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"RECOMMENDED","CURRENT_TIER","NONE",1,0,138,16,4,5,4.85,3,4.0684,0.95,3.88,1,35,35,"Poção de Vida Menor",80,25,36,0,0,0,1,36,"HIGH",false,15,181.36,1269.52
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"RECOMMENDED","CURRENT_TIER","CURRENT_TIER",1,0,138,16,4,5,4.85,3,4.0684,0.95,3.88,1,35,100,"Poção de Vida Menor",80,25,100,4,4,100,0,,"MEDIUM",true,15,181.36,1269.52
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"FULL","NONE","NONE",1,0,1020,90,228,2,2,0,3.7094,0.78,2.9,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"FULL","NONE","CURRENT_TIER",1,0,1020,90,228,2,2,0,3.7094,0.78,2.9,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"FULL","CURRENT_TIER","NONE",1,0,1020,90,228,2,1.94,3,3.7016,0.78,2.89,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Assassino","PREVIOUS",0,"FULL","CURRENT_TIER","CURRENT_TIER",1,0,1020,90,228,2,1.94,3,3.7016,0.78,2.89,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"NONE","NONE","NONE",1,0.5,144,35,5,3,3,0,1.997,0.9,1.81,1,80,80,"Poção de Vida Menor",80,25,81,0,0,0,1,81,"HIGH",false,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"NONE","NONE","CURRENT_TIER",1,0.5,144,35,5,3,3,0,1.997,0.9,1.81,1,80,100,"Poção de Vida Menor",80,25,100,2,2,50,0,,"LOW",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"NONE","CURRENT_TIER","NONE",1,0.5,144,35,5,3,2.91,3,1.991,0.9,1.8,1,80,80,"Poção de Vida Menor",80,25,81,0,0,0,1,81,"HIGH",false,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"NONE","CURRENT_TIER","CURRENT_TIER",1,0.5,144,35,5,3,2.91,3,1.991,0.9,1.8,1,80,100,"Poção de Vida Menor",80,25,100,2,2,50,0,,"LOW",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"RECOMMENDED","NONE","NONE",1,0.5,144,35,5,3,3,0,1.997,0.9,1.81,1,80,80,"Poção de Vida Menor",80,25,81,0,0,0,1,81,"HIGH",false,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"RECOMMENDED","NONE","CURRENT_TIER",1,0.5,144,35,5,3,3,0,1.997,0.9,1.81,1,80,100,"Poção de Vida Menor",80,25,100,2,2,50,0,,"LOW",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"RECOMMENDED","CURRENT_TIER","NONE",1,0.5,144,35,5,3,2.91,3,1.991,0.9,1.8,1,80,80,"Poção de Vida Menor",80,25,81,0,0,0,1,81,"HIGH",false,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"RECOMMENDED","CURRENT_TIER","CURRENT_TIER",1,0.5,144,35,5,3,2.91,3,1.991,0.9,1.8,1,80,100,"Poção de Vida Menor",80,25,100,2,2,50,0,,"LOW",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"FULL","NONE","NONE",1,0.5,1026,109,229,2,2,0,1.9299,0.74,1.42,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"FULL","NONE","CURRENT_TIER",1,0.5,1026,109,229,2,2,0,1.9299,0.74,1.42,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"FULL","CURRENT_TIER","NONE",1,0.5,1026,109,229,2,1.94,3,1.9258,0.74,1.42,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",0,"FULL","CURRENT_TIER","CURRENT_TIER",1,0.5,1026,109,229,2,1.94,3,1.9258,0.74,1.42,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"NONE","NONE","NONE",1,0.88,150,45,6,3,3,0,1.1873,0.87,1.04,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"NONE","NONE","CURRENT_TIER",1,0.88,150,45,6,3,3,0,1.1873,0.87,1.04,1,100,100,"Poção de Vida Menor",80,25,100,1,1,25,0,,"LOW",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"NONE","CURRENT_TIER","NONE",1,0.88,150,45,6,3,2.91,3,1.1837,0.87,1.03,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"NONE","CURRENT_TIER","CURRENT_TIER",1,0.88,150,45,6,3,2.91,3,1.1837,0.87,1.03,1,100,100,"Poção de Vida Menor",80,25,100,1,1,25,0,,"LOW",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"RECOMMENDED","NONE","NONE",1,0.88,150,45,6,3,3,0,1.1873,0.87,1.04,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"RECOMMENDED","NONE","CURRENT_TIER",1,0.88,150,45,6,3,3,0,1.1873,0.87,1.04,1,100,100,"Poção de Vida Menor",80,25,100,1,1,25,0,,"LOW",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"RECOMMENDED","CURRENT_TIER","NONE",1,0.88,150,45,6,3,2.91,3,1.1837,0.87,1.03,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"RECOMMENDED","CURRENT_TIER","CURRENT_TIER",1,0.88,150,45,6,3,2.91,3,1.1837,0.87,1.03,1,100,100,"Poção de Vida Menor",80,25,100,1,1,25,0,,"LOW",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"FULL","NONE","NONE",1,0.88,1032,119,230,1,1,0,1.1065,0.73,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"FULL","NONE","CURRENT_TIER",1,0.88,1032,119,230,1,1,0,1.1065,0.73,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"FULL","CURRENT_TIER","NONE",1,0.88,1032,119,230,1,1,0,1.1065,0.73,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Assassino","MIXED",3,"FULL","CURRENT_TIER","CURRENT_TIER",1,0.88,1032,119,230,1,1,0,1.1065,0.73,0.81,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Assassino","CURRENT",0,"NONE","NONE","NONE",1,1,150,45,6,3,3,0,1.0374,0.88,0.91,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","CURRENT",0,"NONE","NONE","CURRENT_TIER",1,1,150,45,6,3,3,0,1.0374,0.88,0.91,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Assassino","CURRENT",0,"NONE","CURRENT_TIER","NONE",1,1,150,45,6,3,2.91,3,1.0343,0.88,0.91,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,201.01,1407.04
