"item";"classe";"slot";"tier";"qtdGathering";"qtdDropsAutoCombat";"killsEsperadasDrops";"horasGathering";"horasAutoCombatDrops";"horasCrafting";"horasTotais";"percentualAutoCombat";"craftsEm6hFree";"craftsEm12hPremium"
"Machado de Chapa Rasgada";"Lutador";"MAIN_HAND";"2";"120";"30";"57.6";"1.31";"0.32";"0.01";"1.64";"19.67";"3.67";"7.33"
"Escudo de Portão Oxidado";"Lutador";"OFF_HAND";"2";"120";"30";"124.9";"1.31";"0.69";"0.01";"2.01";"34.66";"2.99";"5.97"
"Espada de Serra Oxidada";"Assassino";"MAIN_HAND";"2";"120";"30";"57.6";"1.31";"0.32";"0.01";"1.64";"19.67";"3.67";"7.33"
"Adagas de Estilete Enferrujado";"Assassino";"MAIN_HAND";"2";"120";"30";"57.6";"1.31";"0.32";"0.01";"1.64";"19.67";"3.67";"7.33"
"Bombas de Ferrugem Seca";"Assassino";"OFF_HAND";"2";"120";"30";"124.9";"1.31";"0.69";"0.01";"2.01";"34.66";"2.99";"5.97"
"Capuz de Oficina Sombreado";"Assassino";"HEAD";"2";"120";"30";"85.7";"1.31";"0.48";"0.01";"1.79";"26.68";"3.35";"6.7"
"Traje de Oficina Silencioso";"Assassino";"ARMOR";"2";"120";"30";"180";"1.31";"1";"0.01";"2.32";"43.33";"2.59";"5.18"
"Perneiras de Oficina Enferrujada";"Assassino";"PANTS";"2";"120";"30";"180";"1.31";"1";"0.01";"2.32";"43.33";"2.59";"5.18"
"Sapatilhas de Ferrugem Baixa";"Assassino";"BOOTS";"2";"120";"30";"124.9";"1.31";"0.69";"0.01";"2.01";"34.66";"2.99";"5.97"
"Serra de Oficina Médica Oxidada";"Médico";"MAIN_HAND";"2";"120";"30";"57.6";"1.31";"0.32";"0.01";"1.64";"19.67";"3.67";"7.33"
"Desfibrilador de Bobina Enferrujada";"Médico";"MAIN_HAND";"2";"120";"30";"57.6";"1.31";"0.32";"0.01";"1.64";"19.67";"3.67";"7.33"
"Injetor de Oficina Oxidado";"Médico";"OFF_HAND";"2";"120";"30";"124.9";"1.31";"0.69";"0.01";"2.01";"34.66";"2.99";"5.97"
"Máscara de Oficina Médica";"Médico";"HEAD";"2";"120";"30";"85.7";"1.31";"0.48";"0.01";"1.79";"26.68";"3.35";"6.7"
"Colete Paramédico Enferrujado";"Médico";"ARMOR";"2";"120";"30";"180";"1.31";"1";"0.01";"2.32";"43.33";"2.59";"5.18"
"Calças de Oficina Sanitária";"Médico";"PANTS";"2";"120";"30";"180";"1.31";"1";"0.01";"2.32";"43.33";"2.59";"5.18"
"Sapatos de Oficina Sanitária";"Médico";"BOOTS";"2";"120";"30";"124.9";"1.31";"0.69";"0.01";"2.01";"34.66";"2.99";"5.97"
"Rifle de Oficina Oxidado";"Atirador";"MAIN_HAND";"2";"120";"30";"57.6";"1.31";"0.32";"0.01";"1.64";"19.67";"3.67";"7.33"
"Pistola de Chapa Enferrujada";"Atirador";"MAIN_HAND";"2";"120";"30";"57.6";"1.31";"0.32";"0.01";"1.64";"19.67";"3.67";"7.33"
"Carregador de Oficina Oxidado";"Atirador";"OFF_HAND";"2";"120";"30";"124.9";"1.31";"0.69";"0.01";"2.01";"34.66";"2.99";"5.97"
"Viseira de Oficina Oxidada";"Atirador";"HEAD";"2";"120";"30";"85.7";"1.31";"0.48";"0.01";"1.79";"26.68";"3.35";"6.7"
"Jaqueta de Oficina Oxidada";"Atirador";"ARMOR";"2";"120";"30";"180";"1.31";"1";"0.01";"2.32";"43.33";"2.59";"5.18"
"Cargueiras de Oficina Oleosa";"Atirador";"PANTS";"2";"120";"30";"180";"1.31";"1";"0.01";"2.32";"43.33";"2.59";"5.18"
"Coturnos de Ferrugem Baixa";"Atirador";"BOOTS";"2";"120";"30";"124.9";"1.31";"0.69";"0.01";"2.01";"34.66";"2.99";"5.97"
"Armadura de Maca Reforçada";"Lutador";"ARMOR";"3";"135";"32";"143.9";"1.71";"0.88";"0.02";"2.6";"34";"2.3";"4.61"
"Grevas de Tala Clínica";"Lutador";"PANTS";"3";"135";"32";"210.1";"1.71";"1.28";"0.02";"3.01";"42.92";"1.99";"3.99"
"Botas de Enfermaria Seladas";"Lutador";"BOOTS";"3";"135";"32";"96.9";"1.71";"0.59";"0.02";"2.32";"25.74";"2.59";"5.18"
"Elmo de Visor Clínico";"Lutador";"HEAD";"3";"135";"32";"96.9";"1.71";"0.59";"0.02";"2.32";"25.74";"2.59";"5.18"
"Maça de Suporte de Soro";"Lutador";"MAIN_HAND";"3";"135";"32";"119.9";"1.71";"0.73";"0.02";"2.46";"30.02";"2.44";"4.88"
"Machado de Bandeja Cirúrgica";"Lutador";"MAIN_HAND";"3";"135";"32";"119.9";"1.71";"0.73";"0.02";"2.46";"30.02";"2.44";"4.88"
"Escudo de Maca Dobrada";"Lutador";"OFF_HAND";"3";"135";"32";"143.9";"1.71";"0.88";"0.02";"2.6";"34";"2.3";"4.61"
"Espada de Bisturi Alongado";"Assassino";"MAIN_HAND";"3";"135";"32";"119.9";"1.71";"0.73";"0.02";"2.46";"30.02";"2.44";"4.88"
"Adagas de Tesoura Cirúrgica";"Assassino";"MAIN_HAND";"3";"135";"32";"119.9";"1.71";"0.73";"0.02";"2.46";"30.02";"2.44";"4.88"
"Bombas de Névoa Clínica";"Assassino";"OFF_HAND";"3";"135";"32";"143.9";"1.71";"0.88";"0.02";"2.6";"34";"2.3";"4.61"
"Capuz de Triagem Escura";"Assassino";"HEAD";"3";"135";"32";"96.9";"1.71";"0.59";"0.02";"2.32";"25.74";"2.59";"5.18"
"Traje de Ala Isolada";"Assassino";"ARMOR";"3";"135";"32";"143.9";"1.71";"0.88";"0.02";"2.6";"34";"2.3";"4.61"
"Perneiras de Maca Silenciosa";"Assassino";"PANTS";"3";"135";"32";"210.1";"1.71";"1.28";"0.02";"3.01";"42.92";"1.99";"3.99"
"Sapatilhas de Enfermaria Silenciosa";"Assassino";"BOOTS";"3";"135";"32";"96.9";"1.71";"0.59";"0.02";"2.32";"25.74";"2.59";"5.18"
"Serra Cirúrgica de Triagem";"Médico";"MAIN_HAND";"3";"135";"32";"119.9";"1.71";"0.73";"0.02";"2.46";"30.02";"2.44";"4.88"
"Desfibrilador de Leito Clínico";"Médico";"MAIN_HAND";"3";"135";"32";"119.9";"1.71";"0.73";"0.02";"2.46";"30.02";"2.44";"4.88"
"Injetor de Triagem Clínica";"Médico";"OFF_HAND";"3";"135";"32";"143.9";"1.71";"0.88";"0.02";"2.6";"34";"2.3";"4.61"
"Máscara de Isolamento Clínico";"Médico";"HEAD";"3";"135";"32";"96.9";"1.71";"0.59";"0.02";"2.32";"25.74";"2.59";"5.18"
"Colete de Triagem Clínica";"Médico";"ARMOR";"3";"135";"32";"143.9";"1.71";"0.88";"0.02";"2.6";"34";"2.3";"4.61"
"Calças de Triagem Clínica";"Médico";"PANTS";"3";"135";"32";"210.1";"1.71";"1.28";"0.02";"3.01";"42.92";"1.99";"3.99"
"Sapatos de Enfermaria Selada";"Médico";"BOOTS";"3";"135";"32";"96.9";"1.71";"0.59";"0.02";"2.32";"25.74";"2.59";"5.18"
"Rifle de Dardos Clínicos";"Atirador";"MAIN_HAND";"3";"135";"32";"119.9";"1.71";"0.73";"0.02";"2.46";"30.02";"2.44";"4.88"
"Pistola de Sedativo Quebrada";"Atirador";"MAIN_HAND";"3";"135";"32";"119.9";"1.71";"0.73";"0.02";"2.46";"30.02";"2.44";"4.88"
"Carregador de Triagem Clínica";"Atirador";"OFF_HAND";"3";"135";"32";"143.9";"1.71";"0.88";"0.02";"2.6";"34";"2.3";"4.61"
"Viseira de Triagem Balística";"Atirador";"HEAD";"3";"135";"32";"96.9";"1.71";"0.59";"0.02";"2.32";"25.74";"2.59";"5.18"
"Jaqueta de Resgate Clínico";"Atirador";"ARMOR";"3";"135";"32";"143.9";"1.71";"0.88";"0.02";"2.6";"34";"2.3";"4.61"
"Cargueiras de Maca de Campo";"Atirador";"PANTS";"3";"135";"32";"210.1";"1.71";"1.28";"0.02";"3.01";"42.92";"1.99";"3.99"
"Coturnos de Enfermaria Tática";"Atirador";"BOOTS";"3";"135";"32";"96.9";"1.71";"0.59";"0.02";"2.32";"25.74";"2.59";"5.18"
"Armadura de Bagageiro Rebitado";"Lutador";"ARMOR";"4";"135";"38";"168.9";"1.89";"0.99";"0.03";"2.91";"34.26";"2.06";"4.12"
"Grevas de Escada Rolante";"Lutador";"PANTS";"4";"135";"38";"168.9";"1.89";"0.99";"0.03";"2.91";"34.26";"2.06";"4.12"
"Botas de Esteira Quebrada";"Lutador";"BOOTS";"4";"135";"38";"114";"1.89";"0.66";"0.03";"2.59";"26.02";"2.32";"4.63"
"Elmo de Segurança do Terminal";"Lutador";"HEAD";"4";"135";"38";"246.1";"1.89";"1.44";"0.03";"3.36";"43.16";"1.79";"3.57"
"Maça de Corrimão Rebitado";"Lutador";"MAIN_HAND";"4";"135";"38";"140.8";"1.89";"0.82";"0.03";"2.75";"30.29";"2.19";"4.37"
"Machado de Placa de Embarque";"Lutador";"MAIN_HAND";"4";"135";"38";"140.8";"1.89";"0.82";"0.03";"2.75";"30.29";"2.19";"4.37"
"Escudo de Painel de Embarque";"Lutador";"OFF_HAND";"4";"135";"38";"114";"1.89";"0.66";"0.03";"2.59";"26.02";"2.32";"4.63"
"Espada de Sinalização Afiada";"Assassino";"MAIN_HAND";"4";"135";"38";"140.8";"1.89";"0.82";"0.03";"2.75";"30.29";"2.19";"4.37"
"Adagas de Canivete de Embarque";"Assassino";"MAIN_HAND";"4";"135";"38";"140.8";"1.89";"0.82";"0.03";"2.75";"30.29";"2.19";"4.37"
"Bombas de Sinalização Queimada";"Assassino";"OFF_HAND";"4";"135";"38";"114";"1.89";"0.66";"0.03";"2.59";"26.02";"2.32";"4.63"
"Capuz de Embarque Oculto";"Assassino";"HEAD";"4";"135";"38";"246.1";"1.89";"1.44";"0.03";"3.36";"43.16";"1.79";"3.57"
"Traje de Terminal Oculto";"Assassino";"ARMOR";"4";"135";"38";"168.9";"1.89";"0.99";"0.03";"2.91";"34.26";"2.06";"4.12"
"Perneiras de Passageiro Oculto";"Assassino";"PANTS";"4";"135";"38";"168.9";"1.89";"0.99";"0.03";"2.91";"34.26";"2.06";"4.12"
"Sapatilhas de Esteira Quebrada";"Assassino";"BOOTS";"4";"135";"38";"114";"1.89";"0.66";"0.03";"2.59";"26.02";"2.32";"4.63"
"Serra de Resgate do Terminal";"Médico";"MAIN_HAND";"4";"135";"38";"140.8";"1.89";"0.82";"0.03";"2.75";"30.29";"2.19";"4.37"
"Desfibrilador de Cabine de Emergência";"Médico";"MAIN_HAND";"4";"135";"38";"140.8";"1.89";"0.82";"0.03";"2.75";"30.29";"2.19";"4.37"
"Injetor de Emergência do Terminal";"Médico";"OFF_HAND";"4";"135";"38";"114";"1.89";"0.66";"0.03";"2.59";"26.02";"2.32";"4.63"
"Máscara de Cabine Sanitária";"Médico";"HEAD";"4";"135";"38";"246.1";"1.89";"1.44";"0.03";"3.36";"43.16";"1.79";"3.57"
"Colete de Resgate do Terminal";"Médico";"ARMOR";"4";"135";"38";"168.9";"1.89";"0.99";"0.03";"2.91";"34.26";"2.06";"4.12"
"Calças de Emergência do Terminal";"Médico";"PANTS";"4";"135";"38";"168.9";"1.89";"0.99";"0.03";"2.91";"34.26";"2.06";"4.12"
"Sapatos de Resgate do Terminal";"Médico";"BOOTS";"4";"135";"38";"114";"1.89";"0.66";"0.03";"2.59";"26.02";"2.32";"4.63"
"Rifle de Sinalização de Embarque";"Atirador";"MAIN_HAND";"4";"135";"38";"140.8";"1.89";"0.82";"0.03";"2.75";"30.29";"2.19";"4.37"
"Pistola de Segurança do Terminal";"Atirador";"MAIN_HAND";"4";"135";"38";"140.8";"1.89";"0.82";"0.03";"2.75";"30.29";"2.19";"4.37"
"Carregador de Embarque Rápido";"Atirador";"OFF_HAND";"4";"135";"38";"114";"1.89";"0.66";"0.03";"2.59";"26.02";"2.32";"4.63"
"Viseira de Embarque Tático";"Atirador";"HEAD";"4";"135";"38";"246.1";"1.89";"1.44";"0.03";"3.36";"43.16";"1.79";"3.57"
"Jaqueta de Patrulha do Terminal";"Atirador";"ARMOR";"4";"135";"38";"168.9";"1.89";"0.99";"0.03";"2.91";"34.26";"2.06";"4.12"
"Cargueiras de Embarque Tático";"Atirador";"PANTS";"4";"135";"38";"168.9";"1.89";"0.99";"0.03";"2.91";"34.26";"2.06";"4.12"
"Coturnos de Terminal Quebrado";"Atirador";"BOOTS";"4";"135";"38";"114";"1.89";"0.66";"0.03";"2.59";"26.02";"2.32";"4.63"
"Armadura de Barreira Selada";"Lutador";"ARMOR";"5";"150";"46";"134.1";"2.49";"0.86";"0.05";"3.4";"25.61";"1.77";"3.53"
"Grevas de Câmara Selada";"Lutador";"PANTS";"5";"150";"46";"196.8";"2.49";"1.26";"0.05";"3.8";"33.57";"1.58";"3.16"
"Botas de Quarentena Selada";"Lutador";"BOOTS";"5";"150";"46";"285";"2.49";"1.82";"0.05";"4.36";"42.25";"1.38";"2.75"
"Elmo de Câmara Selada";"Lutador";"HEAD";"5";"150";"46";"285";"2.49";"1.82";"0.05";"4.36";"42.25";"1.38";"2.75"
"Maça de Grade de Quarentena";"Lutador";"MAIN_HAND";"5";"150";"46";"120.6";"2.49";"0.77";"0.05";"3.31";"23.65";"1.81";"3.63"
"Machado de Porta de Contenção";"Lutador";"MAIN_HAND";"5";"150";"46";"120.6";"2.49";"0.77";"0.05";"3.31";"23.65";"1.81";"3.63"
"Escudo de Barreira de Quarentena";"Lutador";"OFF_HAND";"5";"150";"46";"134.1";"2.49";"0.86";"0.05";"3.4";"25.61";"1.77";"3.53"
"Espada de Lâmina Selada";"Assassino";"MAIN_HAND";"5";"150";"46";"120.6";"2.49";"0.77";"0.05";"3.31";"23.65";"1.81";"3.63"
"Adagas de Contenção Verde";"Assassino";"MAIN_HAND";"5";"150";"46";"120.6";"2.49";"0.77";"0.05";"3.31";"23.65";"1.81";"3.63"
"Bombas de Quarentena Verde";"Assassino";"OFF_HAND";"5";"150";"46";"134.1";"2.49";"0.86";"0.05";"3.4";"25.61";"1.77";"3.53"
"Capuz de Quarentena Verde";"Assassino";"HEAD";"5";"150";"46";"285";"2.49";"1.82";"0.05";"4.36";"42.25";"1.38";"2.75"
"Traje de Quarentena Furtiva";"Assassino";"ARMOR";"5";"150";"46";"134.1";"2.49";"0.86";"0.05";"3.4";"25.61";"1.77";"3.53"
"Perneiras de Quarentena Leve";"Assassino";"PANTS";"5";"150";"46";"196.8";"2.49";"1.26";"0.05";"3.8";"33.57";"1.58";"3.16"
"Sapatilhas de Quarentena Selada";"Assassino";"BOOTS";"5";"150";"46";"285";"2.49";"1.82";"0.05";"4.36";"42.25";"1.38";"2.75"
"Serra de Contenção Verde";"Médico";"MAIN_HAND";"5";"150";"46";"120.6";"2.49";"0.77";"0.05";"3.31";"23.65";"1.81";"3.63"
"Desfibrilador de Quarentena";"Médico";"MAIN_HAND";"5";"150";"46";"120.6";"2.49";"0.77";"0.05";"3.31";"23.65";"1.81";"3.63"
"Injetor de Quarentena Verde";"Médico";"OFF_HAND";"5";"150";"46";"134.1";"2.49";"0.86";"0.05";"3.4";"25.61";"1.77";"3.53"
"Máscara de Quarentena Verde";"Médico";"HEAD";"5";"150";"46";"285";"2.49";"1.82";"0.05";"4.36";"42.25";"1.38";"2.75"
"Colete de Quarentena Verde";"Médico";"ARMOR";"5";"150";"46";"134.1";"2.49";"0.86";"0.05";"3.4";"25.61";"1.77";"3.53"
"Calças de Quarentena Leve";"Médico";"PANTS";"5";"150";"46";"196.8";"2.49";"1.26";"0.05";"3.8";"33.57";"1.58";"3.16"
"Sapatos de Quarentena Verde";"Médico";"BOOTS";"5";"150";"46";"285";"2.49";"1.82";"0.05";"4.36";"42.25";"1.38";"2.75"
"Rifle de Contenção Verde";"Atirador";"MAIN_HAND";"5";"150";"46";"120.6";"2.49";"0.77";"0.05";"3.31";"23.65";"1.81";"3.63"
"Pistola de Quarentena Selada";"Atirador";"MAIN_HAND";"5";"150";"46";"120.6";"2.49";"0.77";"0.05";"3.31";"23.65";"1.81";"3.63"
"Carregador de Quarentena Verde";"Atirador";"OFF_HAND";"5";"150";"46";"134.1";"2.49";"0.86";"0.05";"3.4";"25.61";"1.77";"3.53"
"Viseira de Quarentena Verde";"Atirador";"HEAD";"5";"150";"46";"285";"2.49";"1.82";"0.05";"4.36";"42.25";"1.38";"2.75"
"Jaqueta de Quarentena Balística";"Atirador";"ARMOR";"5";"150";"46";"134.1";"2.49";"0.86";"0.05";"3.4";"25.61";"1.77";"3.53"
"Cargueiras de Quarentena Verde";"Atirador";"PANTS";"5";"150";"46";"196.8";"2.49";"1.26";"0.05";"3.8";"33.57";"1.58";"3.16"
"Coturnos de Quarentena Verde";"Atirador";"BOOTS";"5";"150";"46";"285";"2.49";"1.82";"0.05";"4.36";"42.25";"1.38";"2.75"
