scenarioKey,scenarioLabel,className,fromLevel,toLevel,tier,huntingLevel,xpRequired,effectiveXpPerHour,effectiveXpPerKill,killsPerHour,secondsPerFind,ttkSeconds,secondsPerMob,mapName,hoursToLevel,days24hToLevel,cumulativeHours,cumulativeDays24h,cumulativeDays12h,cumulativeDays6h
conservador,Conservador,Lutador,13,14,2,10,8734,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,5.5808,0.2325,55.9666,2.3319,4.6639,9.3278
conservador,Conservador,Lutador,14,15,2,10,14972,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,9.5668,0.3986,65.5334,2.7306,5.4611,10.9222
conservador,Conservador,Lutador,15,16,2,10,22458,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,14.3502,0.5979,79.8835,3.3285,6.657,13.3139
conservador,Conservador,Lutador,16,17,2,10,32439,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,20.7278,0.8637,100.6113,4.1921,8.3843,16.7686
conservador,Conservador,Lutador,17,18,2,10,44916,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,28.7003,1.1958,129.3117,5.388,10.776,21.5519
conservador,Conservador,Lutador,18,19,2,10,58640,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,37.4696,1.5612,166.7813,6.9492,13.8984,27.7969
conservador,Conservador,Lutador,19,20,2,10,71116,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,45.4415,1.8934,212.2228,8.8426,17.6852,35.3705
conservador,Conservador,Lutador,20,21,2,10,84840,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,54.2109,2.2588,266.4337,11.1014,22.2028,44.4056
conservador,Conservador,Lutador,21,22,3,15,7278,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,3.0606,0.1275,269.4943,11.2289,22.4579,44.9157
conservador,Conservador,Lutador,22,23,3,15,14556,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,6.1211,0.255,275.6154,11.484,22.9679,45.9359
conservador,Conservador,Lutador,23,24,3,15,25473,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,10.7119,0.4463,286.3273,11.9303,23.8606,47.7212
conservador,Conservador,Lutador,24,25,3,15,43668,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,18.3633,0.7651,304.6906,12.6954,25.3909,50.7818
conservador,Conservador,Lutador,25,26,3,15,65502,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,27.545,1.1477,332.2356,13.8432,27.6863,55.3726
conservador,Conservador,Lutador,26,27,3,15,94614,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,39.7872,1.6578,372.0229,15.501,31.0019,62.0038
conservador,Conservador,Lutador,27,28,3,15,131004,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,55.09,2.2954,427.1128,17.7964,35.5927,71.1855
conservador,Conservador,Lutador,28,29,3,15,171032,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,71.9226,2.9968,499.0355,20.7931,41.5863,83.1726
conservador,Conservador,Lutador,29,30,3,15,207422,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,87.2254,3.6344,586.2609,24.4275,48.8551,97.7101
conservador,Conservador,Lutador,30,31,3,15,247451,2378,28.6,83,11,32.08,43.08,Hospital Santa Ruína,104.0585,4.3358,690.3193,28.7633,57.5266,115.0532
conservador,Conservador,Lutador,31,32,4,20,14036,3394,46.5,73,10,39,49,Terminal dos Esquecidos,4.1355,0.1723,694.4549,28.9356,57.8712,115.7425
conservador,Conservador,Lutador,32,33,4,20,28072,3394,46.5,73,10,39,49,Terminal dos Esquecidos,8.2711,0.3446,702.7259,29.2802,58.5605,117.121
conservador,Conservador,Lutador,33,34,4,20,49126,3394,46.5,73,10,39,49,Terminal dos Esquecidos,14.4744,0.6031,717.2003,29.8833,59.7667,119.5334
conservador,Conservador,Lutador,34,35,4,20,84217,3394,46.5,73,10,39,49,Terminal dos Esquecidos,24.8135,1.0339,742.0138,30.9172,61.8345,123.669
conservador,Conservador,Lutador,35,36,4,20,126325,3394,46.5,73,10,39,49,Terminal dos Esquecidos,37.2201,1.5508,779.2339,32.4681,64.9362,129.8723
conservador,Conservador,Lutador,36,37,4,20,182469,3394,46.5,73,10,39,49,Terminal dos Esquecidos,53.7622,2.2401,832.9961,34.7082,69.4163,138.8327
conservador,Conservador,Lutador,37,38,4,20,252650,3394,46.5,73,10,39,49,Terminal dos Esquecidos,74.4402,3.1017,907.4363,37.8098,75.6197,151.2394
conservador,Conservador,Lutador,38,39,4,20,329848,3394,46.5,73,10,39,49,Terminal dos Esquecidos,97.1856,4.0494,1004.6219,41.8592,83.7185,167.437
conservador,Conservador,Lutador,39,40,4,20,400029,3394,46.5,73,10,39,49,Terminal dos Esquecidos,117.8636,4.911,1122.4855,46.7702,93.5405,187.0809
conservador,Conservador,Lutador,40,41,4,20,477227,3394,46.5,73,10,39,49,Terminal dos Esquecidos,140.609,5.8587,1263.0945,52.6289,105.2579,210.5158
conservador,Conservador,Lutador,41,42,5,25,28696,5193,71.1,73,9,40,49,Zona de Quarentena 9,5.5259,0.2302,1268.6204,52.8592,105.7184,211.4367
conservador,Conservador,Lutador,42,43,5,25,57392,5193,71.1,73,9,40,49,Zona de Quarentena 9,11.0518,0.4605,1279.6722,53.3197,106.6394,213.2787
conservador,Conservador,Lutador,43,44,5,25,100436,5193,71.1,73,9,40,49,Zona de Quarentena 9,19.3407,0.8059,1299.0129,54.1255,108.2511,216.5021
conservador,Conservador,Lutador,44,45,5,25,172176,5193,71.1,73,9,40,49,Zona de Quarentena 9,33.1554,1.3815,1332.1683,55.507,111.014,222.028
conservador,Conservador,Lutador,45,46,5,25,258264,5193,71.1,73,9,40,49,Zona de Quarentena 9,49.7331,2.0722,1381.9014,57.5792,115.1584,230.3169
conservador,Conservador,Lutador,46,47,5,25,373048,5193,71.1,73,9,40,49,Zona de Quarentena 9,71.8367,2.9932,1453.7381,60.5724,121.1448,242.2897
conservador,Conservador,Lutador,47,48,5,25,516529,5193,71.1,73,9,40,49,Zona de Quarentena 9,99.4664,4.1444,1553.2045,64.7169,129.4337,258.8674
conservador,Conservador,Lutador,48,49,5,25,674357,5193,71.1,73,9,40,49,Zona de Quarentena 9,129.8588,5.4108,1683.0633,70.1276,140.2553,280.5106
conservador,Conservador,Lutador,49,50,5,25,817837,5193,71.1,73,9,40,49,Zona de Quarentena 9,157.4883,6.562,1840.5517,76.6897,153.3793,306.7586
conservador,Conservador,Lutador,50,51,5,25,975665,5193,71.1,73,9,40,49,Zona de Quarentena 9,187.8808,7.8284,2028.4325,84.518,169.036,338.0721
conservador,Conservador,Lutador,51,52,6,30,53545,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,6.7192,0.28,2035.1516,84.798,169.596,339.1919
conservador,Conservador,Lutador,52,53,6,30,107090,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,13.4383,0.5599,2048.59,85.3579,170.7158,341.4317
conservador,Conservador,Lutador,53,54,6,30,187408,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,23.5171,0.9799,2072.1071,86.3378,172.6756,345.3512
conservador,Conservador,Lutador,54,55,6,30,321271,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,40.3151,1.6798,2112.4222,88.0176,176.0352,352.0704
conservador,Conservador,Lutador,55,56,6,30,481906,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,60.4726,2.5197,2172.8948,90.5373,181.0746,362.1491
conservador,Conservador,Lutador,56,57,6,30,696087,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,87.3494,3.6396,2260.2441,94.1768,188.3537,376.7074
conservador,Conservador,Lutador,57,58,6,30,963812,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,120.9452,5.0394,2381.1893,99.2162,198.4324,396.8649
conservador,Conservador,Lutador,58,59,6,30,1258310,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,157.9006,6.5792,2539.0899,105.7954,211.5908,423.1816
conservador,Conservador,Lutador,59,60,6,30,1526036,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,191.4965,7.979,2730.5864,113.7744,227.5489,455.0977
conservador,Conservador,Lutador,60,61,6,30,1820534,7969,106.3,75,8,40,48,Refinaria do Pó Cinzento,228.452,9.5188,2959.0384,123.2933,246.5865,493.1731
conservador,Conservador,Lutador,61,62,7,35,102048,11861,158.1,75,7,41,48,Avenida dos Caídos,8.6037,0.3585,2967.6421,123.6518,247.3035,494.607
conservador,Conservador,Lutador,62,63,7,35,204095,11861,158.1,75,7,41,48,Avenida dos Caídos,17.2072,0.717,2984.8493,124.3687,248.7374,497.4749
conservador,Conservador,Lutador,63,64,7,35,357167,11861,158.1,75,7,41,48,Avenida dos Caídos,30.1127,1.2547,3014.9621,125.6234,251.2468,502.4937
conservador,Conservador,Lutador,64,65,7,35,612286,11861,158.1,75,7,41,48,Avenida dos Caídos,51.6218,2.1509,3066.5838,127.7743,255.5487,511.0973
conservador,Conservador,Lutador,65,66,7,35,918429,11861,158.1,75,7,41,48,Avenida dos Caídos,77.4327,3.2264,3144.0165,131.0007,262.0014,524.0028
conservador,Conservador,Lutador,66,67,7,35,1326619,11861,158.1,75,7,41,48,Avenida dos Caídos,111.8471,4.6603,3255.8637,135.661,271.322,542.6439
conservador,Conservador,Lutador,67,68,7,35,1836858,11861,158.1,75,7,41,48,Avenida dos Caídos,154.8654,6.4527,3410.729,142.1137,284.2274,568.4548
conservador,Conservador,Lutador,68,69,7,35,2398120,11861,158.1,75,7,41,48,Avenida dos Caídos,202.1853,8.4244,3612.9143,150.5381,301.0762,602.1524
conservador,Conservador,Lutador,69,70,7,35,2908358,11861,158.1,75,7,41,48,Avenida dos Caídos,245.2034,10.2168,3858.1178,160.7549,321.5098,643.0196
conservador,Conservador,Lutador,70,71,7,35,3469620,11861,158.1,75,7,41,48,Avenida dos Caídos,292.5234,12.1885,4150.6412,172.9434,345.8868,691.7735
conservador,Conservador,Lutador,71,72,8,40,181326,17071,227.6,75,7,41,48,Complexo Helix,10.6219,0.4426,4161.263,173.386,346.7719,693.5438
conservador,Conservador,Lutador,72,73,8,40,362651,17071,227.6,75,7,41,48,Complexo Helix,21.2437,0.8852,4182.5067,174.2711,348.5422,697.0845
conservador,Conservador,Lutador,73,74,8,40,634640,17071,227.6,75,7,41,48,Complexo Helix,37.1765,1.549,4219.6832,175.8201,351.6403,703.2805
conservador,Conservador,Lutador,74,75,8,40,1087954,17071,227.6,75,7,41,48,Complexo Helix,63.7311,2.6555,4283.4144,178.4756,356.9512,713.9024
conservador,Conservador,Lutador,75,76,8,40,1631931,17071,227.6,75,7,41,48,Complexo Helix,95.5967,3.9832,4379.011,182.4588,364.9176,729.8352
conservador,Conservador,Lutador,76,77,8,40,2357233,17071,227.6,75,7,41,48,Complexo Helix,138.0841,5.7535,4517.0951,188.2123,376.4246,752.8492
conservador,Conservador,Lutador,77,78,8,40,3263861,17071,227.6,75,7,41,48,Complexo Helix,191.1933,7.9664,4708.2884,196.1787,392.3574,784.7147
conservador,Conservador,Lutador,78,79,8,40,4261152,17071,227.6,75,7,41,48,Complexo Helix,249.6135,10.4006,4957.9019,206.5792,413.1585,826.317
conservador,Conservador,Lutador,79,80,8,40,5167781,17071,227.6,75,7,41,48,Complexo Helix,302.7228,12.6135,5260.6247,219.1927,438.3854,876.7708
conservador,Conservador,Lutador,80,81,8,40,6165071,17071,227.6,75,7,41,48,Complexo Helix,361.1429,15.0476,5621.7676,234.2403,468.4806,936.9613
conservador,Conservador,Lutador,81,82,9,45,324390,25057,329.7,76,6,41,47,Necrópole Industrial,12.9461,0.5394,5634.7137,234.7797,469.5595,939.119
conservador,Conservador,Lutador,82,83,9,45,648780,25057,329.7,76,6,41,47,Necrópole Industrial,25.8922,1.0788,5660.6059,235.8586,471.7172,943.4343
conservador,Conservador,Lutador,83,84,9,45,1135365,25057,329.7,76,6,41,47,Necrópole Industrial,45.3113,1.888,5705.9172,237.7465,475.4931,950.9862
conservador,Conservador,Lutador,84,85,9,45,1946339,25057,329.7,76,6,41,47,Necrópole Industrial,77.6765,3.2365,5783.5936,240.9831,481.9661,963.9323
conservador,Conservador,Lutador,85,86,9,45,2919509,25057,329.7,76,6,41,47,Necrópole Industrial,116.5147,4.8548,5900.1083,245.8378,491.6757,983.3514
conservador,Conservador,Lutador,86,87,9,45,4217069,25057,329.7,76,6,41,47,Necrópole Industrial,168.299,7.0125,6068.4074,252.8503,505.7006,1011.4012
conservador,Conservador,Lutador,87,88,9,45,5839018,25057,329.7,76,6,41,47,Necrópole Industrial,233.0294,9.7096,6301.4368,262.5599,525.1197,1050.2395
conservador,Conservador,Lutador,88,89,9,45,7623162,25057,329.7,76,6,41,47,Necrópole Industrial,304.2328,12.6764,6605.6696,275.2362,550.4725,1100.9449
conservador,Conservador,Lutador,89,90,9,45,9245112,25057,329.7,76,6,41,47,Necrópole Industrial,368.9632,15.3735,6974.6329,290.6097,581.2194,1162.4388
conservador,Conservador,Lutador,90,91,9,45,11029256,25057,329.7,76,6,41,47,Necrópole Industrial,440.1667,18.3403,7414.7995,308.95,617.9,1235.7999
conservador,Conservador,Lutador,91,92,10,45,582238,35265,470.2,75,6,42,48,Marco Zero,16.5104,0.6879,7431.3099,309.6379,619.2758,1238.5516
conservador,Conservador,Lutador,92,93,10,45,1164477,35265,470.2,75,6,42,48,Marco Zero,33.0208,1.3759,7464.3307,311.0138,622.0276,1244.0551
conservador,Conservador,Lutador,93,94,10,45,2037834,35265,470.2,75,6,42,48,Marco Zero,57.7863,2.4078,7522.117,313.4215,626.8431,1253.6862
conservador,Conservador,Lutador,94,95,10,45,3493430,35265,470.2,75,6,42,48,Marco Zero,99.0622,4.1276,7621.1792,317.5491,635.0983,1270.1965
conservador,Conservador,Lutador,95,96,10,45,5240144,35265,470.2,75,6,42,48,Marco Zero,148.5933,6.1914,7769.7725,323.7405,647.481,1294.9621
conservador,Conservador,Lutador,96,97,10,45,7569097,35265,470.2,75,6,42,48,Marco Zero,214.6348,8.9431,7984.4074,332.6836,665.3673,1330.7346
conservador,Conservador,Lutador,97,98,10,45,10480289,35265,470.2,75,6,42,48,Marco Zero,297.1867,12.3828,8281.5941,345.0664,690.1328,1380.2657
conservador,Conservador,Lutador,98,99,10,45,13682599,35265,470.2,75,6,42,48,Marco Zero,387.9937,16.1664,8669.5878,361.2328,722.4656,1444.9313
conservador,Conservador,Lutador,99,100,10,45,16593791,35265,470.2,75,6,42,48,Marco Zero,470.5456,19.6061,9140.1334,380.8389,761.6778,1523.3556
conservador,Conservador,Assassino,1,2,1,1,468,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,0.3537,0.0147,0.3537,0.0147,0.0295,0.059
conservador,Conservador,Assassino,2,3,1,1,936,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,0.7075,0.0295,1.0612,0.0442,0.0884,0.1769
conservador,Conservador,Assassino,3,4,1,1,1638,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,1.2381,0.0516,2.2993,0.0958,0.1916,0.3832
conservador,Conservador,Assassino,4,5,1,1,2807,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,2.1217,0.0884,4.421,0.1842,0.3684,0.7368
conservador,Conservador,Assassino,5,6,1,1,4211,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,3.1829,0.1326,7.6039,0.3168,0.6337,1.2673
conservador,Conservador,Assassino,6,7,1,1,6082,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,4.5971,0.1915,12.2011,0.5084,1.0168,2.0335
conservador,Conservador,Assassino,7,8,1,1,8422,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,6.3658,0.2652,18.5669,0.7736,1.5472,3.0945
conservador,Conservador,Assassino,8,9,1,1,10995,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,8.3107,0.3463,26.8776,1.1199,2.2398,4.4796
conservador,Conservador,Assassino,9,10,1,1,13334,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,10.0786,0.4199,36.9562,1.5398,3.0797,6.1594
conservador,Conservador,Assassino,10,11,1,1,15908,1323,8.5,155,15,8.09,23.09,Subúrbio Silencioso,12.0242,0.501,48.9803,2.0408,4.0817,8.1634
conservador,Conservador,Assassino,11,12,2,10,2495,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,1.6512,0.0688,50.6316,2.1096,4.2193,8.4386
conservador,Conservador,Assassino,12,13,2,10,4991,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,3.3031,0.1376,53.9347,2.2473,4.4946,8.9891
conservador,Conservador,Assassino,13,14,2,10,8734,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,5.7803,0.2408,59.715,2.4881,4.9762,9.9525
conservador,Conservador,Assassino,14,15,2,10,14972,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,9.9087,0.4129,69.6236,2.901,5.802,11.6039
conservador,Conservador,Assassino,15,16,2,10,22458,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,14.863,0.6193,84.4866,3.5203,7.0406,14.0811
conservador,Conservador,Assassino,16,17,2,10,32439,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,21.4686,0.8945,105.9552,4.4148,8.8296,17.6592
conservador,Conservador,Assassino,17,18,2,10,44916,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,29.726,1.2386,135.6812,5.6534,11.3068,22.6135
conservador,Conservador,Assassino,18,19,2,10,58640,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,38.8087,1.617,174.4899,7.2704,14.5408,29.0817
conservador,Conservador,Assassino,19,20,2,10,71116,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,47.0655,1.9611,221.5555,9.2315,18.463,36.9259
conservador,Conservador,Assassino,20,21,2,10,84840,1511,14.7,103,12,22.88,34.88,Distrito da Ferrugem,56.1482,2.3395,277.7037,11.571,23.142,46.284
conservador,Conservador,Assassino,21,22,3,15,7278,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,3.152,0.1313,280.8557,11.7023,23.4046,46.8093
conservador,Conservador,Assassino,22,23,3,15,14556,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,6.304,0.2627,287.1598,11.965,23.93,47.86
conservador,Conservador,Assassino,23,24,3,15,25473,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,11.032,0.4597,298.1918,12.4247,24.8493,49.6986
conservador,Conservador,Assassino,24,25,3,15,43668,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,18.9121,0.788,317.1039,13.2127,26.4253,52.8506
conservador,Conservador,Assassino,25,26,3,15,65502,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,28.3681,1.182,345.472,14.3947,28.7893,57.5787
conservador,Conservador,Assassino,26,27,3,15,94614,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,40.9762,1.7073,386.4482,16.102,32.204,64.408
conservador,Conservador,Assassino,27,28,3,15,131004,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,56.7362,2.364,443.1844,18.466,36.932,73.8641
conservador,Conservador,Assassino,28,29,3,15,171032,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,74.0719,3.0863,517.2563,21.5523,43.1047,86.2094
conservador,Conservador,Assassino,29,30,3,15,207422,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,89.832,3.743,607.0883,25.2953,50.5907,101.1814
conservador,Conservador,Assassino,30,31,3,15,247451,2309,25.9,89,11,29.43,40.43,Hospital Santa Ruína,107.168,4.4653,714.2563,29.7607,59.5214,119.0427
conservador,Conservador,Assassino,31,32,4,20,14036,3357,42,80,10,35,45,Terminal dos Esquecidos,4.1811,0.1742,718.4374,29.9349,59.8698,119.7396
conservador,Conservador,Assassino,32,33,4,20,28072,3357,42,80,10,35,45,Terminal dos Esquecidos,8.3622,0.3484,726.7997,30.2833,60.5666,121.1333
conservador,Conservador,Assassino,33,34,4,20,49126,3357,42,80,10,35,45,Terminal dos Esquecidos,14.6339,0.6097,741.4336,30.8931,61.7861,123.5723
conservador,Conservador,Assassino,34,35,4,20,84217,3357,42,80,10,35,45,Terminal dos Esquecidos,25.087,1.0453,766.5206,31.9384,63.8767,127.7534
conservador,Conservador,Assassino,35,36,4,20,126325,3357,42,80,10,35,45,Terminal dos Esquecidos,37.6303,1.5679,804.1509,33.5063,67.0126,134.0251
conservador,Conservador,Assassino,36,37,4,20,182469,3357,42,80,10,35,45,Terminal dos Esquecidos,54.3548,2.2648,858.5057,35.7711,71.5421,143.0843
conservador,Conservador,Assassino,37,38,4,20,252650,3357,42,80,10,35,45,Terminal dos Esquecidos,75.2606,3.1359,933.7663,38.9069,77.8139,155.6277
conservador,Conservador,Assassino,38,39,4,20,329848,3357,42,80,10,35,45,Terminal dos Esquecidos,98.2568,4.094,1032.0231,43.001,86.0019,172.0038
conservador,Conservador,Assassino,39,40,4,20,400029,3357,42,80,10,35,45,Terminal dos Esquecidos,119.1626,4.9651,1151.1857,47.9661,95.9321,191.8643
conservador,Conservador,Assassino,40,41,4,20,477227,3357,42,80,10,35,45,Terminal dos Esquecidos,142.1588,5.9233,1293.3445,53.8894,107.7787,215.5574
conservador,Conservador,Assassino,41,42,5,25,28696,5234,64.6,81,9,35,44,Zona de Quarentena 9,5.4826,0.2284,1298.8271,54.1178,108.2356,216.4712
conservador,Conservador,Assassino,42,43,5,25,57392,5234,64.6,81,9,35,44,Zona de Quarentena 9,10.9652,0.4569,1309.7923,54.5747,109.1494,218.2987
conservador,Conservador,Assassino,43,44,5,25,100436,5234,64.6,81,9,35,44,Zona de Quarentena 9,19.1891,0.7995,1328.9815,55.3742,110.7485,221.4969
conservador,Conservador,Assassino,44,45,5,25,172176,5234,64.6,81,9,35,44,Zona de Quarentena 9,32.8957,1.3707,1361.8772,56.7449,113.4898,226.9795
conservador,Conservador,Assassino,45,46,5,25,258264,5234,64.6,81,9,35,44,Zona de Quarentena 9,49.3435,2.056,1411.2207,58.8009,117.6017,235.2034
conservador,Conservador,Assassino,46,47,5,25,373048,5234,64.6,81,9,35,44,Zona de Quarentena 9,71.274,2.9697,1482.4947,61.7706,123.5412,247.0824
conservador,Conservador,Assassino,47,48,5,25,516529,5234,64.6,81,9,35,44,Zona de Quarentena 9,98.6872,4.112,1581.1819,65.8826,131.7652,263.5303
conservador,Conservador,Assassino,48,49,5,25,674357,5234,64.6,81,9,35,44,Zona de Quarentena 9,128.8416,5.3684,1710.0235,71.251,142.502,285.0039
conservador,Conservador,Assassino,49,50,5,25,817837,5234,64.6,81,9,35,44,Zona de Quarentena 9,156.2547,6.5106,1866.2782,77.7616,155.5232,311.0464
conservador,Conservador,Assassino,50,51,5,25,975665,5234,64.6,81,9,35,44,Zona de Quarentena 9,186.4091,7.767,2052.6873,85.5286,171.0573,342.1145
conservador,Conservador,Assassino,51,52,6,30,53545,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,6.6823,0.2784,2059.3695,85.8071,171.6141,343.2283
conservador,Conservador,Assassino,52,53,6,30,107090,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,13.3645,0.5569,2072.7341,86.3639,172.7278,345.4557
conservador,Conservador,Assassino,53,54,6,30,187408,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,23.388,0.9745,2096.1221,87.3384,174.6768,349.3537
conservador,Conservador,Assassino,54,55,6,30,321271,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,40.0937,1.6706,2136.2158,89.009,178.018,356.036
conservador,Conservador,Assassino,55,56,6,30,481906,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,60.1405,2.5059,2196.3563,91.5148,183.0297,366.0594
conservador,Conservador,Assassino,56,57,6,30,696087,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,86.8697,3.6196,2283.226,95.1344,190.2688,380.5377
conservador,Conservador,Assassino,57,58,6,30,963812,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,120.281,5.0117,2403.5071,100.1461,200.2923,400.5845
conservador,Conservador,Assassino,58,59,6,30,1258310,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,157.0336,6.5431,2560.5406,106.6892,213.3784,426.7568
conservador,Conservador,Assassino,59,60,6,30,1526036,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,190.445,7.9352,2750.9857,114.6244,229.2488,458.4976
conservador,Conservador,Assassino,60,61,6,30,1820534,8013,96.5,83,8,35,43,Refinaria do Pó Cinzento,227.1976,9.4666,2978.1832,124.091,248.1819,496.3639
conservador,Conservador,Assassino,61,62,7,35,102048,12184,143.3,85,7,35,42,Avenida dos Caídos,8.3756,0.349,2986.5588,124.4399,248.8799,497.7598
conservador,Conservador,Assassino,62,63,7,35,204095,12184,143.3,85,7,35,42,Avenida dos Caídos,16.7511,0.698,3003.3098,125.1379,250.2758,500.5516
conservador,Conservador,Assassino,63,64,7,35,357167,12184,143.3,85,7,35,42,Avenida dos Caídos,29.3144,1.2214,3032.6243,126.3593,252.7187,505.4374
conservador,Conservador,Assassino,64,65,7,35,612286,12184,143.3,85,7,35,42,Avenida dos Caídos,50.2533,2.0939,3082.8776,128.4532,256.9065,513.8129
conservador,Conservador,Assassino,65,66,7,35,918429,12184,143.3,85,7,35,42,Avenida dos Caídos,75.3799,3.1408,3158.2575,131.5941,263.1881,526.3762
