"receita";"itemDrop";"tier";"quantidadeNecessaria";"mobsFonteNoTier";"mobsAtivosNoTier";"pesoTotalEncontro";"chancePonderadaPercentual";"quantidadeEsperadaPorEncontro";"killsEsperadas";"horasEsperadas"
"Perneiras de Jeans Cortado";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Sapatilhas de Pano Escuro";"Biomaterial de Mobilidade Comum";"1";"2";"2";"6";"100";"10.5";"0.105";"19";"0.12"
"Sapatilhas de Pano Escuro";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Serra de Emergência Quebrada";"Biomaterial Cortante Comum";"1";"2";"2";"6";"100";"35.7";"0.357";"5.6";"0.03"
"Serra de Emergência Quebrada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Desfibrilador de Rádio Improvisado";"Biomaterial Cortante Comum";"1";"2";"2";"6";"100";"35.7";"0.357";"5.6";"0.03"
"Desfibrilador de Rádio Improvisado";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Injetor de Soro Rachado";"Biomaterial Reativo Comum";"1";"2";"2";"6";"100";"6.65";"0.0665";"30.1";"0.18"
"Injetor de Soro Rachado";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Máscara Clínica Rasgada";"Biomaterial Craniano Comum";"1";"2";"2";"6";"100";"10.5";"0.105";"19";"0.12"
"Máscara Clínica Rasgada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Colete de Primeiros Socorros";"Biomaterial Torácico Comum";"1";"2";"2";"6";"100";"6.65";"0.0665";"30.1";"0.18"
"Colete de Primeiros Socorros";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Calças de Socorro Rasgadas";"Biomaterial Articular Comum";"1";"2";"2";"6";"100";"17.85";"0.1785";"11.2";"0.07"
"Calças de Socorro Rasgadas";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Sapatos de Enfermagem Gastos";"Biomaterial de Mobilidade Comum";"1";"2";"2";"6";"100";"10.5";"0.105";"19";"0.12"
"Sapatos de Enfermagem Gastos";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Rifle de Cano Curto";"Biomaterial Cortante Comum";"1";"2";"2";"6";"100";"35.7";"0.357";"5.6";"0.03"
"Rifle de Cano Curto";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Pistola de Gaveta Quebrada";"Biomaterial Cortante Comum";"1";"2";"2";"6";"100";"35.7";"0.357";"5.6";"0.03"
"Pistola de Gaveta Quebrada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Carregador de Lata Amassada";"Biomaterial Reativo Comum";"1";"2";"2";"6";"100";"6.65";"0.0665";"30.1";"0.18"
"Carregador de Lata Amassada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Viseira de Mira Rachada";"Biomaterial Craniano Comum";"1";"2";"2";"6";"100";"10.5";"0.105";"19";"0.12"
"Viseira de Mira Rachada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Jaqueta de Couro Furado";"Biomaterial Torácico Comum";"1";"2";"2";"6";"100";"6.65";"0.0665";"30.1";"0.18"
"Jaqueta de Couro Furado";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Cargueiras de Rua Rasgadas";"Biomaterial Articular Comum";"1";"2";"2";"6";"100";"17.85";"0.1785";"11.2";"0.07"
"Cargueiras de Rua Rasgadas";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Coturnos de Patrulha Gasta";"Biomaterial de Mobilidade Comum";"1";"2";"2";"6";"100";"10.5";"0.105";"19";"0.12"
"Coturnos de Patrulha Gasta";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Armadura de Placas Oxidadas";"Biomaterial Torácico Comum";"2";"10";"2";"6";"100";"6.65";"0.0665";"150.4";"0.84"
"Armadura de Placas Oxidadas";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Grevas de Lataria Oxidada";"Biomaterial Articular Comum";"2";"10";"2";"6";"100";"6.65";"0.0665";"150.4";"0.84"
"Grevas de Lataria Oxidada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Botas de Ferrugem Cravada";"Biomaterial de Mobilidade Comum";"2";"10";"2";"6";"100";"10.5";"0.105";"95.2";"0.53"
"Botas de Ferrugem Cravada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Elmo de Soldador Enferrujado";"Biomaterial Craniano Comum";"2";"10";"2";"6";"100";"17.85";"0.1785";"56";"0.31"
"Elmo de Soldador Enferrujado";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Maça de Engrenagem Enferrujada";"Biomaterial Cortante Comum";"2";"10";"2";"6";"100";"35.7";"0.357";"28";"0.16"
"Maça de Engrenagem Enferrujada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Machado de Chapa Rasgada";"Biomaterial Cortante Comum";"2";"10";"2";"6";"100";"35.7";"0.357";"28";"0.16"
"Machado de Chapa Rasgada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Escudo de Portão Oxidado";"Biomaterial Reativo Comum";"2";"10";"2";"6";"100";"10.5";"0.105";"95.2";"0.53"
"Escudo de Portão Oxidado";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Espada de Serra Oxidada";"Biomaterial Cortante Comum";"2";"10";"2";"6";"100";"35.7";"0.357";"28";"0.16"
"Espada de Serra Oxidada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Adagas de Estilete Enferrujado";"Biomaterial Cortante Comum";"2";"10";"2";"6";"100";"35.7";"0.357";"28";"0.16"
"Adagas de Estilete Enferrujado";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Bombas de Ferrugem Seca";"Biomaterial Reativo Comum";"2";"10";"2";"6";"100";"10.5";"0.105";"95.2";"0.53"
"Bombas de Ferrugem Seca";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Capuz de Oficina Sombreado";"Biomaterial Craniano Comum";"2";"10";"2";"6";"100";"17.85";"0.1785";"56";"0.31"
"Capuz de Oficina Sombreado";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Traje de Oficina Silencioso";"Biomaterial Torácico Comum";"2";"10";"2";"6";"100";"6.65";"0.0665";"150.4";"0.84"
"Traje de Oficina Silencioso";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Perneiras de Oficina Enferrujada";"Biomaterial Articular Comum";"2";"10";"2";"6";"100";"6.65";"0.0665";"150.4";"0.84"
"Perneiras de Oficina Enferrujada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Sapatilhas de Ferrugem Baixa";"Biomaterial de Mobilidade Comum";"2";"10";"2";"6";"100";"10.5";"0.105";"95.2";"0.53"
"Sapatilhas de Ferrugem Baixa";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Serra de Oficina Médica Oxidada";"Biomaterial Cortante Comum";"2";"10";"2";"6";"100";"35.7";"0.357";"28";"0.16"
"Serra de Oficina Médica Oxidada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Desfibrilador de Bobina Enferrujada";"Biomaterial Cortante Comum";"2";"10";"2";"6";"100";"35.7";"0.357";"28";"0.16"
"Desfibrilador de Bobina Enferrujada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Injetor de Oficina Oxidado";"Biomaterial Reativo Comum";"2";"10";"2";"6";"100";"10.5";"0.105";"95.2";"0.53"
"Injetor de Oficina Oxidado";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Máscara de Oficina Médica";"Biomaterial Craniano Comum";"2";"10";"2";"6";"100";"17.85";"0.1785";"56";"0.31"
"Máscara de Oficina Médica";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Colete Paramédico Enferrujado";"Biomaterial Torácico Comum";"2";"10";"2";"6";"100";"6.65";"0.0665";"150.4";"0.84"
"Colete Paramédico Enferrujado";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Calças de Oficina Sanitária";"Biomaterial Articular Comum";"2";"10";"2";"6";"100";"6.65";"0.0665";"150.4";"0.84"
"Calças de Oficina Sanitária";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Sapatos de Oficina Sanitária";"Biomaterial de Mobilidade Comum";"2";"10";"2";"6";"100";"10.5";"0.105";"95.2";"0.53"
"Sapatos de Oficina Sanitária";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Rifle de Oficina Oxidado";"Biomaterial Cortante Comum";"2";"10";"2";"6";"100";"35.7";"0.357";"28";"0.16"
"Rifle de Oficina Oxidado";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Pistola de Chapa Enferrujada";"Biomaterial Cortante Comum";"2";"10";"2";"6";"100";"35.7";"0.357";"28";"0.16"
"Pistola de Chapa Enferrujada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Carregador de Oficina Oxidado";"Biomaterial Reativo Comum";"2";"10";"2";"6";"100";"10.5";"0.105";"95.2";"0.53"
"Carregador de Oficina Oxidado";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Viseira de Oficina Oxidada";"Biomaterial Craniano Comum";"2";"10";"2";"6";"100";"17.85";"0.1785";"56";"0.31"
"Viseira de Oficina Oxidada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Jaqueta de Oficina Oxidada";"Biomaterial Torácico Comum";"2";"10";"2";"6";"100";"6.65";"0.0665";"150.4";"0.84"
"Jaqueta de Oficina Oxidada";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Cargueiras de Oficina Oleosa";"Biomaterial Articular Comum";"2";"10";"2";"6";"100";"6.65";"0.0665";"150.4";"0.84"
"Cargueiras de Oficina Oleosa";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Coturnos de Ferrugem Baixa";"Biomaterial de Mobilidade Comum";"2";"10";"2";"6";"100";"10.5";"0.105";"95.2";"0.53"
"Coturnos de Ferrugem Baixa";"Resíduo Infecto Pálido";"2";"20";"6";"6";"100";"45";"0.675";"29.6";"0.16"
"Armadura de Maca Reforçada";"Biomaterial Torácico Incomum";"3";"12";"2";"6";"100";"10.5";"0.105";"114.3";"0.7"
"Armadura de Maca Reforçada";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Grevas de Tala Clínica";"Biomaterial Articular Incomum";"3";"12";"2";"6";"100";"6.65";"0.0665";"180.5";"1.1"
"Grevas de Tala Clínica";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Botas de Enfermaria Seladas";"Biomaterial de Mobilidade Incomum";"3";"12";"2";"6";"100";"17.85";"0.1785";"67.2";"0.41"
"Botas de Enfermaria Seladas";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Elmo de Visor Clínico";"Biomaterial Craniano Incomum";"3";"12";"2";"6";"100";"17.85";"0.1785";"67.2";"0.41"
"Elmo de Visor Clínico";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Maça de Suporte de Soro";"Biomaterial Cortante Incomum";"3";"12";"2";"6";"100";"13.3";"0.133";"90.2";"0.55"
"Maça de Suporte de Soro";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Machado de Bandeja Cirúrgica";"Biomaterial Cortante Incomum";"3";"12";"2";"6";"100";"13.3";"0.133";"90.2";"0.55"
"Machado de Bandeja Cirúrgica";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Escudo de Maca Dobrada";"Biomaterial Reativo Incomum";"3";"12";"2";"6";"100";"10.5";"0.105";"114.3";"0.7"
"Escudo de Maca Dobrada";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Espada de Bisturi Alongado";"Biomaterial Cortante Incomum";"3";"12";"2";"6";"100";"13.3";"0.133";"90.2";"0.55"
"Espada de Bisturi Alongado";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Adagas de Tesoura Cirúrgica";"Biomaterial Cortante Incomum";"3";"12";"2";"6";"100";"13.3";"0.133";"90.2";"0.55"
"Adagas de Tesoura Cirúrgica";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Bombas de Névoa Clínica";"Biomaterial Reativo Incomum";"3";"12";"2";"6";"100";"10.5";"0.105";"114.3";"0.7"
"Bombas de Névoa Clínica";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Capuz de Triagem Escura";"Biomaterial Craniano Incomum";"3";"12";"2";"6";"100";"17.85";"0.1785";"67.2";"0.41"
"Capuz de Triagem Escura";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Traje de Ala Isolada";"Biomaterial Torácico Incomum";"3";"12";"2";"6";"100";"10.5";"0.105";"114.3";"0.7"
"Traje de Ala Isolada";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Perneiras de Maca Silenciosa";"Biomaterial Articular Incomum";"3";"12";"2";"6";"100";"6.65";"0.0665";"180.5";"1.1"
"Perneiras de Maca Silenciosa";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Sapatilhas de Enfermaria Silenciosa";"Biomaterial de Mobilidade Incomum";"3";"12";"2";"6";"100";"17.85";"0.1785";"67.2";"0.41"
"Sapatilhas de Enfermaria Silenciosa";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Serra Cirúrgica de Triagem";"Biomaterial Cortante Incomum";"3";"12";"2";"6";"100";"13.3";"0.133";"90.2";"0.55"
"Serra Cirúrgica de Triagem";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Desfibrilador de Leito Clínico";"Biomaterial Cortante Incomum";"3";"12";"2";"6";"100";"13.3";"0.133";"90.2";"0.55"
"Desfibrilador de Leito Clínico";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Injetor de Triagem Clínica";"Biomaterial Reativo Incomum";"3";"12";"2";"6";"100";"10.5";"0.105";"114.3";"0.7"
"Injetor de Triagem Clínica";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Máscara de Isolamento Clínico";"Biomaterial Craniano Incomum";"3";"12";"2";"6";"100";"17.85";"0.1785";"67.2";"0.41"
"Máscara de Isolamento Clínico";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Colete de Triagem Clínica";"Biomaterial Torácico Incomum";"3";"12";"2";"6";"100";"10.5";"0.105";"114.3";"0.7"
"Colete de Triagem Clínica";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Calças de Triagem Clínica";"Biomaterial Articular Incomum";"3";"12";"2";"6";"100";"6.65";"0.0665";"180.5";"1.1"
"Calças de Triagem Clínica";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Sapatos de Enfermaria Selada";"Biomaterial de Mobilidade Incomum";"3";"12";"2";"6";"100";"17.85";"0.1785";"67.2";"0.41"
"Sapatos de Enfermaria Selada";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Rifle de Dardos Clínicos";"Biomaterial Cortante Incomum";"3";"12";"2";"6";"100";"13.3";"0.133";"90.2";"0.55"
"Rifle de Dardos Clínicos";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Pistola de Sedativo Quebrada";"Biomaterial Cortante Incomum";"3";"12";"2";"6";"100";"13.3";"0.133";"90.2";"0.55"
"Pistola de Sedativo Quebrada";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Carregador de Triagem Clínica";"Biomaterial Reativo Incomum";"3";"12";"2";"6";"100";"10.5";"0.105";"114.3";"0.7"
"Carregador de Triagem Clínica";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Viseira de Triagem Balística";"Biomaterial Craniano Incomum";"3";"12";"2";"6";"100";"17.85";"0.1785";"67.2";"0.41"
"Viseira de Triagem Balística";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Jaqueta de Resgate Clínico";"Biomaterial Torácico Incomum";"3";"12";"2";"6";"100";"10.5";"0.105";"114.3";"0.7"
"Jaqueta de Resgate Clínico";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Cargueiras de Maca de Campo";"Biomaterial Articular Incomum";"3";"12";"2";"6";"100";"6.65";"0.0665";"180.5";"1.1"
"Cargueiras de Maca de Campo";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Coturnos de Enfermaria Tática";"Biomaterial de Mobilidade Incomum";"3";"12";"2";"6";"100";"17.85";"0.1785";"67.2";"0.41"
"Coturnos de Enfermaria Tática";"Resíduo Infecto Amarelado";"3";"20";"6";"6";"100";"45";"0.675";"29.6";"0.18"
"Armadura de Bagageiro Rebitado";"Biomaterial Torácico Incomum";"4";"14";"2";"6";"100";"10.5";"0.105";"133.3";"0.78"
"Armadura de Bagageiro Rebitado";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Grevas de Escada Rolante";"Biomaterial Articular Incomum";"4";"14";"2";"6";"100";"10.5";"0.105";"133.3";"0.78"
"Grevas de Escada Rolante";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Botas de Esteira Quebrada";"Biomaterial de Mobilidade Incomum";"4";"14";"2";"6";"100";"17.85";"0.1785";"78.4";"0.46"
"Botas de Esteira Quebrada";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Elmo de Segurança do Terminal";"Biomaterial Craniano Incomum";"4";"14";"2";"6";"100";"6.65";"0.0665";"210.5";"1.23"
"Elmo de Segurança do Terminal";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Maça de Corrimão Rebitado";"Biomaterial Cortante Incomum";"4";"14";"2";"6";"100";"13.3";"0.133";"105.3";"0.61"
"Maça de Corrimão Rebitado";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Machado de Placa de Embarque";"Biomaterial Cortante Incomum";"4";"14";"2";"6";"100";"13.3";"0.133";"105.3";"0.61"
"Machado de Placa de Embarque";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Escudo de Painel de Embarque";"Biomaterial Reativo Incomum";"4";"14";"2";"6";"100";"17.85";"0.1785";"78.4";"0.46"
"Escudo de Painel de Embarque";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Espada de Sinalização Afiada";"Biomaterial Cortante Incomum";"4";"14";"2";"6";"100";"13.3";"0.133";"105.3";"0.61"
"Espada de Sinalização Afiada";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Adagas de Canivete de Embarque";"Biomaterial Cortante Incomum";"4";"14";"2";"6";"100";"13.3";"0.133";"105.3";"0.61"
"Adagas de Canivete de Embarque";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Bombas de Sinalização Queimada";"Biomaterial Reativo Incomum";"4";"14";"2";"6";"100";"17.85";"0.1785";"78.4";"0.46"
"Bombas de Sinalização Queimada";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Capuz de Embarque Oculto";"Biomaterial Craniano Incomum";"4";"14";"2";"6";"100";"6.65";"0.0665";"210.5";"1.23"
"Capuz de Embarque Oculto";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Traje de Terminal Oculto";"Biomaterial Torácico Incomum";"4";"14";"2";"6";"100";"10.5";"0.105";"133.3";"0.78"
"Traje de Terminal Oculto";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Perneiras de Passageiro Oculto";"Biomaterial Articular Incomum";"4";"14";"2";"6";"100";"10.5";"0.105";"133.3";"0.78"
"Perneiras de Passageiro Oculto";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Sapatilhas de Esteira Quebrada";"Biomaterial de Mobilidade Incomum";"4";"14";"2";"6";"100";"17.85";"0.1785";"78.4";"0.46"
"Sapatilhas de Esteira Quebrada";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Serra de Resgate do Terminal";"Biomaterial Cortante Incomum";"4";"14";"2";"6";"100";"13.3";"0.133";"105.3";"0.61"
"Serra de Resgate do Terminal";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Desfibrilador de Cabine de Emergência";"Biomaterial Cortante Incomum";"4";"14";"2";"6";"100";"13.3";"0.133";"105.3";"0.61"
"Desfibrilador de Cabine de Emergência";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Injetor de Emergência do Terminal";"Biomaterial Reativo Incomum";"4";"14";"2";"6";"100";"17.85";"0.1785";"78.4";"0.46"
"Injetor de Emergência do Terminal";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Máscara de Cabine Sanitária";"Biomaterial Craniano Incomum";"4";"14";"2";"6";"100";"6.65";"0.0665";"210.5";"1.23"
"Máscara de Cabine Sanitária";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Colete de Resgate do Terminal";"Biomaterial Torácico Incomum";"4";"14";"2";"6";"100";"10.5";"0.105";"133.3";"0.78"
"Colete de Resgate do Terminal";"Resíduo Infecto Amarelado";"4";"24";"6";"6";"100";"45";"0.675";"35.6";"0.21"
"Calças de Emergência do Terminal";"Biomaterial Articular Incomum";"4";"14";"2";"6";"100";"10.5";"0.105";"133.3";"0.78"
