"material";"quantidade"
"Núcleo de Respiração Carmesim";"2"
"Núcleo Rubro de Bloqueio";"2"
"Núcleo Rubro de Quarentena";"2"
"Núcleo Rubro de Respiração";"2"
"Painel de Bagageiro Amassado";"2"
"Painel de Barreira Selada";"2"
"Palmilha Filtrante Suja";"2"
"Pano de Empunhadura";"2"
"Pasta Isolante Cinzenta";"2"
"Pé de Suporte Clínico";"2"
"Pedal de Viatura Blindada";"2"
"Película Antisséptica Rachada";"2"
"Pente de Munição Velho";"2"
"Pente Selado Verde";"2"
"Placa Cerâmica Roxa";"2"
"Placa de Desfibrilador Rachada";"2"
"Placa de Embarque Recortada";"2"
"Placa de Oficina Recortada";"2"
"Placa de Piso de Refinaria";"2"
"Placa Titânica do Marco Zero";"2"
"Polímero Articulado Clínico";"2"
"Polímero Articulado Silencioso";"2"
"Ponta de Canivete Quebrado";"2"
"Ponta de Chave de Fenda";"2"
"Pontas de Tesoura Cirúrgica";"2"
"Porta-munição Oleoso";"2"
"Reforço de Barreira Selada";"2"
"Reforço de Polímero de Tornozelo (Patrulha T7 Pés)";"2"
"Resina de Quarentena Verde";"2"
"Retalho de Jeans Ajustado";"2"
"Retalho de Jeans Grosso";"2"
"Revestimento de Polímero Clínico";"2"
"Revestimento de Polímero Helix (Coleta T8 Armadura)";"2"
"Revestimento de Polímero Helix (Patrulha T8 Armadura)";"2"
"Revestimento de Polímero Translúcido (Coleta T8 Pés)";"2"
"Rolete de Esteira de Bagagem";"2"
"Selo Balístico Instável";"2"
"Selo de Marcha Carmesim (Tecnovarredura T9 Pés)";"2"
"Selo Final de Contenção";"2"
"Sensor de Gás Verde (Tecnovarredura T5 Pernas)";"2"
"Sensor de Oxímetro";"2"
"Sensor de Porta Oxidado";"2"
"Tampa Metálica Amassada";"2"
"Tapete de Embarque Desfiado (Patrulha T4 Pernas)";"2"
"Tapete de Piso Emborrachado (Coleta T4 Pés)";"2"
"Tecido de Uniforme Oleoso";"2"
"Tira de Pulseira Hospitalar";"2"
"Trança de Fibra Escarlate (Coleta T10 Main Hand)";"2"
"Trança de Fibra Escarlate (Patrulha T10 Main Hand)";"2"
"Vedação de Graxa Seca";"2"
"Vedação de Oficina Sanitária";"2"
"Acolchoado de Maca Fino";"1"
"Acolchoado Tático Rasgado";"1"
"Alça de Bagagem";"1"
"Antisséptico Vencido";"1"
"Aro de Câmara de Desinfecção";"1"
"Atuador de Dosagem Helix";"1"
"Atuador Neural de Choque";"1"
"Bainha de Uniforme Gasta (Patrulha T2 Pernas)";"1"
"Bisturi Cirúrgico Alongado";"1"
"Bobina de Choque Oxidada";"1"
"Bolsa de Curativo Rasgada";"1"
"Bolsa Sanitária de Cartuchos";"1"
"Borda de Porta de Contenção";"1"
"Braçadeira Tática Rompida";"1"
"Cabo de Monitor Clínico";"1"
"Cacos de Escudo Antimotim";"1"
"Calça Cargo Rasgada";"1"
"Câmara de Sedativo Pressurizada";"1"
"Câmara Helix de Disparo";"1"
"Cano de Sinalizador Longo";"1"
"Cápsula de Contenção";"1"
"Cápsula de Lata Amassada";"1"
"Cápsula de Oficina Oxidada";"1"
"Capuz Antióleo Queimado";"1"
"Cartucho de Quarentena Verde";"1"
"Cartucho de Vapor Cinzento";"1"
"Cartucho Filtrante Oxidado (Contenção T2 Elmo)";"1"
"Casco de Capacete Quebrado";"1"
"Célula Cerâmica de Contenção";"1"
"Célula Rubra de Silêncio";"1"
"Chapa de Oficina Rasgada";"1"
"Chip de Catraca";"1"
"Chip de Catraca Médica";"1"
"Chip de Esteira de Bagagem";"1"
"Cinta de Assento";"1"
"Cinta de Borracha Grossa";"1"
"Cinta de Colete Antimordida";"1"
"Clipe de Respirador Quebrado";"1"
"Coldre Tático Rasgado";"1"
"Colete Tático Rasgado (Coleta T7 Armadura)";"1"
"Coluna Titânica de Impacto";"1"
"Cordão de Capuz Gasto";"1"
"Cordão de Tênis Gasto";"1"
"Correia Antióleo";"1"
"Correia de Mochila de Viagem";"1"
"Correia Gasta";"1"
"Corrimão Rebitado";"1"
"Couraça Titânica Industrial";"1"
"Couro de Coturno Gasto";"1"
"Couro de Sapato Gasto";"1"
"Dardo de Contenção Verde";"1"
"Detonador Necrótico";"1"
"Difusor Molecular Helix";"1"
"Eletrodo de Borracha Sujo";"1"
"Emissor de Pulso Helix";"1"
"Engrenagem Enferrujada";"1"
"Espinho Balístico Roxo";"1"
"Espuma Antisséptica Suja";"1"
"Espuma Filtrante Suja";"1"
"Estiletes de Contenção Verde";"1"
"Estojo Antióleo";"1"
"Faca de Manutenção Queimada";"1"
"Faca Serrada de Cozinha";"1"
"Faixa de Boné Gasto";"1"
"Faixa de Torniquete";"1"
"Ferrolho Balístico Roxo";"1"
"Ferrolho de Pistola Gasto";"1"
"Ferrolho Sanitário Verde";"1"
"Fibra Escarlate de Ocultação";"1"
"Fibra Rubra Articulada (Patrulha T10 Pernas)";"1"
"Filamentos Cortantes Helix";"1"
"Fita de Mochila Rasgada";"1"
"Fivela de Monitor Quebrada";"1"
"Forro Antimordida Tático";"1"
"Forro de Colete Rasgado";"1"
"Forro de Fibra Escarlate";"1"
"Fragmento Carmesim Cortante";"1"
"Gancho de Cinto Gasto";"1"
"Gel Condutor Tóxico";"1"
"Gola de Borracha Queimada";"1"
"Grade de Quarentena Retorcida";"1"
"Inserto Cerâmico Craniano";"1"
"Inserto Cerâmico Respiratório";"1"
"Isolador de Oficina";"1"
"Isolante de Painel Sanitário";"1"
"Lacre de Maleta Médica";"1"
"Lâmina Curva Carmesim";"1"
"Lançador de Dardos Clínicos";"1"
"Lascas de Caldeira Afiadas";"1"
"LED de Máquina Quebrado";"1"
"Leitor de Embarque Falho";"1"
"Lente de Lanterna Pequena";"1"
"Luva de Oficina Gasta";"1"
"Manguito Antimordida";"1"
"Manta Antifiação";"1"
"Manta Industrial Queimada";"1"
"Manta Térmica Queimada";"1"
"Mecanismo de Pistola de Segurança";"1"
"Medidor de Pressão Queimado";"1"
"Membrana de Polímero Rasgada";"1"
"Módulo de Camuflagem Helix";"1"
"Módulo de Purificador de Cabine";"1"
"Módulo de Serra Oxidado";"1"
"Módulo Respiratório Helix";"1"
"Motor Cirúrgico Quebrado";"1"
"Motor de Cautério Industrial";"1"
"Motor de Cortador Quebrado";"1"
"Motor de Porta Automática";"1"
"Motor de Resgate Blindado";"1"
"Nebulizador Quebrado";"1"
"Núcleo de Bloqueio Carmesim";"1"
"Núcleo de Choque Policial";"1"
"Núcleo de Disparo Carmesim";"1"
"Núcleo de Dispersão Rubro";"1"
"Núcleo de Dosagem Carmesim";"1"
"Núcleo de Ocultação Final";"1"
"Núcleo de Recuo Titânico";"1"
"Núcleo de Sombra Rubro";"1"
"Núcleo Necrótico Carmesim";"1"
"Painel Cerâmico Roxo";"1"
"Painel de Catraca Quebrado";"1"
"Pano Filtrante Sujo";"1"
"Par de Facas Trincadas";"1"
"Par de Lâminas do Colapso";"1"
"Passador de Cinto de Assento";"1"
"Pasta de Vedação Cinzenta";"1"
"Pente Balístico Roxo";"1"
"Pilha de Lanterna Pequena";"1"
"Pistão Industrial Pesado";"1"
"Placa de Resina Verde";"1"
"Placa de Sensor Roxa";"1"
"Placa de Walkie Quebrada";"1"
"Ponta Rubra do Colapso";"1"
"Pontas Titânicas Necróticas";"1"
"Prego Afiado de Cerca";"1"
"Presilha de Equipamento";"1"
"Presilha de Equipamento Selado";"1"
"Pulseira de Infiltração Helix";"1"
"Punho de Aço Clínico";"1"
"Punho de Madeira Lascada";"1"
"Rádio de Oficina Quebrado";"1"
"Rebite Selante Oxidado";"1"
"Rede de Fibra de Munição";"1"
"Respirador de Oficina Oxidado";"1"
"Retalho de Uniforme";"1"
"Revestimento de Polímero Articulado";"1"
"Revestimento de Polímero Craniano";"1"
"Revestimento de Polímero Translúcido (Patrulha T8 Pés)";"1"
"Revestimento Sintético Reforçado";"1"
"Rotor Titânico Clínico";"1"
"Selo de Isolamento Clínico";"1"
"Selo Químico de Vapor";"1"
"Sensor de Batimento Quebrado";"1"
"Sensor de Ferramenta Oxidado";"1"
"Sensor de Movimento Roxo";"1"
"Sensor de Respiração Quebrado";"1"
"Sensor de Vapor Cinzento";"1"
"Sensor de Vapores";"1"
"Sensor de Vapores Cinzento";"1"
"Suporte de Bancada Enferrujado";"1"
"Suporte de Caldeira Serrado";"1"
"Suporte Titânico do Marco";"1"
"Talas de Madeira Partida";"1"
"Tambor de Dardos Clínicos";"1"
"Tambor Oxidado de Revólver";"1"
"Tecido de Balaclava Rasgado";"1"
"Tela de Isolamento Clínico";"1"
"Temporizador de Painel";"1"
"Tira de Avental de Oficina";"1"
"Tira de Bagageiro Acolchoada";"1"
"Touca de Resgate Reforçada";"1"
"Trama de Fibra Craniana";"1"
"Trama de Fibra Reforçada";"1"
"Trama de Fibra Sombria";"1"
"Trilho de Barreira Verde";"1"
"Trilho de Leito Hospitalar";"1"
"Trilho Experimental Helix";"1"
"Trilho Necroindustrial";"1"
"Válvula de Quarentena Verde";"1"
"Válvula de Refinaria";"1"
"Válvula de Respirador Oxidada";"1"
"Válvula Sanitária Verde";"1"
"Válvula Temporizadora";"1"
"Vedação de Vapor Cinzenta";"1"
"Véu Sanitário Rasgado";"1"
