"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"caracteristicasDoItem";"materiaisGatheringAtuais";"qtdMateriaisGatheringAtuais";"problemasAtuais";"proposta3Materiais";"materiaisMantidos";"materiaisAdicionados"
"Grevas de Marcha do Marco Zero";"Lutador";"PANTS";"Grevas";"10";"LEGENDARY";"Marco Zero";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Célula Rubra de Impacto + Fibra Rubra Articulada (Coleta T10 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Célula Rubra de Impacto + Fibra Rubra Articulada (Coleta T10 Pernas) + Porta-cargas do Marco";"Célula Rubra de Impacto, Fibra Rubra Articulada (Coleta T10 Pernas)";"Porta-cargas do Marco"
"Botas de Obra Remendadas";"Lutador";"BOOTS";"Botas";"1";"COMMON";"Subúrbio Silencioso";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Couro de Bota Gasto + Biqueira de Lata Amassada + Sola de Tênis Gasto";"3";"ok";"Couro de Bota Gasto + Biqueira de Lata Amassada + Sola de Tênis Gasto";"Couro de Bota Gasto, Biqueira de Lata Amassada, Sola de Tênis Gasto";""
"Botas de Ferrugem Cravada";"Lutador";"BOOTS";"Botas";"2";"COMMON";"Distrito da Ferrugem";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Cadarço de Uniforme Gasto (Coleta T2 Pés) + Cravos de Ferro Oxidados";"2";"usa 2 material(is) de gathering; alvo: 3";"Cadarço de Uniforme Gasto (Coleta T2 Pés) + Cravos de Ferro Oxidados + Vedação de Graxa Seca";"Cadarço de Uniforme Gasto (Coleta T2 Pés), Cravos de Ferro Oxidados";"Vedação de Graxa Seca"
"Botas de Enfermaria Seladas";"Lutador";"BOOTS";"Botas";"3";"UNCOMMON";"Hospital Santa Ruína";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés) + Estribo de Leito Clínico";"2";"usa 2 material(is) de gathering; alvo: 3";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés) + Estribo de Leito Clínico + Película Antisséptica Rachada";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés), Estribo de Leito Clínico";"Película Antisséptica Rachada"
"Botas de Esteira Quebrada";"Lutador";"BOOTS";"Botas";"4";"UNCOMMON";"Terminal dos Esquecidos";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Tapete de Piso Emborrachado (Coleta T4 Pés) + Rolete de Esteira de Bagagem";"2";"usa 2 material(is) de gathering; alvo: 3";"Tapete de Piso Emborrachado (Coleta T4 Pés) + Rolete de Esteira de Bagagem + Manta Isolante de Cabine";"Tapete de Piso Emborrachado (Coleta T4 Pés), Rolete de Esteira de Bagagem";"Manta Isolante de Cabine"
"Botas de Quarentena Selada";"Lutador";"BOOTS";"Botas";"5";"RARE";"Zona de Quarentena 9";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Manguito Antimordida + Reforço de Barreira Selada";"2";"usa 2 material(is) de gathering; alvo: 3";"Manguito Antimordida + Reforço de Barreira Selada + Gel de Desinfecção Coagulado";"Manguito Antimordida, Reforço de Barreira Selada";"Gel de Desinfecção Coagulado"
"Botas de Cinza Industrial";"Lutador";"BOOTS";"Botas";"6";"RARE";"Refinaria do Pó Cinzento";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Sola de Borracha Vulcanizada (Coleta T6 Pés) + Placa de Piso de Refinaria";"2";"usa 2 material(is) de gathering; alvo: 3";"Sola de Borracha Vulcanizada (Coleta T6 Pés) + Placa de Piso de Refinaria + Sola de Borracha Vulcanizada (Patrulha T6 Pés)";"Sola de Borracha Vulcanizada (Coleta T6 Pés), Placa de Piso de Refinaria";"Sola de Borracha Vulcanizada (Patrulha T6 Pés)"
"Botas de Asfalto Mutagênico";"Lutador";"BOOTS";"Botas";"7";"EPIC";"Avenida dos Caídos";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Reforço de Polímero de Tornozelo (Coleta T7 Pés) + Pedal de Viatura Blindada";"2";"usa 2 material(is) de gathering; alvo: 3";"Reforço de Polímero de Tornozelo (Coleta T7 Pés) + Pedal de Viatura Blindada + Inserto Cerâmico Roxo";"Reforço de Polímero de Tornozelo (Coleta T7 Pés), Pedal de Viatura Blindada";"Inserto Cerâmico Roxo"
"Botas de Tração Helix";"Lutador";"BOOTS";"Botas";"8";"EPIC";"Complexo Helix";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Revestimento de Polímero Translúcido (Coleta T8 Pés) + Junta Mecânica Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Revestimento de Polímero Translúcido (Coleta T8 Pés) + Junta Mecânica Helix + Atuador de Tração Helix";"Revestimento de Polímero Translúcido (Coleta T8 Pés), Junta Mecânica Helix";"Atuador de Tração Helix"
"Botas de Pisada Titânica";"Lutador";"BOOTS";"Botas";"9";"LEGENDARY";"Necrópole Industrial";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Fibra de Compressão Pesada (Coleta T9 Pés) + Calcanhar Titânico Industrial";"2";"usa 2 material(is) de gathering; alvo: 3";"Fibra de Compressão Pesada (Coleta T9 Pés) + Calcanhar Titânico Industrial + Selo de Marcha Carmesim (Contenção T9 Pés)";"Fibra de Compressão Pesada (Coleta T9 Pés), Calcanhar Titânico Industrial";"Selo de Marcha Carmesim (Contenção T9 Pés)"
"Botas do Colapso Rubro";"Lutador";"BOOTS";"Botas";"10";"LEGENDARY";"Marco Zero";"bota, sola, biqueira, couro, cordao, calcanhar, tenis, cadaco";"Fibra Escarlate de Tração (Coleta T10 Pés) + Solado Titânico do Marco";"2";"usa 2 material(is) de gathering; alvo: 3";"Fibra Escarlate de Tração (Coleta T10 Pés) + Solado Titânico do Marco + Célula Rubra de Impacto";"Fibra Escarlate de Tração (Coleta T10 Pés), Solado Titânico do Marco";"Célula Rubra de Impacto"
"Elmo de Obra Rachado";"Lutador";"HEAD";"Elmo";"1";"COMMON";"Subúrbio Silencioso";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Casco de Capacete Quebrado + Espuma Filtrante Suja + Filtro Pálido Sujo";"3";"ok";"Casco de Capacete Quebrado + Espuma Filtrante Suja + Filtro Pálido Sujo";"Casco de Capacete Quebrado, Espuma Filtrante Suja, Filtro Pálido Sujo";""
"Elmo de Soldador Enferrujado";"Lutador";"HEAD";"Elmo";"2";"COMMON";"Distrito da Ferrugem";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Casco de Solda Enferrujado + Respirador de Oficina Oxidado";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco de Solda Enferrujado + Respirador de Oficina Oxidado + Tecido de Uniforme Oleoso";"Casco de Solda Enferrujado, Respirador de Oficina Oxidado";"Tecido de Uniforme Oleoso"
"Elmo de Visor Clínico";"Lutador";"HEAD";"Elmo";"3";"UNCOMMON";"Hospital Santa Ruína";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Arco de Protetor Facial + Vedação de Máscara Clínica";"2";"usa 2 material(is) de gathering; alvo: 3";"Arco de Protetor Facial + Vedação de Máscara Clínica + Tira de Máscara Clínica";"Arco de Protetor Facial, Vedação de Máscara Clínica";"Tira de Máscara Clínica"
"Elmo de Segurança do Terminal";"Lutador";"HEAD";"Elmo";"4";"UNCOMMON";"Terminal dos Esquecidos";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Casco de Segurança Amassado + Filtro de Cabine Queimado";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco de Segurança Amassado + Filtro de Cabine Queimado + Filtro de Cabine Amarelado";"Casco de Segurança Amassado, Filtro de Cabine Queimado";"Filtro de Cabine Amarelado"
"Elmo de Câmara Selada";"Lutador";"HEAD";"Elmo";"5";"RARE";"Zona de Quarentena 9";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Casco de Contenção Pesada + Válvula de Quarentena Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco de Contenção Pesada + Válvula de Quarentena Verde + Visor de Quarentena";"Casco de Contenção Pesada, Válvula de Quarentena Verde";"Visor de Quarentena"
"Elmo de Respirador Cinzento";"Lutador";"HEAD";"Elmo";"6";"RARE";"Refinaria do Pó Cinzento";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Máscara de Solda Pesada + Cartucho de Vapor Cinzento";"2";"usa 2 material(is) de gathering; alvo: 3";"Máscara de Solda Pesada + Cartucho de Vapor Cinzento + Filtro de Vapor Ressecado";"Máscara de Solda Pesada, Cartucho de Vapor Cinzento";"Filtro de Vapor Ressecado"
"Elmo de Motim Quebrado";"Lutador";"HEAD";"Elmo";"7";"EPIC";"Avenida dos Caídos";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Cinto Tático Rompido + Inserto Cerâmico Craniano";"2";"usa 2 material(is) de gathering; alvo: 3";"Cinto Tático Rompido + Inserto Cerâmico Craniano + Casco de Capacete de Motim";"Cinto Tático Rompido, Inserto Cerâmico Craniano";"Casco de Capacete de Motim"
"Elmo de Contenção Helix";"Lutador";"HEAD";"Elmo";"8";"EPIC";"Complexo Helix";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Cápsula Biofiltrante Helix + Módulo Cerâmico Helix (Contenção T8 Elmo)";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula Biofiltrante Helix + Módulo Cerâmico Helix (Contenção T8 Elmo) + Cúpula de Proteção Helix";"Cápsula Biofiltrante Helix, Módulo Cerâmico Helix (Contenção T8 Elmo)";"Cúpula de Proteção Helix"
"Elmo Titânico da Necrópole";"Lutador";"HEAD";"Elmo";"9";"LEGENDARY";"Necrópole Industrial";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Núcleo de Respiração Carmesim + Visor Carmesim Selado";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo de Respiração Carmesim + Visor Carmesim Selado + Casco Titânico Industrial";"Núcleo de Respiração Carmesim, Visor Carmesim Selado";"Casco Titânico Industrial"
"Elmo do Marco Zero";"Lutador";"HEAD";"Elmo";"10";"LEGENDARY";"Marco Zero";"capacete, casco, espuma, filtro, viseira, placa, mascara, visor";"Núcleo Rubro de Bloqueio + Núcleo Rubro de Respiração";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo Rubro de Bloqueio + Núcleo Rubro de Respiração + Visor Rubro de Bioleitura";"Núcleo Rubro de Bloqueio, Núcleo Rubro de Respiração";"Visor Rubro de Bioleitura"
"Maça de Ripa Cravada";"Lutador";"MAIN_HAND";"Maça";"1";"COMMON";"Subúrbio Silencioso";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Cabo de Madeira Cravado + Talas de Madeira Partida + Malha Rasgada";"3";"ok";"Cabo de Madeira Cravado + Talas de Madeira Partida + Malha Rasgada";"Cabo de Madeira Cravado, Talas de Madeira Partida, Malha Rasgada";""
"Machado de Lâmina Lascada";"Lutador";"MAIN_HAND";"Machado";"1";"COMMON";"Subúrbio Silencioso";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Lâmina de Ferramenta Velha + Cabo de Madeira Cravado + Pano de Empunhadura";"3";"ok";"Lâmina de Ferramenta Velha + Cabo de Madeira Cravado + Pano de Empunhadura";"Lâmina de Ferramenta Velha, Cabo de Madeira Cravado, Pano de Empunhadura";""
"Maça de Engrenagem Enferrujada";"Lutador";"MAIN_HAND";"Maça";"2";"COMMON";"Distrito da Ferrugem";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Engrenagem Enferrujada + Retalho de Uniforme";"2";"usa 2 material(is) de gathering; alvo: 3";"Engrenagem Enferrujada + Retalho de Uniforme + Cartucho Filtrante Oxidado (Contenção T2 Main Hand)";"Engrenagem Enferrujada, Retalho de Uniforme";"Cartucho Filtrante Oxidado (Contenção T2 Main Hand)"
"Machado de Chapa Rasgada";"Lutador";"MAIN_HAND";"Machado";"2";"COMMON";"Distrito da Ferrugem";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Chapa de Oficina Rasgada + Correia Gasta";"2";"usa 2 material(is) de gathering; alvo: 3";"Chapa de Oficina Rasgada + Correia Gasta + Lâmina de Serra Enferrujada";"Chapa de Oficina Rasgada, Correia Gasta";"Lâmina de Serra Enferrujada"
"Maça de Suporte de Soro";"Lutador";"MAIN_HAND";"Maça";"3";"UNCOMMON";"Hospital Santa Ruína";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Pé de Suporte Clínico + Faixa Hospitalar";"2";"usa 2 material(is) de gathering; alvo: 3";"Pé de Suporte Clínico + Faixa Hospitalar + Tira de Pulseira Hospitalar";"Pé de Suporte Clínico, Faixa Hospitalar";"Tira de Pulseira Hospitalar"
"Machado de Bandeja Cirúrgica";"Lutador";"MAIN_HAND";"Machado";"3";"UNCOMMON";"Hospital Santa Ruína";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Bandeja Cirúrgica Serrilhada + Forro de Maca Rasgado";"2";"usa 2 material(is) de gathering; alvo: 3";"Bandeja Cirúrgica Serrilhada + Forro de Maca Rasgado + Placa de Desfibrilador Rachada";"Bandeja Cirúrgica Serrilhada, Forro de Maca Rasgado";"Placa de Desfibrilador Rachada"
"Maça de Corrimão Rebitado";"Lutador";"MAIN_HAND";"Maça";"4";"UNCOMMON";"Terminal dos Esquecidos";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Corrimão Rebitado + Alça de Bagagem";"2";"usa 2 material(is) de gathering; alvo: 3";"Corrimão Rebitado + Alça de Bagagem + Placa de Sinalização Cortante";"Corrimão Rebitado, Alça de Bagagem";"Placa de Sinalização Cortante"
"Machado de Placa de Embarque";"Lutador";"MAIN_HAND";"Machado";"4";"UNCOMMON";"Terminal dos Esquecidos";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Placa de Embarque Afiada + Cinta de Assento";"2";"usa 2 material(is) de gathering; alvo: 3";"Placa de Embarque Afiada + Cinta de Assento + Placa de Embarque Recortada";"Placa de Embarque Afiada, Cinta de Assento";"Placa de Embarque Recortada"
"Maça de Grade de Quarentena";"Lutador";"MAIN_HAND";"Maça";"5";"RARE";"Zona de Quarentena 9";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Grade de Quarentena Retorcida + Forro de Colete Rasgado";"2";"usa 2 material(is) de gathering; alvo: 3";"Grade de Quarentena Retorcida + Forro de Colete Rasgado + Lâmina de Quarentena Selada";"Grade de Quarentena Retorcida, Forro de Colete Rasgado";"Lâmina de Quarentena Selada"
"Machado de Porta de Contenção";"Lutador";"MAIN_HAND";"Machado";"5";"RARE";"Zona de Quarentena 9";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Borda de Porta de Contenção + Presilha de Equipamento";"2";"usa 2 material(is) de gathering; alvo: 3";"Borda de Porta de Contenção + Presilha de Equipamento + Lâmina de Quarentena Selada";"Borda de Porta de Contenção, Presilha de Equipamento";"Lâmina de Quarentena Selada"
"Maça de Pistão de Refinaria";"Lutador";"MAIN_HAND";"Maça";"6";"RARE";"Refinaria do Pó Cinzento";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Pistão Industrial Pesado + Cinta de Borracha Grossa";"2";"usa 2 material(is) de gathering; alvo: 3";"Pistão Industrial Pesado + Cinta de Borracha Grossa + Câmara de Pressão Cinzenta";"Pistão Industrial Pesado, Cinta de Borracha Grossa";"Câmara de Pressão Cinzenta"
"Machado de Chapa de Caldeira";"Lutador";"MAIN_HAND";"Machado";"6";"RARE";"Refinaria do Pó Cinzento";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Chapa de Caldeira Serrada + Manta Industrial Queimada";"2";"usa 2 material(is) de gathering; alvo: 3";"Chapa de Caldeira Serrada + Manta Industrial Queimada + Lâmina de Corte Industrial";"Chapa de Caldeira Serrada, Manta Industrial Queimada";"Lâmina de Corte Industrial"
"Maça de Poste Retorcido";"Lutador";"MAIN_HAND";"Maça";"7";"EPIC";"Avenida dos Caídos";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Cápsula Cerâmica Roxa + Membrana de Polímero Rasgada";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula Cerâmica Roxa + Membrana de Polímero Rasgada + Placa Antimotim Recortada (Desmanche T7 Main Hand)";"Cápsula Cerâmica Roxa, Membrana de Polímero Rasgada";"Placa Antimotim Recortada (Desmanche T7 Main Hand)"
"Machado de Porta de Viatura";"Lutador";"MAIN_HAND";"Machado";"7";"EPIC";"Avenida dos Caídos";"lamina, cabo, pano, fita, serra, empunhadura, pesado, placa";"Selo Balístico Instável + Cinto Tático Rompido";"2";"usa 2 material(is) de gathering; alvo: 3";"Selo Balístico Instável + Cinto Tático Rompido + Lâmina de Porta de Viatura";"Selo Balístico Instável, Cinto Tático Rompido";"Lâmina de Porta de Viatura"
"Maça de Coluna Helix";"Lutador";"MAIN_HAND";"Maça";"8";"EPIC";"Complexo Helix";"ripa, madeira, cabo, tala, malha, tampa, prego, pesado";"Cápsula de Contenção Helix (Contenção T8 Main Hand) + Trama de Polímero Helix (Coleta T8 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula de Contenção Helix (Contenção T8 Main Hand) + Trama de Polímero Helix (Coleta T8 Main Hand) + Trama de Polímero Helix (Patrulha T8 Main Hand)";"Cápsula de Contenção Helix (Contenção T8 Main Hand), Trama de Polímero Helix (Coleta T8 Main Hand)";"Trama de Polímero Helix (Patrulha T8 Main Hand)"
