"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"materialPrincipal";"origemPrincipal";"qtdPrincipal";"materialSecundario";"origemSecundaria";"qtdSecundario";"materialTerciario";"origemTerciaria";"qtdTerciario";"biomaterial";"qtdBiomaterial";"residuo";"qtdResiduo";"motivo"
"Grevas de Tábua Remendada";"Lutador";"PANTS";"Grevas";"1";"COMMON";"Subúrbio Silencioso";"Apoio de Madeira Rachado";"DESMANCHE";"60";"Retalho de Jeans Grosso";"COLETA";"30";"Retalho de Calça Grossa";"COLETA";"30";"Biomaterial Articular Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Grevas, PANTS e Lutador."
"Grevas de Lataria Oxidada";"Lutador";"PANTS";"Grevas";"2";"COMMON";"Distrito da Ferrugem";"Casco de Solda Enferrujado";"DESMANCHE";"60";"Bainha de Uniforme Gasta (Coleta T2 Pernas)";"COLETA";"30";"Ponta de Chave de Fenda";"ARSENAL";"30";"Biomaterial Articular Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Grevas, PANTS e Lutador."
"Grevas de Tala Clínica";"Lutador";"PANTS";"Grevas";"3";"UNCOMMON";"Hospital Santa Ruína";"Arco de Protetor Facial";"DESMANCHE";"68";"Acolchoado de Maca (Coleta T3 Pernas)";"COLETA";"34";"Lâmina de Tesoura Clínica";"ARSENAL";"33";"Biomaterial Articular Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Grevas, PANTS e Lutador."
"Grevas de Escada Rolante";"Lutador";"PANTS";"Grevas";"4";"UNCOMMON";"Terminal dos Esquecidos";"Casco de Segurança Amassado";"DESMANCHE";"68";"Tapete de Embarque Desfiado (Coleta T4 Pernas)";"COLETA";"34";"Bolsa de Cartuchos de Sinalização";"ARSENAL";"33";"Biomaterial Articular Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Grevas, PANTS e Lutador."
"Grevas de Câmara Selada";"Lutador";"PANTS";"Grevas";"5";"RARE";"Zona de Quarentena 9";"Aro de Câmara de Desinfecção";"DESMANCHE";"75";"Acolchoado Antimordida (Coleta T5 Pernas)";"COLETA";"38";"Clip de Cápsulas Verdes";"ARSENAL";"37";"Biomaterial Articular Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Grevas, PANTS e Lutador."
"Grevas de Duto Cinzento";"Lutador";"PANTS";"Grevas";"6";"RARE";"Refinaria do Pó Cinzento";"Chapa de Caldeira Serrada";"DESMANCHE";"75";"Avental de Borracha Carbonizado (Coleta T6 Pernas)";"COLETA";"38";"Estojo de Munição Química";"ARSENAL";"37";"Biomaterial Articular Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Grevas, PANTS e Lutador."
"Grevas de Para-choque Tático";"Lutador";"PANTS";"Grevas";"7";"EPIC";"Avenida dos Caídos";"Joelheira Paramédica Rasgada";"COLETA";"83";"Joelheira Tática Rasgada (Coleta T7 Pernas)";"COLETA";"41";"Joelheira Tática Rasgada (Patrulha T7 Pernas)";"PATRULHA";"41";"Biomaterial Articular Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Grevas, PANTS e Lutador."
"Grevas de Articulação Helix";"Lutador";"PANTS";"Grevas";"8";"EPIC";"Complexo Helix";"Polímero Articulado Clínico";"COLETA";"83";"Revestimento de Polímero Articulado";"COLETA";"41";"Cartucho Modular Helix";"ARSENAL";"41";"Biomaterial Articular Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Grevas, PANTS e Lutador."
"Grevas Titânicas da Necrópole";"Lutador";"PANTS";"Grevas";"9";"LEGENDARY";"Necrópole Industrial";"Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"CONTENCAO";"90";"Trama de Fibra Pesada (Coleta T9 Pernas)";"COLETA";"45";"Cilindro de Munição Carmesim";"ARSENAL";"45";"Biomaterial Articular Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Grevas, PANTS e Lutador."
"Grevas de Marcha do Marco Zero";"Lutador";"PANTS";"Grevas";"10";"LEGENDARY";"Marco Zero";"Célula Rubra de Impacto";"CONTENCAO";"90";"Fibra Rubra Articulada (Coleta T10 Pernas)";"COLETA";"45";"Porta-cargas do Marco";"ARSENAL";"45";"Biomaterial Articular Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Grevas, PANTS e Lutador."
"Botas de Obra Remendadas";"Lutador";"BOOTS";"Botas";"1";"COMMON";"Subúrbio Silencioso";"Couro de Bota Gasto";"COLETA";"60";"Biqueira de Lata Amassada";"DESMANCHE";"30";"Sola de Tênis Gasto";"PATRULHA";"30";"Biomaterial de Mobilidade Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Botas, BOOTS e Lutador."
"Botas de Ferrugem Cravada";"Lutador";"BOOTS";"Botas";"2";"COMMON";"Distrito da Ferrugem";"Cadarço de Uniforme Gasto (Coleta T2 Pés)";"COLETA";"60";"Cravos de Ferro Oxidados";"DESMANCHE";"30";"Vedação de Graxa Seca";"CONTENCAO";"30";"Biomaterial de Mobilidade Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Botas, BOOTS e Lutador."
"Botas de Enfermaria Seladas";"Lutador";"BOOTS";"Botas";"3";"UNCOMMON";"Hospital Santa Ruína";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés)";"COLETA";"68";"Estribo de Leito Clínico";"DESMANCHE";"34";"Película Antisséptica Rachada";"CONTENCAO";"33";"Biomaterial de Mobilidade Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Botas, BOOTS e Lutador."
"Botas de Esteira Quebrada";"Lutador";"BOOTS";"Botas";"4";"UNCOMMON";"Terminal dos Esquecidos";"Tapete de Piso Emborrachado (Coleta T4 Pés)";"COLETA";"68";"Rolete de Esteira de Bagagem";"DESMANCHE";"34";"Manta Isolante de Cabine";"CONTENCAO";"33";"Biomaterial de Mobilidade Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Botas, BOOTS e Lutador."
"Botas de Quarentena Selada";"Lutador";"BOOTS";"Botas";"5";"RARE";"Zona de Quarentena 9";"Manguito Antimordida";"COLETA";"75";"Reforço de Barreira Selada";"DESMANCHE";"38";"Gel de Desinfecção Coagulado";"CONTENCAO";"37";"Biomaterial de Mobilidade Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Botas, BOOTS e Lutador."
"Botas de Cinza Industrial";"Lutador";"BOOTS";"Botas";"6";"RARE";"Refinaria do Pó Cinzento";"Sola de Borracha Vulcanizada (Coleta T6 Pés)";"COLETA";"75";"Placa de Piso de Refinaria";"DESMANCHE";"38";"Sola de Borracha Vulcanizada (Patrulha T6 Pés)";"PATRULHA";"37";"Biomaterial de Mobilidade Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Botas, BOOTS e Lutador."
"Botas de Asfalto Mutagênico";"Lutador";"BOOTS";"Botas";"7";"EPIC";"Avenida dos Caídos";"Reforço de Polímero de Tornozelo (Coleta T7 Pés)";"COLETA";"83";"Pedal de Viatura Blindada";"DESMANCHE";"41";"Inserto Cerâmico Roxo";"CONTENCAO";"41";"Biomaterial de Mobilidade Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Botas, BOOTS e Lutador."
"Botas de Tração Helix";"Lutador";"BOOTS";"Botas";"8";"EPIC";"Complexo Helix";"Revestimento de Polímero Translúcido (Coleta T8 Pés)";"COLETA";"83";"Junta Mecânica Helix";"DESMANCHE";"41";"Atuador de Tração Helix";"TECNOVARREDURA";"41";"Biomaterial de Mobilidade Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Botas, BOOTS e Lutador."
"Botas de Pisada Titânica";"Lutador";"BOOTS";"Botas";"9";"LEGENDARY";"Necrópole Industrial";"Fibra de Compressão Pesada (Coleta T9 Pés)";"COLETA";"90";"Calcanhar Titânico Industrial";"DESMANCHE";"45";"Selo de Marcha Carmesim (Contenção T9 Pés)";"CONTENCAO";"45";"Biomaterial de Mobilidade Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Botas, BOOTS e Lutador."
"Botas do Colapso Rubro";"Lutador";"BOOTS";"Botas";"10";"LEGENDARY";"Marco Zero";"Fibra Escarlate de Tração (Coleta T10 Pés)";"COLETA";"90";"Solado Titânico do Marco";"DESMANCHE";"45";"Célula Rubra de Impacto";"CONTENCAO";"45";"Biomaterial de Mobilidade Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Botas, BOOTS e Lutador."
"Elmo de Obra Rachado";"Lutador";"HEAD";"Elmo";"1";"COMMON";"Subúrbio Silencioso";"Casco de Capacete Quebrado";"DESMANCHE";"60";"Espuma Filtrante Suja";"CONTENCAO";"30";"Filtro Pálido Sujo";"CONTENCAO";"30";"Biomaterial Craniano Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Elmo, HEAD e Lutador."
"Elmo de Soldador Enferrujado";"Lutador";"HEAD";"Elmo";"2";"COMMON";"Distrito da Ferrugem";"Casco de Solda Enferrujado";"DESMANCHE";"60";"Respirador de Oficina Oxidado";"CONTENCAO";"30";"Tecido de Uniforme Oleoso";"PATRULHA";"30";"Biomaterial Craniano Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Elmo, HEAD e Lutador."
"Elmo de Visor Clínico";"Lutador";"HEAD";"Elmo";"3";"UNCOMMON";"Hospital Santa Ruína";"Arco de Protetor Facial";"DESMANCHE";"68";"Vedação de Máscara Clínica";"CONTENCAO";"34";"Tira de Máscara Clínica";"PATRULHA";"33";"Biomaterial Craniano Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Elmo, HEAD e Lutador."
"Elmo de Segurança do Terminal";"Lutador";"HEAD";"Elmo";"4";"UNCOMMON";"Terminal dos Esquecidos";"Casco de Segurança Amassado";"DESMANCHE";"68";"Filtro de Cabine Queimado";"CONTENCAO";"34";"Filtro de Cabine Amarelado";"CONTENCAO";"33";"Biomaterial Craniano Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Elmo, HEAD e Lutador."
"Elmo de Câmara Selada";"Lutador";"HEAD";"Elmo";"5";"RARE";"Zona de Quarentena 9";"Casco de Contenção Pesada";"DESMANCHE";"75";"Válvula de Quarentena Verde";"CONTENCAO";"38";"Visor de Quarentena";"TECNOVARREDURA";"37";"Biomaterial Craniano Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Elmo, HEAD e Lutador."
"Elmo de Respirador Cinzento";"Lutador";"HEAD";"Elmo";"6";"RARE";"Refinaria do Pó Cinzento";"Máscara de Solda Pesada";"DESMANCHE";"75";"Cartucho de Vapor Cinzento";"CONTENCAO";"38";"Filtro de Vapor Ressecado";"CONTENCAO";"37";"Biomaterial Craniano Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Elmo, HEAD e Lutador."
"Elmo de Motim Quebrado";"Lutador";"HEAD";"Elmo";"7";"EPIC";"Avenida dos Caídos";"Cinto Tático Rompido";"COLETA";"83";"Inserto Cerâmico Craniano";"CONTENCAO";"41";"Casco de Capacete de Motim";"DESMANCHE";"41";"Biomaterial Craniano Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Elmo, HEAD e Lutador."
"Elmo de Contenção Helix";"Lutador";"HEAD";"Elmo";"8";"EPIC";"Complexo Helix";"Cápsula Biofiltrante Helix";"CONTENCAO";"83";"Módulo Cerâmico Helix (Contenção T8 Elmo)";"CONTENCAO";"41";"Cúpula de Proteção Helix";"DESMANCHE";"41";"Biomaterial Craniano Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Elmo, HEAD e Lutador."
"Elmo Titânico da Necrópole";"Lutador";"HEAD";"Elmo";"9";"LEGENDARY";"Necrópole Industrial";"Núcleo de Respiração Carmesim";"CONTENCAO";"90";"Visor Carmesim Selado";"CONTENCAO";"45";"Casco Titânico Industrial";"DESMANCHE";"45";"Biomaterial Craniano Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Elmo, HEAD e Lutador."
"Elmo do Marco Zero";"Lutador";"HEAD";"Elmo";"10";"LEGENDARY";"Marco Zero";"Núcleo Rubro de Bloqueio";"CONTENCAO";"90";"Núcleo Rubro de Respiração";"CONTENCAO";"45";"Visor Rubro de Bioleitura";"TECNOVARREDURA";"45";"Biomaterial Craniano Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Elmo, HEAD e Lutador."
"Maça de Ripa Cravada";"Lutador";"MAIN_HAND";"Maça";"1";"COMMON";"Subúrbio Silencioso";"Cabo de Madeira Cravado";"DESMANCHE";"60";"Talas de Madeira Partida";"DESMANCHE";"30";"Malha Rasgada";"COLETA";"30";"Biomaterial Cortante Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Maça, MAIN_HAND e Lutador."
"Machado de Lâmina Lascada";"Lutador";"MAIN_HAND";"Machado";"1";"COMMON";"Subúrbio Silencioso";"Lâmina de Ferramenta Velha";"DESMANCHE";"60";"Cabo de Madeira Cravado";"DESMANCHE";"30";"Pano de Empunhadura";"COLETA";"30";"Biomaterial Cortante Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Machado, MAIN_HAND e Lutador."
"Maça de Engrenagem Enferrujada";"Lutador";"MAIN_HAND";"Maça";"2";"COMMON";"Distrito da Ferrugem";"Engrenagem Enferrujada";"DESMANCHE";"60";"Retalho de Uniforme";"COLETA";"30";"Cartucho Filtrante Oxidado (Contenção T2 Main Hand)";"CONTENCAO";"30";"Biomaterial Cortante Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Maça, MAIN_HAND e Lutador."
"Machado de Chapa Rasgada";"Lutador";"MAIN_HAND";"Machado";"2";"COMMON";"Distrito da Ferrugem";"Chapa de Oficina Rasgada";"DESMANCHE";"60";"Correia Gasta";"COLETA";"30";"Lâmina de Serra Enferrujada";"ARSENAL";"30";"Biomaterial Cortante Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Machado, MAIN_HAND e Lutador."
"Maça de Suporte de Soro";"Lutador";"MAIN_HAND";"Maça";"3";"UNCOMMON";"Hospital Santa Ruína";"Pé de Suporte Clínico";"DESMANCHE";"68";"Faixa Hospitalar";"COLETA";"34";"Tira de Pulseira Hospitalar";"PATRULHA";"33";"Biomaterial Cortante Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Maça, MAIN_HAND e Lutador."
"Machado de Bandeja Cirúrgica";"Lutador";"MAIN_HAND";"Machado";"3";"UNCOMMON";"Hospital Santa Ruína";"Bandeja Cirúrgica Serrilhada";"DESMANCHE";"68";"Forro de Maca Rasgado";"COLETA";"34";"Placa de Desfibrilador Rachada";"TECNOVARREDURA";"33";"Biomaterial Cortante Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Machado, MAIN_HAND e Lutador."
"Maça de Corrimão Rebitado";"Lutador";"MAIN_HAND";"Maça";"4";"UNCOMMON";"Terminal dos Esquecidos";"Corrimão Rebitado";"DESMANCHE";"68";"Alça de Bagagem";"COLETA";"34";"Placa de Sinalização Cortante";"ARSENAL";"33";"Biomaterial Cortante Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Maça, MAIN_HAND e Lutador."
"Machado de Placa de Embarque";"Lutador";"MAIN_HAND";"Machado";"4";"UNCOMMON";"Terminal dos Esquecidos";"Placa de Embarque Afiada";"DESMANCHE";"68";"Cinta de Assento";"COLETA";"34";"Placa de Embarque Recortada";"DESMANCHE";"33";"Biomaterial Cortante Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Machado, MAIN_HAND e Lutador."
"Maça de Grade de Quarentena";"Lutador";"MAIN_HAND";"Maça";"5";"RARE";"Zona de Quarentena 9";"Grade de Quarentena Retorcida";"DESMANCHE";"75";"Forro de Colete Rasgado";"COLETA";"38";"Lâmina de Quarentena Selada";"ARSENAL";"37";"Biomaterial Cortante Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Maça, MAIN_HAND e Lutador."
"Machado de Porta de Contenção";"Lutador";"MAIN_HAND";"Machado";"5";"RARE";"Zona de Quarentena 9";"Borda de Porta de Contenção";"DESMANCHE";"75";"Presilha de Equipamento";"COLETA";"38";"Lâmina de Quarentena Selada";"ARSENAL";"37";"Biomaterial Cortante Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Machado, MAIN_HAND e Lutador."
"Maça de Pistão de Refinaria";"Lutador";"MAIN_HAND";"Maça";"6";"RARE";"Refinaria do Pó Cinzento";"Pistão Industrial Pesado";"DESMANCHE";"75";"Cinta de Borracha Grossa";"COLETA";"38";"Câmara de Pressão Cinzenta";"ARSENAL";"37";"Biomaterial Cortante Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Maça, MAIN_HAND e Lutador."
"Machado de Chapa de Caldeira";"Lutador";"MAIN_HAND";"Machado";"6";"RARE";"Refinaria do Pó Cinzento";"Chapa de Caldeira Serrada";"DESMANCHE";"75";"Manta Industrial Queimada";"COLETA";"38";"Lâmina de Corte Industrial";"ARSENAL";"37";"Biomaterial Cortante Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Machado, MAIN_HAND e Lutador."
"Maça de Poste Retorcido";"Lutador";"MAIN_HAND";"Maça";"7";"EPIC";"Avenida dos Caídos";"Cápsula Cerâmica Roxa";"CONTENCAO";"83";"Membrana de Polímero Rasgada";"COLETA";"41";"Placa Antimotim Recortada (Desmanche T7 Main Hand)";"DESMANCHE";"41";"Biomaterial Cortante Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Maça, MAIN_HAND e Lutador."
"Machado de Porta de Viatura";"Lutador";"MAIN_HAND";"Machado";"7";"EPIC";"Avenida dos Caídos";"Selo Balístico Instável";"CONTENCAO";"83";"Cinto Tático Rompido";"COLETA";"41";"Lâmina de Porta de Viatura";"ARSENAL";"41";"Biomaterial Cortante Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Machado, MAIN_HAND e Lutador."
"Maça de Coluna Helix";"Lutador";"MAIN_HAND";"Maça";"8";"EPIC";"Complexo Helix";"Cápsula de Contenção Helix (Contenção T8 Main Hand)";"CONTENCAO";"83";"Trama de Polímero Helix (Coleta T8 Main Hand)";"COLETA";"41";"Trama de Polímero Helix (Patrulha T8 Main Hand)";"PATRULHA";"41";"Biomaterial Cortante Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Maça, MAIN_HAND e Lutador."
