tier,level,mapName,className,hp,defense,agility,potionHealAmount,encounterCount,totalEncounterWeight,weightedMobLevel,averageDamagePerBattle,damagePer1000Battles,noPotionBattles,potions10Battles,potions25Battles,potions50Battles,potions100Battles,noPotionVsBestPercent,potions100VsBestPercent,strongestMobNoPotionBattles,strongestMob25PotionsBattles,strongestMob100PotionsBattles,worstSequence25PotionsBattles,worstSequence100PotionsBattles,riskWith100Potions
5,50,"Zona de Quarentena 9","Atirador",832,24,179,234,6,139.67,44.2,27.06,27060,30,117,246,463,895,31.3,59.2,12,100,362,120,437,"HIGH"
5,50,"Zona de Quarentena 9","Medico",2528,452,8,483,6,139.67,44.2,34.62,34620,73,212,421,770,1468,76,97.2,22,130,454,167,582,"HIGH"
6,60,"Refinaria do Pó Cinzento","Lutador",3125,498,14,441,6,139.67,54.2,53.01,53010,58,142,266,474,890,100,100,18,84,283,108,361,"HIGH"
6,60,"Refinaria do Pó Cinzento","Assassino",1020,36,223,251,6,139.67,54.2,40.82,40820,24,86,178,332,639,41.4,71.8,10,74,265,89,318,"HIGH"
6,60,"Refinaria do Pó Cinzento","Atirador",1042,40,207,253,6,139.67,54.2,39.86,39860,26,89,184,343,660,44.8,74.2,10,75,271,91,327,"HIGH"
6,60,"Refinaria do Pó Cinzento","Medico",2840,498,8,518,6,139.67,54.2,62.27,62270,45,128,253,461,877,77.6,98.5,14,81,280,103,356,"HIGH"
7,70,"Avenida dos Caídos","Lutador",3473,544,16,740,6,139.67,64.2,93.46,93460,37,116,235,433,828,100,100,12,78,275,98,347,"HIGH"
7,70,"Avenida dos Caídos","Assassino",1206,52,255,400,6,139.67,64.2,59.85,59850,20,86,187,354,688,54.1,83.1,8,78,287,93,344,"HIGH"
7,70,"Avenida dos Caídos","Atirador",1234,58,233,405,6,139.67,64.2,58.26,58260,21,90,194,368,716,56.8,86.5,8,80,295,96,355,"HIGH"
7,70,"Avenida dos Caídos","Medico",3128,540,10,861,6,139.67,64.2,110.49,110490,28,106,223,417,807,75.7,97.5,9,75,272,94,343,"HIGH"
8,80,"Complexo Helix","Lutador",3833,592,16,794,6,139.67,74.2,160.59,160590,23,73,147,271,518,100,100,8,51,180,64,225,"HIGH"
8,80,"Complexo Helix","Assassino",1410,68,285,431,6,139.67,74.2,88.58,88580,15,64,137,259,502,65.2,96.9,6,58,213,69,255,"HIGH"
8,80,"Complexo Helix","Atirador",1432,74,261,434,6,139.67,74.2,87.1,87100,16,66,141,265,514,69.6,99.2,6,59,217,71,260,"HIGH"
8,80,"Complexo Helix","Medico",3434,584,10,918,6,139.67,74.2,188.45,188450,18,66,140,261,505,78.3,97.5,6,49,179,61,223,"HIGH"
9,90,"Necrópole Industrial","Lutador",4157,632,18,1247,6,139.67,84.2,267.62,267620,15,62,132,248,481,100,100,5,48,175,59,217,"HIGH"
9,90,"Necrópole Industrial","Assassino",1602,84,315,480,6,139.67,84.2,130.67,130670,12,48,104,195,379,80,78.8,5,45,164,54,196,"HIGH"
9,90,"Necrópole Industrial","Atirador",1618,88,289,485,6,139.67,84.2,129.67,129670,12,49,105,199,386,80,80.2,5,45,167,54,199,"HIGH"
9,90,"Necrópole Industrial","Medico",3740,630,12,1402,6,139.67,84.2,309.94,309940,12,57,125,238,464,80,96.5,4,46,171,57,212,"HIGH"
10,100,"Marco Zero","Lutador",4523,680,20,1356,6,139.67,94.2,445.38,445380,10,40,86,162,314,100,100,3,32,118,40,145,"HIGH"
10,100,"Marco Zero","Assassino",1794,98,347,538,6,139.67,94.2,196.81,196810,9,36,77,145,282,90,89.8,4,34,124,40,148,"HIGH"
10,100,"Marco Zero","Atirador",1834,108,315,550,6,139.67,94.2,193.81,193810,9,37,80,151,293,90,93.3,4,35,128,41,152,"HIGH"
10,100,"Marco Zero","Medico",4028,672,12,1510,6,139.67,94.2,515.3,515300,7,37,81,154,300,70,95.5,2,31,115,38,141,"HIGH"
