"tier";"rank";"posicao";"monstro";"mapa";"submapa";"pesoEncontro";"frequenciaEncontroPercentual";"unidadesEsperadasPorAbate";"goldEsperadoPorAbate";"abatesPorHoraExclusivoMedio";"abatesPorHoraExclusivoMinimo";"abatesPorHoraExclusivoMaximo";"goldPorHoraExclusivoMedio";"goldPorHoraExclusivoMinimo";"goldPorHoraExclusivoMaximo";"goldPorHoraPonderado";"participacaoNoGoldPercentual";"razaoGoldPorAbateVsTier"
"2";"5";"END";"Vigia do Galpão Infectado";"Distrito da Ferrugem";"Galpão do Capataz";"6";"6";"6.18";"15.48";"60.77";"60";"62.07";"940.76";"928.8";"960.84";"85.35";"9.4";"1.57"
"2";"6";"END";"Capataz Ferrugento";"Distrito da Ferrugem";"Galpão do Capataz";"4";"4";"7.3";"18.84";"64.89";"64.29";"66.67";"1222.43";"1211.22";"1256.06";"69.25";"7.62";"1.91"
"3";"1";"START";"Paciente Febril Errante";"Hospital Santa Ruína";"Triagem Vazia";"42";"42";"1.375";"17.275";"96.02";"94.74";"97.3";"1658.75";"1636.63";"1680.86";"449.97";"39.22";"0.93"
"3";"2";"START";"Mosca de Ferida Contaminada";"Hospital Santa Ruína";"Triagem Vazia";"24";"24";"1.375";"17.275";"48.18";"47.37";"49.32";"832.27";"818.32";"852";"257.13";"22.41";"0.93"
"3";"3";"MID";"Enfermeira de Isolamento Infectada";"Hospital Santa Ruína";"Ala de Isolamento";"15";"15";"1.725";"22.875";"48.18";"47.37";"49.32";"1102.06";"1083.59";"1128.2";"212.8";"18.55";"1.24"
"3";"4";"MID";"Centopeia de Tubulação Contaminada";"Hospital Santa Ruína";"Ala de Isolamento";"9";"9";"1.375";"17.275";"51.44";"50.7";"52.17";"888.54";"875.84";"901.24";"96.42";"8.4";"0.93"
"3";"5";"END";"Instrumentador Cirúrgico Infectado";"Hospital Santa Ruína";"Centro Cirúrgico";"6";"6";"1.375";"17.275";"51.44";"50.7";"52.17";"888.54";"875.84";"901.24";"64.28";"5.6";"0.93"
"3";"6";"END";"Cirurgião-Chefe Necrosado";"Hospital Santa Ruína";"Centro Cirúrgico";"4";"4";"1.975";"26.875";"54.15";"52.94";"55.38";"1455.28";"1422.76";"1488.34";"66.67";"5.81";"1.45"
"4";"1";"START";"Amontoado de Bagagens Vivas";"Terminal dos Esquecidos";"Saguão de Embarque";"42";"42";"2.75";"34.55";"40.81";"39.56";"41.86";"1410.07";"1366.8";"1446.26";"615.89";"34.15";"0.81"
"4";"2";"START";"Enxame de Carrapatos Hemáticos";"Terminal dos Esquecidos";"Saguão de Embarque";"24";"24";"2.75";"34.55";"42.88";"41.38";"43.9";"1481.42";"1429.68";"1516.75";"351.94";"19.51";"0.81"
"4";"3";"MID";"Sinaleiro Sem Rosto";"Terminal dos Esquecidos";"Plataformas Mortas";"15";"15";"4.32";"57.36";"42.88";"41.38";"43.9";"2459.45";"2373.56";"2518.1";"365.18";"20.25";"1.35"
"4";"4";"MID";"Casulo de Traças de Plataforma";"Terminal dos Esquecidos";"Plataformas Mortas";"9";"9";"3.44";"43.28";"45.16";"43.9";"46.15";"1954.31";"1899.99";"1997.37";"165.32";"9.17";"1.02"
"4";"5";"END";"Cobrador Fundido";"Terminal dos Esquecidos";"Cabine Final";"6";"6";"4.695";"59.055";"45.16";"43.9";"46.15";"2666.63";"2592.51";"2725.39";"150.39";"8.34";"1.39"
"4";"6";"END";"Regente da Cabine Lacrada";"Terminal dos Esquecidos";"Cabine Final";"4";"4";"6.705";"91.215";"46.92";"45.57";"48";"4280.04";"4156.67";"4378.32";"154.86";"8.59";"2.15"
"5";"1";"START";"Isolado da Tenda Rasgada";"Zona de Quarentena 9";"Triagem Externa";"42";"42";"1.805";"82.6";"37.71";"36.36";"38.3";"3115.05";"3003.34";"3163.58";"1345.28";"37.98";"0.9"
"5";"2";"START";"Larva de Descarte Biológico";"Zona de Quarentena 9";"Triagem Externa";"24";"24";"2.255";"109.15";"38.94";"37.5";"39.56";"4250.03";"4093.12";"4317.97";"1015.83";"28.68";"1.19"
"5";"3";"MID";"Arameiro de Contenção";"Zona de Quarentena 9";"Cercas Internas";"15";"15";"1.805";"82.6";"38.94";"37.5";"39.56";"3216.24";"3097.5";"3267.66";"480.46";"13.56";"0.9"
"5";"4";"MID";"Lesma de Canaleta Química";"Zona de Quarentena 9";"Cercas Internas";"9";"9";"1.805";"82.6";"40.7";"39.13";"41.38";"3361.82";"3232.14";"3417.99";"288.27";"8.14";"0.9"
"5";"5";"END";"Operador de Rádio Infectado";"Zona de Quarentena 9";"Posto de Comando";"6";"6";"2.255";"109.15";"40.7";"39.13";"41.38";"4442.41";"4271.04";"4516.63";"253.96";"7.17";"1.19"
"5";"6";"END";"Coronel Lacrado da Zona 9";"Zona de Quarentena 9";"Posto de Comando";"4";"4";"2.135";"102.07";"42.13";"40.45";"42.86";"4300.21";"4128.73";"4374.72";"158.32";"4.47";"1.12"
