"tierFarm";"item";"tierItem";"raridade";"valorVendaUnitario";"frequenciaPonderadaPercentual";"unidadesEsperadasPorAbate";"quantidadeMediaQuandoDropa";"quantidadeMaximaQuandoDropa";"valorMedioQuandoDropa";"valorMaximoQuandoDropa";"goldEsperadoPorAbate";"unidadesEsperadasPorHora";"goldEsperadoPorHora";"participacaoNoGoldPercentual";"fontes"
"4";"Biomaterial Cortante Incomum";"3";"UNCOMMON";"16";"16.36";"0.3588";"2.1932";"3";"35.09";"48";"5.7408";"15.23";"243.66";"13.51";"Sinaleiro Sem Rosto | Regente da Cabine Lacrada"
"4";"Biomaterial Articular Incomum";"3";"UNCOMMON";"16";"10.8";"0.24";"2.2222";"3";"35.56";"48";"3.84";"10.19";"162.98";"9.04";"Enxame de Carrapatos Hemáticos | Cobrador Fundido"
"4";"Biomaterial Torácico Incomum";"3";"UNCOMMON";"16";"10.8";"0.24";"2.2222";"3";"35.56";"48";"3.84";"10.19";"162.98";"9.04";"Enxame de Carrapatos Hemáticos | Cobrador Fundido"
"4";"Biomaterial Craniano Incomum";"3";"UNCOMMON";"16";"8.2";"0.18";"2.1951";"3";"35.12";"48";"2.88";"7.64";"122.24";"6.78";"Sinaleiro Sem Rosto | Regente da Cabine Lacrada"
"4";"Núcleo Infectado de Elite Incomum";"3";"UNCOMMON";"16";"1.12";"0.0336";"3";"3";"48";"48";"0.5376";"1.43";"22.82";"1.27";"Regente da Cabine Lacrada"
"5";"Resíduo Infecto Tóxico";"5";"RARE";"32";"59";"0.885";"1.5";"2";"48";"64";"28.32";"34.32";"1098.19";"31";"Isolado da Tenda Rasgada | Larva de Descarte Biológico | Arameiro de Contenção | Lesma de Canaleta Química | Operador de Rádio Infectado | Coronel Lacrado da Zona 9"
"5";"Biomaterial Cortante Raro";"5";"RARE";"59";"27.3";"0.273";"1";"1";"59";"59";"16.107";"10.59";"624.6";"17.63";"Larva de Descarte Biológico | Operador de Rádio Infectado"
"5";"Biomaterial Reativo Raro";"5";"RARE";"59";"23.46";"0.2346";"1";"1";"59";"59";"13.8414";"9.1";"536.74";"15.15";"Isolado da Tenda Rasgada | Lesma de Canaleta Química"
"5";"Biomaterial Torácico Raro";"5";"RARE";"59";"23.46";"0.2346";"1";"1";"59";"59";"13.8414";"9.1";"536.74";"15.15";"Isolado da Tenda Rasgada | Lesma de Canaleta Química"
"5";"Biomaterial Articular Raro";"5";"RARE";"59";"13.8";"0.138";"1";"1";"59";"59";"8.142";"5.35";"315.73";"8.91";"Larva de Descarte Biológico | Operador de Rádio Infectado"
"5";"Biomaterial Craniano Raro";"5";"RARE";"59";"8.74";"0.0874";"1";"1";"59";"59";"5.1566";"3.39";"199.96";"5.65";"Arameiro de Contenção | Coronel Lacrado da Zona 9"
"5";"Biomaterial de Mobilidade Raro";"5";"RARE";"59";"8.74";"0.0874";"1";"1";"59";"59";"5.1566";"3.39";"199.96";"5.65";"Arameiro de Contenção | Coronel Lacrado da Zona 9"
"5";"Núcleo Infectado de Elite Raro";"5";"RARE";"59";"1.32";"0.0132";"1";"1";"59";"59";"0.7788";"0.51";"30.2";"0.85";"Coronel Lacrado da Zona 9"
