tier,level,mapName,className,hp,defense,agility,potionHealAmount,encounterCount,totalEncounterWeight,weightedMobLevel,averageDamagePerBattle,damagePer1000Battles,noPotionBattles,potions10Battles,potions25Battles,potions50Battles,potions100Battles,noPotionVsBestPercent,potions100VsBestPercent,strongestMobNoPotionBattles,strongestMob25PotionsBattles,strongestMob100PotionsBattles,worstSequence25PotionsBattles,worstSequence100PotionsBattles,riskWith100Potions
4,40,"Terminal dos Esquecidos","Assassino",672,18,157,201,6,139.67,34.2,35.32,35320,19,75,161,303,588,12.5,11.1,7,67,246,80,295,"HIGH"
4,40,"Terminal dos Esquecidos","Atirador",694,20,145,208,6,139.67,34.2,34.59,34590,20,80,170,320,621,13.2,11.7,8,70,257,84,308,"HIGH"
4,40,"Terminal dos Esquecidos","Medico",2054,362,8,924,6,139.67,34.2,17.76,17760,115,635,1416,2717,5318,75.7,100,34,424,1594,554,2082,"HIGH"
5,50,"Zona de Quarentena 9","Lutador",2801,458,10,840,6,139.67,44.2,29.12,29120,96,384,817,1538,2980,100,88.8,29,251,918,324,1184,"HIGH"
5,50,"Zona de Quarentena 9","Assassino",804,20,193,241,6,139.67,44.2,60.72,60720,13,52,112,211,410,13.5,12.2,5,49,179,58,214,"HIGH"
5,50,"Zona de Quarentena 9","Atirador",832,24,179,249,6,139.67,44.2,59.48,59480,13,55,118,223,432,13.5,12.9,6,51,187,61,224,"HIGH"
5,50,"Zona de Quarentena 9","Medico",2528,452,8,1137,6,139.67,44.2,34.62,34620,73,401,894,1715,3357,76,100,22,276,1039,354,1331,"HIGH"
6,60,"Refinaria do Pó Cinzento","Lutador",3125,498,14,937,6,139.67,54.2,53.01,53010,58,235,500,942,1826,100,87.1,18,159,580,203,740,"HIGH"
6,60,"Refinaria do Pó Cinzento","Assassino",948,24,223,284,6,139.67,54.2,92.12,92120,10,41,87,164,318,17.2,15.2,4,39,142,46,169,"HIGH"
6,60,"Refinaria do Pó Cinzento","Atirador",970,28,207,291,6,139.67,54.2,90.59,90590,10,42,91,171,331,17.2,15.8,4,40,147,48,175,"HIGH"
6,60,"Refinaria do Pó Cinzento","Medico",2840,498,8,1278,6,139.67,54.2,62.27,62270,45,250,558,1071,2097,77.6,100,14,178,670,227,853,"HIGH"
7,70,"Avenida dos Caídos","Lutador",3473,544,16,1041,6,139.67,64.2,93.46,93460,37,148,315,594,1151,100,88.5,12,104,381,132,482,"HIGH"
7,70,"Avenida dos Caídos","Assassino",1086,28,255,325,6,139.67,64.2,137.54,137540,7,31,66,126,244,18.9,18.8,3,30,110,36,131,"HIGH"
7,70,"Avenida dos Caídos","Atirador",1114,34,233,334,6,139.67,64.2,135.09,135090,8,32,70,131,255,21.6,19.6,3,31,114,37,136,"HIGH"
7,70,"Avenida dos Caídos","Medico",3128,540,10,1407,6,139.67,64.2,110.49,110490,28,155,346,665,1301,75.7,100,9,116,439,147,553,"HIGH"
8,80,"Complexo Helix","Lutador",3833,592,16,1149,6,139.67,74.2,160.59,160590,23,95,202,381,739,100,88.2,8,70,257,88,322,"HIGH"
8,80,"Complexo Helix","Assassino",1230,32,285,369,6,139.67,74.2,202.28,202280,6,24,51,97,188,26.1,22.4,2,7,7,28,83,"HIGH"
8,80,"Complexo Helix","Atirador",1252,38,261,375,6,139.67,74.2,200.08,200080,6,24,53,99,193,26.1,23,2,8,8,28,105,"HIGH"
8,80,"Complexo Helix","Medico",3434,584,10,1545,6,139.67,74.2,188.45,188450,18,100,223,428,838,78.3,100,6,79,297,98,370,"HIGH"
9,90,"Necrópole Industrial","Lutador",4157,632,18,1247,6,139.67,84.2,267.62,267620,15,62,132,248,481,100,86.7,5,48,175,59,217,"HIGH"
9,90,"Necrópole Industrial","Assassino",1368,36,315,410,6,139.67,84.2,293.19,293190,4,18,39,74,144,26.7,25.9,2,2,2,4,4,"HIGH"
9,90,"Necrópole Industrial","Atirador",1384,40,289,415,6,139.67,84.2,291.6,291600,4,18,40,75,147,26.7,26.5,2,2,2,4,4,"HIGH"
9,90,"Necrópole Industrial","Medico",3740,630,12,1683,6,139.67,84.2,309.94,309940,12,66,147,283,555,80,100,4,54,205,67,253,"HIGH"
10,100,"Marco Zero","Lutador",4523,680,20,1356,6,139.67,94.2,445.38,445380,10,40,86,162,314,100,87.5,3,32,118,40,145,"HIGH"
10,100,"Marco Zero","Assassino",1500,38,347,450,6,139.67,94.2,431.59,431590,3,13,29,55,107,30,29.8,1,1,1,1,1,"HIGH"
10,100,"Marco Zero","Atirador",1540,48,315,462,6,139.67,94.2,427.48,427480,3,14,30,57,111,30,30.9,1,1,1,1,1,"HIGH"
10,100,"Marco Zero","Medico",4028,672,12,1812,6,139.67,94.2,515.3,515300,7,42,95,183,359,70,100,2,36,137,45,169,"HIGH"
