tier,className,potionQuantity,safeBattles,potionsUsed,finalHp,finalHpPercent,riskLevel
3,"Medico",50,3426,50,0,0,"HIGH"
3,"Medico",100,6679,100,0,0,"HIGH"
4,"Lutador",0,152,0,0,0,"HIGH"
4,"Lutador",10,609,10,0,0,"HIGH"
4,"Lutador",25,1294,25,0,0,"HIGH"
4,"Lutador",50,2436,50,0,0,"HIGH"
4,"Lutador",100,4721,100,0,0,"HIGH"
4,"Assassino",0,42,0,0,0,"HIGH"
4,"Assassino",10,169,10,0,0,"HIGH"
4,"Assassino",25,360,25,0,0,"HIGH"
4,"Assassino",50,677,50,0,0,"HIGH"
4,"Assassino",100,1313,100,0,0,"HIGH"
4,"Atirador",0,45,0,0,0,"HIGH"
4,"Atirador",10,182,10,0,0,"HIGH"
4,"Atirador",25,387,25,0,0,"HIGH"
4,"Atirador",50,729,50,0,0,"HIGH"
4,"Atirador",100,1413,100,0,0,"HIGH"
4,"Medico",0,115,0,0,0,"HIGH"
4,"Medico",10,549,10,0,0,"HIGH"
4,"Medico",25,1199,25,0,0,"HIGH"
4,"Medico",50,2283,50,0,0,"HIGH"
4,"Medico",100,4451,100,0,0,"HIGH"
5,"Lutador",0,96,0,0,0,"HIGH"
5,"Lutador",10,384,10,0,0,"HIGH"
5,"Lutador",25,817,25,0,0,"HIGH"
5,"Lutador",50,1538,50,0,0,"HIGH"
5,"Lutador",100,2980,100,0,0,"HIGH"
5,"Assassino",0,28,0,0,0,"HIGH"
5,"Assassino",10,113,10,0,0,"HIGH"
5,"Assassino",25,241,25,0,0,"HIGH"
5,"Assassino",50,454,50,0,0,"HIGH"
5,"Assassino",100,879,100,0,0,"HIGH"
5,"Atirador",0,30,0,0,0,"HIGH"
5,"Atirador",10,122,10,0,0,"HIGH"
5,"Atirador",25,260,25,0,0,"HIGH"
5,"Atirador",50,490,50,0,0,"HIGH"
5,"Atirador",100,950,100,0,0,"HIGH"
5,"Medico",0,73,0,0,0,"HIGH"
5,"Medico",10,346,10,0,0,"HIGH"
5,"Medico",25,756,25,0,0,"HIGH"
5,"Medico",50,1440,50,0,0,"HIGH"
5,"Medico",100,2808,100,0,0,"HIGH"
6,"Lutador",0,58,0,0,0,"HIGH"
6,"Lutador",10,235,10,0,0,"HIGH"
6,"Lutador",25,500,25,0,0,"HIGH"
6,"Lutador",50,942,50,0,0,"HIGH"
6,"Lutador",100,1826,100,0,0,"HIGH"
6,"Assassino",0,21,0,0,0,"HIGH"
6,"Assassino",10,86,10,0,0,"HIGH"
6,"Assassino",25,183,25,0,0,"HIGH"
6,"Assassino",50,345,50,0,0,"HIGH"
6,"Assassino",100,668,100,0,0,"HIGH"
6,"Atirador",0,22,0,0,0,"HIGH"
6,"Atirador",10,90,10,0,0,"HIGH"
6,"Atirador",25,191,25,0,0,"HIGH"
6,"Atirador",50,361,50,0,0,"HIGH"
6,"Atirador",100,700,100,0,0,"HIGH"
6,"Medico",0,45,0,0,0,"HIGH"
6,"Medico",10,216,10,0,0,"HIGH"
6,"Medico",25,473,25,0,0,"HIGH"
6,"Medico",50,900,50,0,0,"HIGH"
6,"Medico",100,1755,100,0,0,"HIGH"
7,"Lutador",0,37,0,0,0,"HIGH"
7,"Lutador",10,148,10,0,0,"HIGH"
7,"Lutador",25,315,25,0,0,"HIGH"
7,"Lutador",50,594,50,0,0,"HIGH"
7,"Lutador",100,1151,100,0,0,"HIGH"
7,"Assassino",0,16,0,0,0,"HIGH"
7,"Assassino",10,64,10,0,0,"HIGH"
7,"Assassino",25,137,25,0,0,"HIGH"
7,"Assassino",50,258,50,0,0,"HIGH"
7,"Assassino",100,501,100,0,0,"HIGH"
7,"Atirador",0,17,0,0,0,"HIGH"
7,"Atirador",10,68,10,0,0,"HIGH"
7,"Atirador",25,145,25,0,0,"HIGH"
7,"Atirador",50,273,50,0,0,"HIGH"
7,"Atirador",100,530,100,0,0,"HIGH"
7,"Medico",0,28,0,0,0,"HIGH"
7,"Medico",10,134,10,0,0,"HIGH"
7,"Medico",25,293,25,0,0,"HIGH"
7,"Medico",50,558,50,0,0,"HIGH"
7,"Medico",100,1089,100,0,0,"HIGH"
8,"Lutador",0,23,0,0,0,"HIGH"
8,"Lutador",10,95,10,0,0,"HIGH"
8,"Lutador",25,202,25,0,0,"HIGH"
8,"Lutador",50,381,50,0,0,"HIGH"
8,"Lutador",100,739,100,0,0,"HIGH"
8,"Assassino",0,12,0,0,0,"HIGH"
8,"Assassino",10,49,10,0,0,"HIGH"
8,"Assassino",25,104,25,0,0,"HIGH"
8,"Assassino",50,197,50,0,0,"HIGH"
8,"Assassino",100,382,100,0,0,"HIGH"
8,"Atirador",0,12,0,0,0,"HIGH"
8,"Atirador",10,51,10,0,0,"HIGH"
8,"Atirador",25,108,25,0,0,"HIGH"
8,"Atirador",50,204,50,0,0,"HIGH"
8,"Atirador",100,396,100,0,0,"HIGH"
8,"Medico",0,18,0,0,0,"HIGH"
8,"Medico",10,86,10,0,0,"HIGH"
8,"Medico",25,188,25,0,0,"HIGH"
8,"Medico",50,359,50,0,0,"HIGH"
8,"Medico",100,701,100,0,0,"HIGH"
9,"Lutador",0,15,0,0,0,"HIGH"
9,"Lutador",10,62,10,0,0,"HIGH"
9,"Lutador",25,132,25,0,0,"HIGH"
9,"Lutador",50,248,50,0,0,"HIGH"
9,"Lutador",100,481,100,0,0,"HIGH"
9,"Assassino",0,9,0,0,0,"HIGH"
9,"Assassino",10,37,10,0,0,"HIGH"
9,"Assassino",25,79,25,0,0,"HIGH"
9,"Assassino",50,149,50,0,0,"HIGH"
9,"Assassino",100,289,100,0,0,"HIGH"
9,"Atirador",0,9,0,0,0,"HIGH"
9,"Atirador",10,38,10,0,0,"HIGH"
9,"Atirador",25,81,25,0,0,"HIGH"
9,"Atirador",50,152,50,0,0,"HIGH"
9,"Atirador",100,296,100,0,0,"HIGH"
9,"Medico",0,12,0,0,0,"HIGH"
9,"Medico",10,57,10,0,0,"HIGH"
9,"Medico",25,125,25,0,0,"HIGH"
9,"Medico",50,238,50,0,0,"HIGH"
9,"Medico",100,464,100,0,0,"HIGH"
10,"Lutador",0,10,0,0,0,"HIGH"
10,"Lutador",10,40,10,0,0,"HIGH"
10,"Lutador",25,86,25,0,0,"HIGH"
10,"Lutador",50,162,50,0,0,"HIGH"
10,"Lutador",100,314,100,0,0,"HIGH"
10,"Assassino",0,6,0,0,0,"HIGH"
10,"Assassino",10,27,10,0,0,"HIGH"
10,"Assassino",25,58,25,0,0,"HIGH"
10,"Assassino",50,110,50,0,0,"HIGH"
10,"Assassino",100,213,100,0,0,"HIGH"
10,"Atirador",0,7,0,0,0,"HIGH"
10,"Atirador",10,28,10,0,0,"HIGH"
10,"Atirador",25,61,25,0,0,"HIGH"
10,"Atirador",50,115,50,0,0,"HIGH"
10,"Atirador",100,223,100,0,0,"HIGH"
10,"Medico",0,7,0,0,0,"HIGH"
10,"Medico",10,37,10,0,0,"HIGH"
10,"Medico",25,81,25,0,0,"HIGH"
10,"Medico",50,154,50,0,0,"HIGH"
10,"Medico",100,300,100,0,0,"HIGH"
